ORF;uniprot
YDL106C;P07269
YDL164C;P04819
YDL200C;P26188
YDL220C;P32797
YDR004W;P25301
YDR030C;Q12021
YDR059C;P15732
YDR076W;P38953
YDR082W;P38960
YDR162C;Q12163
YDR184C;Q04005
YDR206W;Q03466
YDR217C;P14737
YDR227W;P11978
YDR263C;Q12086
YDR288W;Q05541
YDR311W;P32776
YDR369C;P33301
YDR386W;Q04149
YDR419W;Q04049
YDR460W;Q03290
YDR499W;Q04377
YDR545W;P0CX20
YEL019C;P38632
YER011W;P10863
YER019W;P40015
YER028C;P39943
YER095W;P25454
YER142C;P22134
YER162C;P14736
YER169W;P39956
YER171W;P06839
YER173W;P32641
YER174C;P32642
YER190W;P40105
YFL031W;P41546
YFL033C;P43565
YFL053W;P43550
YFR019W;P34756
YFR027W;P43605
YFR034C;P07270
YGL058W;P06104
YGL073W;P10961
YGL090W;P53150
YGL094C;P53010
YGL127C;P38633
YGL163C;P32863
YGR008C;P16965
YGR014W;P32334
YGR038W;P53224
YGR088W;P06115
YGR097W;P48361
YGR099W;P53038
YGR258C;P07276
YGR296W;P0CX14
YHL028W;P38739
YHL048W;P38723
YHR023W;P08964
YHR079C;P32361
YHR106W;P38816
YHR120W;P25846
YHR164C;P38859
YHR205W;P11792
YHR206W;P38889
YIL101C;P40489
YIL128W;P40469
YIL139C;P38927
YIL143C;Q00578
YIL147C;P39928
YIL153W;P40454
YIL154C;P32351
YIL159W;P40450
YIR002C;P40562
YIR033W;P40578
YJL087C;P09880
YJL090C;P47027
YJL092W;P12954
YJL144W;P47009
YJR035W;P40352
YJR043C;P47110
YJR052W;P06779
YJR057W;P00572
YKL020C;P35210
YKL025C;P36102
YKL026C;P36014
YKL032C;P33417
YKL045W;P20457
YKL048C;P32801
YKL062W;P33749
YKL086W;P36077
YKL201C;P36044
YLL010C;Q07800
YLL039C;P0CG63
YLR005W;Q04673
YLR006C;Q07084
YLR007W;Q07913
YLR010C;Q07921
YLR019W;Q07949
YLR032W;P32849
YLR035C;Q07980
YLR155C;P0CZ17
YLR158C;P0CX78
YLR160C;P0CX79
YLR176C;P48743
YLR233C;P17214
YLR234W;P13099
YLR260W;Q06147
YLR265C;Q06148
YLR266C;Q06149
YLR288C;Q02574
YLR318W;Q06163
YLR319C;P41697
YLR320W;Q06164
YLR337C;P37370
YLR383W;Q12749
YLR427W;Q06436
YLR442C;P06701
YLR453C;Q06208
YLR466W;O13559
YLR467W;P0CX21
YML007W;P19880
YML023C;Q03718
YML032C;P06778
YML058W;Q04964
YML060W;P53397
YML061C;P07271
YML088W;Q04511
YML095C;P06838
YML102W;Q04199
YMR037C;P33748
YMR106C;Q04437
YMR137C;P30620
YMR139W;P38615
YMR156C;Q03796
YMR172W;Q03213
YMR201C;P28519
YMR224C;P32829
YMR250W;Q04792
YMR284W;P32807
YNL032W;P53965
YNL082W;P14242
YNL091W;P53935
YNL099C;P50946
YNL102W;P13382
YNL160W;P38616
YNL190W;P53872
YNL234W;P53857
YNL250W;P12753
YNL259C;P38636
YNL262W;P21951
YNL271C;P41832
YNL283C;P53832
YNL339C;P53819
YOL034W;Q08204
YOL043C;Q08214
YOL089C;Q12180
YOL105C;Q12215
YOL116W;P22148
YOL128C;Q12222
YOR005C;Q08387
YOR008C;P54867
YOR010C;P33890
YOR028C;P40917
YOR033C;P39875
YOR043W;P12611
YOR047C;Q02794
YOR144C;Q12050
YOR178C;P28006
YOR181W;Q12446
YOR324C;Q99332
YOR346W;P12689
YOR368W;P48581
YOR386W;P05066
YPL022W;P06777
YPL046C;Q03071
YPL087W;Q02896
YPL122C;Q02939
YPL152W;Q12461
YPL153C;P22216
YPL164C;Q12083
YPL167C;P14284
YPL196W;Q08952
YPL202C;Q08957
YPL223C;Q08969
YPL242C;Q12280
YPL283C;P0CX15
YPR005C;Q01766
YPR026W;P48016
YPR135W;Q01454
YPR164W;Q06211
YPR175W;P24482
