ORF;uniprot
YAR007C;P22336
YBL051C;P34217
YBR006W;P38067
YBR082C;P15731
YBR088C;P15873
YBR093C;P00635
YBR126C;Q00764
YBR244W;P38143
YBR272C;P38348
YCL035C;P25373
YCR009C;P25343
YCR083W;P25372
YDL022W;Q00055
YDL100C;Q12154
YDL101C;P39009
YDL166C;Q12055
YDL190C;P54860
YDL235C;Q07688
YDR001C;P32356
YDR074W;P31688
YDR092W;P52490
YDR097C;Q03834
YDR098C;Q03835
YDR182W;P40986
YDR294C;Q05567
YDR477W;P06782
YDR513W;P17695
YEL037C;P32628
YEL060C;P09232
YER042W;P40029
YER062C;P40106
YER089C;P39966
YER133W;P32598
YFL039C;P60010
YGL019W;P43639
YGL087C;P53152
YGL150C;P53115
YGR086C;P53252
YGR234W;P39676
YHR104W;P38715
YHR114W;P38822
YIL035C;P15790
YIL053W;P41277
YIR037W;P40581
YJL034W;P16474
YJL115W;P32447
YJL173C;P26755
YJR006W;P46957
YJR068W;P40348
YJR144W;P32787
YKL054C;P35732
YKL088W;P36076
YKL113C;P26793
YKL114C;P22936
YKL129C;P36006
YKL150W;P36060
YKL213C;P36037
YKR066C;P00431
YKR072C;P36024
YLR043C;P22217
YLR113W;P32485
YLR150W;P39015
YLR157C;P0CX77
YLR350W;Q06144
YML021C;P12887
YML028W;P34760
YML086C;P54783
YMR092C;P46680
YMR109W;Q04439
YMR140W;P40210
YMR173W;P18899
YMR214W;P25303
YNL036W;P53615
YNL133C;P53913
YNL216W;P11938
YNL290W;P38629
YNL307C;P21965
YNL312W;P26754
YNR074C;P52923
YOL064C;P32179
YOL090W;P25847
YOL094C;P40339
YOR039W;P38930
YOR061W;P19454
YOR120W;P14065
YOR217W;P38630
YPL004C;Q12230
YPL059W;Q02784
YPL091W;P41921
YPL154C;P07267
YPL188W;Q06892
YPL204W;P29295
YAL015C;P31378
YAL028W;P39734
YBL019W;P38207
YBL061C;P34226
YBL088C;P38110
YBR001C;P35172
YBR016W;P38216
YBR073W;P38086
YBR114W;P31244
YBR132C;P38090
YBR136W;P38111
YBR195C;P13712
YBR216C;P38315
YBR223C;P38319
YBR228W;P38324
YBR274W;P38147
YBR275C;P29539
YBR278W;P27344
YCL033C;P25566
YCL051W;P25579
YCR014C;P25615
YCR044C;P25625
YCR066W;P10862
YCR092C;P25336
YDL013W;P32828
YDL042C;P06700
YDL059C;Q12223
YDL079C;P50873
YDL102W;P15436
