"Accession","Rich_1","Rich_2","Rich_3","Gene","Protein"
"A5Z2X5",1.97893901920082e-05,2.33600283105425e-05,2.54681540772217e-05,"YPR010C-A","YPR010C-A"
"D6VTK4",0.000207730504696747,0.000220258880894371,0.00021781665000108,"YFL026W","STE2"
"O13297",2.43594417670679e-05,2.52664884792486e-05,2.5268354401938e-05,"YPL228W","CET1"
"O13329",6.90493410272701e-06,7.25945631347551e-06,7.15156155352338e-06,"YDR110W","FOB1"
"O13525",6.6677448289175e-06,6.84999158065839e-06,7.01961604813308e-06,"YDR204W","COQ4"
"O13539",8.3936211359628e-06,9.02796485801574e-06,8.72222201519527e-06,"YHR167W","THP2"
"O13563",7.64749393775732e-05,8.05920868503531e-05,8.36776181991611e-05,"YLR421C","RPN13"
"O13585",1.16200594965933e-06,1.18643725561731e-06,1.23488334408447e-06,"YPR089W","YPR089W"
"O14467",0.000162284159753786,0.00016772347093511,0.000173130991234288,"YOR298C-A","MBF1"
"O74700",3.69012640215224e-05,3.87015464088053e-05,3.84707462088572e-05,"YEL020W-A","TIM9"
"P00044",1.1269933152268e-05,2.02932544818307e-05,2.07659910753836e-05,"YJR048W","CYC1"
"P00045",5.96470453794925e-08,7.40984616232107e-08,7.20992190882755e-08,"YEL039C","CYC7"
"P00127",6.24054927779282e-08,7.62023943121761e-08,7.62655193118637e-08,"YFR033C","QCR6"
"P00128",5.55075640429077e-05,6.3387488977082e-05,6.251584831302e-05,"YDR529C","QCR7"
"P00175",6.84918923518149e-06,7.54986638615189e-06,7.68824597553169e-06,"YML054C","CYB2"
"P00330",0.0250264752476616,0.0151044930828158,0.0142527672838235,"YOL086C","ADH1"
"P00331",8.12009211794858e-05,7.9661853447211e-05,0.000101420882333437,"YMR303C","ADH2"
"P00359",0.00486047013485868,0.00559973582274565,0.00565478015614897,"YGR192C","TDH3"
"P00401",1.69746314186576e-05,1.85054776132836e-05,1.79437316427642e-05,"Q0045","COX1"
"P00410",0.000477820408540295,0.000533782308113687,0.000516832439522651,"Q0250","COX2"
"P00424",1.59065206910892e-05,1.82858233467641e-05,1.92211032240128e-05,"YNL052W","COX5A"
"P00425",4.2903755630364e-06,5.30206239451159e-06,5.36258250756978e-06,"YIL111W","COX5B"
"P00427",0.000106498956378292,0.000133836542053722,0.000125437810188198,"YHR051W","COX6"
