 amino acid transport
CAN1
AVT6
MUP1
HIP1
AVT7
AVT3
GAP1
YCT1
VBA1
LYP1
YPQ1
PUT4
DIP5
YMC1
BAP2
TAT1
AGP1
ATG22
RHB1
HEM25
BAP3
YPQ2
GNP1
NPR2
MUP3
AVT1
AQR1
AVT4
TAT2
ORT1
AGC1
