ORF;uniprot
YBR026C;P38071
YBR029C;P38221
YBR145W;P38113
YBR159W;P38286
YBR244W;P38143
YDL015C;Q99190
YDL022W;Q00055
YDL052C;P33333
YDL168W;P32771
YDR062W;P40970
YDR294C;Q05567
YDR368W;Q12458
YER026C;P08456
YER062C;P40106
YER073W;P40047
YGL001C;P53199
YGL012W;P25340
YGL055W;P21147
YGR060W;P53045
YGR157W;P05374
YGR175C;P32476
YGR202C;P13259
YHR007C;P10614
YHR042W;P16603
YHR072W;P38604
YHR104W;P38715
YHR190W;P29704
YIL009W;P39002
YIL053W;P41277
YIL124W;P40471
YIR037W;P40581
YJL167W;P08524
YKL150W;P36060
YKL182W;P07149
YKR067W;P36148
YLR056W;P32353
YLR100W;Q12452
YLR133W;P20485
YLR372W;P40319
YLR450W;P12684
YML008C;P25087
YML070W;P54838
YML075C;P12683
YML126C;P54839
YMR008C;P39105
YMR015C;P54781
YMR083W;P07246
YMR202W;P32352
YMR208W;P07277
YMR220W;P24521
YMR246W;P47912
YMR296C;P25045
YMR318C;Q04894
YNL045W;Q10740
YNL130C;P17898
YNL169C;P39006
YNR016C;Q00955
YNR019W;P53629
YOL059W;P41911
YOL086C;P00330
YOR120W;P14065
YOR171C;Q12246
YOR317W;P30624
YOR374W;P46367
YPL028W;P41338
YPL061W;P54115
YPL206C;Q08959
YPL231W;P19097
YPR113W;P06197
YBL011W;P32784
YBR183W;P38298
YBR265W;P38342
YCL004W;P25578
YCR034W;P25358
YCR048W;P25628
YCR105W;P25377
YCR107W;P25612
YDL142C;Q07560
YDL243C;Q07747
YDR058C;P54857
YDR147W;Q03764
YDR297W;P38992
YDR402C;P21595
YER015W;P39518
YER044C;P40030
YER061C;P39525
YFL053W;P43550
YFL056C;P43547
YGL205W;P13711
YGL256W;P10127
YGR007W;P33412
YGR110W;P53264
YGR170W;P53037
YGR205W;P42938
YHL003C;P38703
YHL032C;P32190
YHR123W;P22140
YIL155C;P32191
YIL160C;P27796
YJL097W;P40857
YJL134W;P47013
YJL196C;P39540
YJR019C;P41903
YJR155W;P47182
YKL008C;P28496
YKL026C;P36014
YKR031C;P36126
YKR053C;P23501
YKR089C;P36165
YLR260W;Q06147
YLR299W;Q05902
YML059C;Q04958
YMR006C;Q03674
YMR134W;P40207
YMR165C;P32567
YMR303C;P00331
YMR313C;P40308
YNL280C;P32462
YNL331C;P42884
YNR008W;P40345
YOL011W;Q08108
YOR175C;Q08548
YPL087W;Q02896
YPR140W;Q06510
