"Accession","Min_1","Min_2","Gene","Protein"
"P04803",1.61796721262637e-05,1.41054705418339e-05,"YDR268W","MSW1"
"P04806",9.7572835192675e-05,7.83596529412312e-05,"YFR053C","HXK1"
"P04807",0.00283942629455578,0.00243444545991751,"YGL253W","HXK2"
"P04817",0.00011841312139949,0.000103464800093221,"YEL063C","CAN1"
"P04819",1.33509716634388e-05,1.43514832981999e-05,"YDL164C","CDC9"
"P04821",1.85175428684919e-05,1.57910683284632e-05,"YLR310C","CDC25"
"P04840",0.00234114584593704,0.00350066837710947,"YNL055C","POR1"
"P04911",0.00130537956787547,0.00128477723127323,"YDR225W","HTA1"
"P05030",0.00387883465447791,0.0040489763413609,"YGL008C","PMA1"
"P05066",1.53257729264413e-06,1.40545088423424e-06,"YOR386W","PHR1"
"P05150",0.000888832276504016,0.000690521711840668,"YJL088W","ARG3"
"P05317",0.0129817858151077,0.0104500432639571,"YLR340W","RPP0"
"P05319",0.00494320873245629,0.00383232790167637,"YOL039W","RPP2A"
"P05373",0.000577349200727177,0.000495674235624347,"YGL040C","HEM2"
"P05374",0.000154014741535807,0.000134987315779465,"YGR157W","CHO2"
"P05375",0.000126202860601259,9.33075441596171e-05,"YJR073C","OPI3"
"P05453",0.000314779882110439,0.000386235999891771,"YDR172W","SUP35"
"P05626",0.000811130185410838,0.000675557677147105,"YPL078C","ATP4"
"P05694",0.01482422986458,0.0171869908958411,"YER091C","MET6"
"P05737",0.000568181032465092,0.000704186956418692,"YGL076C","RPL7A"
"P05738",1.27757410502635e-06,1.79911168505808e-06,"YGL147C","RPL9A"
"P05739",0.000596096273402781,0.000615816802518355,"YLR448W","RPL6B"
"P05740",0.000131553539902645,0.000161402636559162,"YKL180W","RPL17A"
"P05743",0.000303123321106423,0.000340995080928444,"YLR344W","RPL26A"
"P05744",6.39403846102414e-05,6.8161409160817e-05,"YPL143W","RPL33A"
"P05745",3.02024628521858e-06,3.37846217006783e-06,"YMR194W","RPL36A"
"P05748",0.00050724392261461,0.000592394163743377,"YLR029C","RPL15A"
"P05749",0.000652681245202503,0.000534529847430424,"YLR061W","RPL22A"
"P05750",0.00734498526745787,0.00688855185512467,"YNL178W","RPS3"
"P05755",1.1392941979114e-06,1.17314128379449e-06,"YBR189W","RPS9B"
"P05756",0.0113266745947969,0.00996351553713377,"YDR064W","RPS13"
"P05759",0.00120892493120158,0.00138367412363109,"YLR167W","RPS31"
"P05986",5.08987041736356e-06,5.02441228480342e-06,"YKL166C","TPK3"
"P06100",2.27486762153675e-06,2.52352883756207e-06,"YDL165W","CDC36"
"P06101",0.000160122774974077,0.000133970995083105,"YDR168W","CDC37"
"P06102",6.3393371818117e-05,5.30935931217999e-05,"YIL038C","NOT3"
"P06103",0.000594098039022808,0.000584351093916595,"YOR361C","PRT1"
"P06105",0.00150400720591175,0.00142920364144082,"YJL080C","SCP160"
"P06106",0.0233653951357152,0.0243358802811249,"YLR303W","MET17"
"P06115",6.62030770578625e-06,7.50771007325646e-06,"YGR088W","CTT1"
"P06168",0.00409769214245155,0.00466301141376827,"YLR355C","ILV5"
"P06169",0.00400871391056764,0.00352209350018568,"YLR044C","PDC1"
"P06174",4.18695128541864e-06,3.9808972564802e-06,"YOR278W","HEM4"
"P06182",1.55188400956618e-05,1.36505209438302e-05,"YAL039C","CYC3"
"P06197",2.30947049100512e-05,2.20754570445563e-05,"YPR113W","PIS1"
"P06208",0.000341665829702272,0.000403109073821385,"YNL104C","LEU4"
"P06244",1.57863835207851e-06,1.46783906941676e-06,"YJL164C","TPK1"
"P06245",9.85556578668108e-06,8.48361248806291e-06,"YPL203W","TPK2"
"P06633",4.54661271563437e-05,4.27902035107286e-05,"YOR202W","HIS3"
"P06634",0.000746040186255971,0.000816712282194081,"YOR204W","DED1"
"P06700",1.55267640548485e-06,1.63491572002245e-06,"YDL042C","SIR2"
"P06701",5.10672727142802e-06,4.86377481106705e-06,"YLR442C","SIR3"
"P06704",2.58079848676883e-05,1.95345535943701e-05,"YOR257W","CDC31"
"P06738",2.64928833024825e-05,2.37936612166065e-05,"YPR160W","GPH1"
"P06775",3.81123768890116e-05,3.61429262587316e-05,"YGR191W","HIP1"
"P06776",1.96529221892645e-05,1.7413136306731e-05,"YOR360C","PDE2"
"P06777",4.60283409123478e-05,3.64890111873778e-05,"YPL022W","RAD1"
"P06778",3.24015464670711e-06,3.36625008464107e-06,"YML032C","RAD52"
"P06779",4.16465120581536e-06,4.18108972797041e-06,"YJR052W","RAD7"
"P06780",0.000302618577391658,0.000264021020381025,"YPR165W","RHO1"
"P06782",4.55087612243554e-05,3.73403758835732e-05,"YDR477W","SNF1"
"P06785",7.04899537688044e-06,6.22107586262421e-06,"YOR074C","CDC21"
"P06786",8.27761852347984e-05,7.34153566493991e-05,"YNL088W","TOP2"
"P06787",0.000227653372030426,0.000206824008429771,"YBR109C","CMD1"
"P06839",1.84326310954402e-05,1.96829636323046e-05,"YER171W","RAD3"
"P06843",6.62807739989348e-07,6.4338919261982e-07,"YER161C","SPT2"
"P06844",5.72259526785718e-06,5.47520765176904e-06,"YDR392W","SPT3"
"P07143",0.000125680276666844,0.000101342315600412,"YOR065W","CYT1"
"P07149",0.00464006374593359,0.00437423239747252,"YKL182W","FAS1"
"P07170",0.000453823610286331,0.000488289140071872,"YDR226W","ADK1"
"P07172",0.000361045783340684,0.000288532271572257,"YIL116W","HIS5"
"P07213",0.000144769014402544,0.000163605934957781,"YNL121C","TOM70"
"P07236",1.0995896711906e-05,1.05225466819381e-05,"YKL194C","MST1"
"P07244",0.00156033633759382,0.00152509904760229,"YGL234W","ADE5,7"
"P07245",0.00161263293600725,0.00172892143413316,"YGR204W","ADE3"
"P07246",0.0018895894990918,0.00195777821197397,"YMR083W","ADH3"
"P07251",0.00170324614730806,0.00195831678136408,"YBL099W","ATP1"
"P07253",0.00015405099019502,0.000137433165808093,"YBR120C","CBP6"
"P07255",0.000289030589728622,0.000269096270758242,"YDL067C","COX9"
"P07256",0.000773242226172678,0.000860322060601005,"YBL045C","COR1"
"P07257",0.00130265542770967,0.00112645540788333,"YPR191W","QCR2"
"P07258",0.00059430407553992,0.000547166168780081,"YOR303W","CPA1"
"P07259",0.00605442461351577,0.00567236499818986,"YJL130C","URA2"
"P07260",0.000204613733917571,0.000202143375277983,"YOL139C","CDC33"
"P07261",4.96408866226385e-06,4.20794999728516e-06,"YPL075W","GCR1"
"P07262",0.004522033067247,0.00421231026254619,"YOR375C","GDH1"
"P07263",0.000178378278845871,0.000185108721686916,"YPR033C","HTS1"
"P07264",0.00176626202469299,0.00203878148317948,"YGL009C","LEU1"
"P07266",6.77702033776843e-06,6.85983553518176e-06,"YIR021W","MRS1"
"P07267",0.000203992693156963,0.000187690874059569,"YPL154C","PEP4"
"P07270",6.49753249273649e-07,5.99475420185025e-07,"YFR034C","PHO4"
"P07271",9.68428339953932e-07,7.95921546128367e-07,"YML061C","PIF1"
"P07272",1.91367359418436e-07,1.58460758451021e-07,"YLR014C","PPR1"
"P07273",4.52017883378749e-05,3.81395036020417e-05,"YGL043W","DST1"
"P07275",0.000150604253076932,0.000174034493508744,"YHR037W","PUT2"
"P07276",5.45685148985148e-07,4.95933949786764e-07,"YGR258C","RAD2"
"P07277",5.79315996048453e-05,4.47268993229513e-05,"YMR208W","ERG12"
"P07278",9.96855543089135e-05,9.44964579348634e-05,"YIL033C","BCY1"
"P07280",0.0108213377067739,0.00991711212018952,"YOL121C","RPS19A"
"P07283",0.00112815962355602,0.000875621277352118,"YFL045C","SEC53"
"P07284",0.0005021148110591,0.000443035860664279,"YDR023W","SES1"
"P07285",7.17082066586333e-05,5.65222252769664e-05,"YDR354W","TRP4"
"P07342",0.000815954791003082,0.00115253832075464,"YMR108W","ILV2"
"P07347",5.57258610483202e-05,5.45079873227277e-05,"YHR013C","ARD1"
"P07390",5.09018799588893e-07,3.61415876804677e-07,"YNR045W","PET494"
"P07560",0.000139549396081878,0.000125642173026701,"YFL005W","SEC4"
"P07702",0.00116053895760335,0.00109203367216006,"YBR115C","LYS2"
"P07703",5.14820263548865e-05,5.84910073379832e-05,"YPR110C","RPC40"
"P07806",0.00129208050433757,0.00117793745085769,"YGR094W","VAS1"
"P07866",3.90630494203029e-06,3.20505099408872e-06,"YAL024C","LTE1"
"P07884",8.15743846374053e-06,7.85082930376019e-06,"YOR274W","MOD5"
"P07991",4.88560361459463e-05,4.33368712362795e-05,"YLR438W","CAR2"
"P08004",1.65952376397456e-05,1.40966680339379e-05,"YNL192W","CHS1"
"P08018",1.26892171279031e-05,1.33679907826672e-05,"YJL128C","PBS2"
"P08067",0.000157850021809595,0.000196087384822886,"YEL024W","RIP1"
"P08417",0.000840880063302107,0.000853884061876714,"YPL262W","FUM1"
"P08425",4.8665909131518e-06,4.90562168337806e-06,"YPR047W","MSF1"
"P08432",1.65693124431177e-05,1.2744460237253e-05,"YKL184W","SPE1"
"P08465",0.000133523782162069,0.00010791377981977,"YNL277W","MET2"
"P08466",9.61793986820653e-06,9.80960299894683e-06,"YJL208C","NUC1"
"P08518",0.000221655217906637,0.000201202931366166,"YOR151C","RPB2"
"P08524",0.00159319938574458,0.00140034245085831,"YJL167W","ERG20"
"P08525",1.7604126714011e-05,1.56052419901486e-05,"YJL166W","QCR8"
"P08536",0.000991026621093418,0.000962784678308512,"YJR010W","MET3"
"P08539",7.48416786013263e-05,6.68352448328518e-05,"YHR005C","GPA1"
"P08566",0.000907330006124561,0.000871403218475019,"YDR127W","ARO1"
"P08638",1.24144679234599e-05,9.98737805461961e-06,"YLR451W","LEU3"
"P08678",1.50714799610075e-05,1.2732446616754e-05,"YJL005W","CYR1"
"P08679",0.000240457008612011,0.000206983964721732,"YCR005C","CIT2"
"P08964",1.04199196552915e-05,9.33021337260621e-06,"YHR023W","MYO1"
"P09032",1.76063810437244e-05,1.86665324175029e-05,"YOR260W","GCD1"
"P09064",0.000383552178368213,0.000347041035893541,"YPL237W","SUI3"
"P09201",3.35069603327683e-06,3.03438863398006e-06,"YLR377C","FBP1"
"P09232",0.000189063754761852,0.000215884242491368,"YEL060C","PRB1"
"P09368",2.8362814805664e-06,3.19828609899615e-06,"YLR142W","PUT1"
"P09435",6.72196030806555e-06,5.12683848160726e-06,"YBL075C","SSA3"
"P09436",0.00126409215088722,0.00102813763186101,"YBL076C","ILS1"
"P09440",0.000278872933414463,0.000291493256197106,"YBR084W","MIS1"
"P09457",0.000233526050311718,0.000233766394783076,"YDR298C","ATP5"
"P09547",5.60193495678276e-05,4.7347279684768e-05,"YPL016W","SWI1"
"P09620",2.04046516907779e-05,1.48319203923339e-05,"YGL203C","KEX1"
"P09624",0.0010484191929733,0.00122540777761449,"YFL018C","LPD1"
"P09733",9.08624966403357e-05,7.03425464601484e-05,"YML085C","TUB1"
"P09734",3.23103834598349e-05,2.96547620527632e-05,"YML124C","TUB3"
"P09880",3.40934701040878e-05,3.09597531930945e-05,"YJL087C","TRL1"
"P09938",0.000160298555642652,0.000144255143962771,"YJL026W","RNR2"
"P09950",6.11789689339687e-05,6.82314755350397e-05,"YDR232W","HEM1"
"P09959",2.66081683214012e-05,2.32387840200258e-05,"YLR182W","SWI6"
"P0C0T4",0.00320189483627725,0.00309109345506943,"YLR333C","RPS25B"
"P0C0W1",0.00339556916212729,0.0031251754983753,"YJL190C","RPS22A"
"P0C0W9",0.00399672488389437,0.00524024102110196,"YPR102C","RPL11A"
"P0C0X0",0.00087866926894208,0.00131214708315078,"YLR264W","RPS28B"
"P0C2H6",0.00284590003147306,0.00331973668715749,"YHR010W","RPL27A"
"P0C2H8",8.27919820204297e-05,8.74014395542929e-05,"YDL075W","RPL31A"
"P0C2H9",7.63037329148251e-05,8.27681502008141e-05,"YLR406C","RPL31B"
"P0C5N3",1.56771522368722e-05,1.15036064455654e-05,"YGL041W-A","YGL041W-A"
"P0C5R9",3.53821649220609e-05,2.96839962032184e-05,"YPR170W-B","YPR170W-B"
"P0CE41",7.73117436004222e-07,6.09123189007007e-07,"YLR256W","HAP1"
"P0CH09",0.000131514563889363,0.000133430052365396,"YKR094C","RPL40B"
"P0CS90",0.00213408216087636,0.00205052026505725,"YJR045C","SSC1"
"P0CT04",5.98513653653929e-05,7.66917621048566e-05,"YNL015W","PBI2"
"P0CX11",7.99373616475349e-06,7.39762701578002e-06,"YPL281C","ERR2"
"P0CX15",1.72653905117823e-07,1.54884863282021e-07,"YPL283C","YRF1-7"
"P0CX23",0.00535032290936499,0.00563224462271415,"YMR242C","RPL20A"
"P0CX26",0.000597452603699,0.000724249093758416,"YJR094W-A","RPL43B"
"P0CX28",0.000762358597745221,0.000951213510422611,"YHR141C","RPL42B"
"P0CX29",0.00121483167015583,0.0013503079184579,"YGR118W","RPS23A"
"P0CX31",0.00189896539252739,0.00239905549095355,"YER074W","RPS24A"
"P0CX34",0.000429122819770221,0.000508327074822515,"YOR182C","RPS30B"
"P0CX36",0.00653510765559722,0.00730144912712544,"YHR203C","RPS4B"
"P0CX38",0.00946122848467447,0.00990074849909745,"YBR181C","RPS6B"
"P0CX39",0.0043153671963404,0.0054235070319517,"YBL072C","RPS8A"
"P0CX41",0.00299901865874384,0.00351416815299715,"YBL087C","RPL23A"
"P0CX44",0.00535863502603421,0.00555443412971872,"YGL135W","RPL1B"
"P0CX45",0.00624636535262573,0.00687074983727156,"YFR031C-A","RPL2A"
"P0CX47",0.003127744123375,0.00370307366284098,"YDR025W","RPS11A"
"P0CX49",0.00368027547463654,0.00350435280537517,"YOL120C","RPL18A"
"P0CX51",0.0057001638582657,0.00641522730267595,"YMR143W","RPS16A"
"P0CX53",0.00590314270093905,0.0069052695398477,"YEL054C","RPL12A"
"P0CX56",0.0128527129687342,0.0112672913305234,"YML026C","RPS18B"
"P0CX82",0.00808674871563864,0.00874082619743292,"YBR084C-A","RPL19A"
"P0CX84",0.00272377379867241,0.00289684152071885,"YDL191W","RPL35A"
"P10080",8.40132260189647e-05,0.000105583648591725,"YHL034C","SBP1"
"P10081",0.0032539287474561,0.00349852670094631,"YKR059W","TIF1"
"P10127",1.12366419057696e-05,1.05826451558733e-05,"YGL256W","ADH4"
"P10363",9.3714240437319e-06,9.64704160745673e-06,"YIR008C","PRI1"
"P10507",9.84117241415324e-05,8.2170742062868e-05,"YLR163C","MAS1"
"P10566",3.50111382786775e-06,3.22204314363377e-06,"YJL133W","MRS3"
"P10591",0.000533611453692675,0.000392279814508906,"YAL005C","SSA1"
"P10592",0.00141043692014058,0.00119956724502189,"YLL024C","SSA2"
"P10614",0.000406345399931746,0.000357163065573975,"YHR007C","ERG11"
"P10622",0.00386130747557873,0.00282232348115131,"YDL130W","RPP1B"
"P10659",0.000155678423808953,0.000114566923956813,"YLR180W","SAM1"
"P10662",1.64672181692556e-05,1.76939867232479e-05,"YDR347W","MRP1"
"P10663",8.18265520764737e-06,8.22568590136654e-06,"YPR166C","MRP2"
"P10664",0.00324879537057769,0.00346837092124102,"YBR031W","RPL4A"
"P10823",3.83676441673708e-05,2.90311213551005e-05,"YER020W","GPA2"
"P10849",1.12015171204222e-05,9.36509558193278e-06,"YDL044C","MTF2"
"P10862",3.04498677981261e-06,2.40416280055558e-06,"YCR066W","RAD18"
"P10869",0.00114442987957276,0.000906186532417719,"YER052C","HOM3"
"P10961",6.33509416620777e-06,5.87662798931435e-06,"YGL073W","HSF1"
"P10962",3.3349227213945e-05,2.62019428286063e-05,"YAL025C","MAK16"
"P10963",4.9428397566128e-06,4.55761924292399e-06,"YKR097W","PCK1"
"P10964",0.000443145089810142,0.000410869791423414,"YOR341W","RPA190"
"P11075",0.000115802727894004,9.03411397828177e-05,"YDR170C","SEC7"
"P11076",3.27445906847859e-05,3.3611767070085e-05,"YDL192W","ARF1"
"P11154",0.000114678854225537,0.000109419670239855,"YGL062W","PYC1"
"P11325",1.40907546315316e-05,1.3056729140505e-05,"YLR382C","NAM2"
"P11353",2.86049835706517e-05,3.10365852597144e-05,"YDR044W","HEM13"
"P11412",0.000556151629770247,0.000512846639075779,"YNL241C","ZWF1"
"P11433",2.68388918701122e-05,2.22683381497046e-05,"YAL041W","CDC24"
"P11484",6.01747842006939e-05,5.53199246716671e-05,"YDL229W","SSB1"
"P11491",0.000102805178235664,0.000104970740993318,"YDR481C","PHO8"
"P11632",0.000151827605798962,0.000168716008081892,"YPR052C","NHP6A"
"P11633",0.000110851530997957,0.000118459804146546,"YBR089C-A","NHP6B"
"P11709",1.98087272359123e-08,2.17970017908383e-08,"YCL029C","BIK1"
"P11745",0.000288612986211018,0.000238014976784183,"YMR235C","RNA1"
"P11747",5.92666639324326e-06,5.22632042219951e-06,"YML098W","TAF13"
"P11792",4.5650051657802e-05,4.24512205849712e-05,"YHR205W","SCH9"
"P11914",0.000169537224217639,0.000172377690885909,"YHR024C","MAS2"
"P11938",5.47780477471689e-05,5.52931470461147e-05,"YNL216W","RAP1"
"P11972",1.26000418563523e-05,1.13227325651332e-05,"YLR452C","SST2"
"P11978",3.79949487976116e-06,3.13476641809267e-06,"YDR227W","SIR4"
"P11986",0.000209385241881173,0.000217910717698102,"YJL153C","INO1"
"P12383",4.91061169605905e-05,5.25033410173742e-05,"YGL013C","PDR1"
"P12385",0.000612376363031041,0.000652966086446724,"YBR143C","SUP45"
"P12611",4.58256851879384e-05,4.10875734719033e-05,"YOR043W","WHI2"
"P12612",0.000626896724910756,0.000493482833519864,"YDR212W","TCP1"
"P12683",0.00018867765736922,0.000177683166716654,"YML075C","HMG1"
"P12684",2.17125229797426e-05,2.18676087408875e-05,"YLR450W","HMG2"
"P12686",1.84325063464985e-05,1.52293062354869e-05,"YGR084C","MRP13"
"P12687",3.40061455942745e-05,3.16769073828694e-05,"YNL005C","MRP7"
"P12688",6.82129607587892e-06,5.19515943859737e-06,"YKL126W","YPK1"
"P12695",0.000363565518690505,0.000342131855057601,"YNL071W","LAT1"
"P12709",0.00831794680060922,0.00734130199497549,"YBR196C","PGI1"
"P12753",6.78027359903912e-06,5.65022656005984e-06,"YNL250W","RAD50"
"P12754",7.13470248992069e-05,6.26336059765153e-05,"YGR083C","GCD2"
"P12866",2.97583086531322e-06,2.42861538118194e-06,"YKL209C","STE6"
"P12868",3.17023156820446e-05,2.52339562839942e-05,"YMR231W","PEP5"
"P12887",2.67967004657094e-06,2.68460380720926e-06,"YML021C","UNG1"
"P12904",0.000111815722851204,8.7790555538826e-05,"YGL115W","SNF4"
"P12945",0.000125916066305245,0.000114454925759453,"YDL040C","NAT1"
"P12954",6.13961306206163e-06,4.88299591425991e-06,"YJL092W","SRS2"
"P12962",4.49035675989017e-06,4.15853036843171e-06,"YOR276W","CAF20"
"P13090",2.41799174703737e-06,2.01286210199436e-06,"YML116W","ATR1"
"P13185",1.29057536836066e-05,1.36929817419848e-05,"YDR122W","KIN1"
"P13186",6.34334289935453e-07,6.29069972119417e-07,"YLR096W","KIN2"
"P13188",0.000605241251454043,0.00057264993862948,"YOR168W","GLN4"
"P13259",1.77441329335556e-05,1.50558395495188e-05,"YGR202C","PCT1"
"P13298",0.00033846450495994,0.000252220509581753,"YML106W","URA5"
"P13382",9.88297695064243e-05,9.33055361831535e-05,"YNL102W","POL1"
"P13393",1.32017346984527e-05,1.23232196024918e-05,"YER148W","SPT15"
"P13433",1.21681222789423e-05,1.07100952874882e-05,"YFL036W","RPO41"
"P13517",1.34012979866635e-05,9.27169904347456e-06,"YIL034C","CAP2"
"P13574",3.19297934880337e-06,2.5988622276199e-06,"YHR084W","STE12"
"P13586",0.000108941546981294,8.91897304379024e-05,"YGL167C","PMR1"
"P13663",0.00133466622483431,0.00118147519494108,"YDR158W","HOM2"
"P13711",2.4759532734401e-05,1.93192031550608e-05,"YGL205W","POX1"
"P13856",9.88654522914654e-06,9.10248206240873e-06,"YGR152C","RSR1"
"P14020",0.000494905632028575,0.000453071800606177,"YPR183W","DPM1"
"P14065",4.2456475285093e-06,4.87728633088312e-06,"YOR120W","GCY1"
"P14120",0.00192083071717612,0.00218706144540822,"YGL030W","RPL30"
"P14126",0.0102461207010947,0.0116999358737156,"YOR063W","RPL3"
"P14164",6.89012303887974e-05,6.28390923567789e-05,"YKL112W","ABF1"
"P14180",1.13824050943504e-05,1.10410575984654e-05,"YBR038W","CHS2"
"P14540",0.00705177307782888,0.00785453952390796,"YKL060C","FBA1"
"P14680",5.53411477335001e-06,4.85835121017478e-06,"YJL141C","YAK1"
"P14681",6.67551291547286e-06,6.09154445300356e-06,"YGR040W","KSS1"
"P14693",2.84876288049665e-05,2.5920919574145e-05,"YHR083W","SAM35"
"P14736",2.38586555608305e-07,2.45071836284067e-07,"YER162C","RAD4"
"P14737",1.82120775805489e-06,1.5165120139847e-06,"YDR217C","RAD9"
"P14741",6.38485034553429e-05,5.54318678072824e-05,"YKR026C","GCN3"
"P14742",0.000245236854095231,0.000203065576640092,"YKL104C","GFA1"
"P14743",7.82495881439804e-05,6.80552820340802e-05,"YLR195C","NMT1"
"P14747",3.026488446402e-05,2.71207252458787e-05,"YML057W","CMP2"
"P14772",8.97769328368292e-06,7.64677752929394e-06,"YLL015W","BPT1"
"P14832",0.000605293471083693,0.000838909542416344,"YDR155C","CPR1"
"P14843",8.39351391845476e-05,6.22221281748088e-05,"YDR035W","ARO3"
"P14904",0.000144127482572018,0.000121258939690868,"YKL103C","APE1"
"P14906",7.82467567560139e-05,6.78390113556628e-05,"YOR254C","SEC63"
