"Accession","Min_1","Min_2","Gene","Protein"
"A5Z2X5",3.7325431126775e-05,3.73170161442697e-05,"YPR010C-A","YPR010C-A"
"D6W196",6.42912998607844e-06,6.66506483061895e-06,"YNL083W","SAL1"
"O13297",3.07584390837118e-05,3.09666740313191e-05,"YPL228W","CET1"
"O13329",8.30724235338168e-06,6.48560897349553e-06,"YDR110W","FOB1"
"O13516",1.47867061935802e-07,1.57970108035054e-07,"YPL081W","RPS9A"
"O13525",1.70315194631265e-06,1.86130120966996e-06,"YDR204W","COQ4"
"O13539",4.55963748689108e-06,3.38556829668979e-06,"YHR167W","THP2"
"O13563",9.12949548281525e-05,8.29358394416137e-05,"YLR421C","RPN13"
"O13585",1.35336355062729e-06,1.19933241793288e-06,"YPR089W","YPR089W"
"O14455",2.83656318017916e-05,3.01550895785786e-05,"YPL249C-A","RPL36B"
"O14464",6.1759407481577e-08,6.77002093733911e-08,"YPL183W-A","RTC6"
"O14467",0.000240935111064981,0.000312272949606687,"YOR298C-A","MBF1"
"O60200",1.38921572202511e-05,1.58481367513743e-05,"YKL053C-A","MDM35"
"O74700",0.000138288260512493,0.000143181486053573,"YEL020W-A","TIM9"
"O75012",2.73337504302184e-05,2.92115955985041e-05,"YDL045W-A","MRP10"
"P00044",0.000110145343436148,0.000128482927140837,"YJR048W","CYC1"
"P00127",5.17014554984768e-07,4.22556173925099e-07,"YFR033C","QCR6"
"P00128",0.000367400227666864,0.000310310077415516,"YDR529C","QCR7"
"P00175",9.07627273152016e-06,8.22970394785068e-06,"YML054C","CYB2"
"P00330",0.0189015442743391,0.0177720964394165,"YOL086C","ADH1"
"P00331",0.000325672999206993,0.000442539145192614,"YMR303C","ADH2"
"P00359",0.00186087546677567,0.00178657028967821,"YGR192C","TDH3"
"P00360",4.48483184326102e-05,6.31072481537334e-05,"YJL052W","TDH1"
"P00401",3.61319065107718e-05,2.81145741425471e-05,"Q0045","COX1"
"P00420",1.24259535125892e-05,1.08297258822305e-05,"Q0275","COX3"
"P00424",0.000176089835614088,0.000175914121369858,"YNL052W","COX5A"
"P00427",0.000334530553692009,0.000277089055171121,"YHR051W","COX6"
"P00431",5.78327743789778e-05,8.79989768072677e-05,"YKR066C","CCP1"
"P00445",0.00286192695224823,0.00277596730846792,"YJR104C","SOD1"
"P00447",8.33813565179299e-05,9.62753957502154e-05,"YHR008C","SOD2"
"P00498",0.00117701463687097,0.00108538415050518,"YER055C","HIS1"
"P00546",7.59542312092958e-05,6.62453883714387e-05,"YBR160W","CDC28"
"P00549",0.0290177484407511,0.0353688813275206,"YAL038W","CDC19"
"P00560",0.0339938868724478,0.0318535924575035,"YCR012W","PGK1"
"P00572",3.10832655391806e-06,3.34060077308515e-06,"YJR057W","CDC8"
"P00724",8.16255407044588e-05,9.56496976652282e-05,"YIL162W","SUC2"
"P00729",2.94793892845862e-05,2.2381930937997e-05,"YMR297W","PRC1"
"P00812",3.86876354704054e-05,3.58890121144472e-05,"YPL111W","CAR1"
"P00815",0.00090302067374573,0.00123164164262425,"YCL030C","HIS4"
"P00817",0.00648387931843772,0.00641372656724787,"YBR011C","IPP1"
"P00830",0.00234946574809343,0.00183113613064999,"YJR121W","ATP2"
"P00890",0.0010013630035416,0.000852973396295689,"YNR001C","CIT1"
"P00899",0.000227530198765465,0.000270639620736158,"YER090W","TRP2"
"P00924",0.000661785271190975,0.000591265289115853,"YGR254W","ENO1"
"P00925",0.0216614297321868,0.0192000366478018,"YHR174W","ENO2"
"P00927",0.000466562438677715,0.000494787426882524,"YER086W","ILV1"
"P00931",0.000515484721673891,0.000458718883031843,"YGL026C","TRP5"
"P00937",0.000322784178416067,0.000286654168202364,"YKL211C","TRP3"
"P00942",0.0143766192280583,0.0145337769999694,"YDR050C","TPI1"
"P00950",0.00990675915774062,0.0113579295896561,"YKL152C","GPM1"
"P00958",0.000488942407754435,0.000429874570282534,"YGR264C","MES1"
"P01119",6.03385951511446e-06,7.236237358678e-06,"YOR101W","RAS1"
"P01120",3.37512279399425e-05,3.19420629345815e-05,"YNL098C","RAS2"
"P01123",0.000331480849575896,0.00030018888981448,"YFL038C","YPT1"
"P02293",0.00476859391259029,0.00449250194144144,"YDR224C","HTB1"
"P02309",0.00501896409582912,0.00530352961979515,"YBR009C","HHF1"
"P02381",1.39291744337939e-05,1.15524474906019e-05,"Q0140","VAR1"
"P02400",0.00682371873467841,0.0060544811705796,"YDR382W","RPP2B"
"P02406",0.00246312507177746,0.00296086132818783,"YGL103W","RPL28"
"P02407",0.00462161537931302,0.00490141477287309,"YML024W","RPS17A"
"P02557",0.000837746164271495,0.000826032532789742,"YFL037W","TUB2"
"P02829",0.000482098041778408,0.000425195677214574,"YPL240C","HSP82"
"P02992",0.000103989858791991,0.000119255967884083,"YOR187W","TUF1"
"P02994",0.0337098794771097,0.0363330749878161,"YPR080W","TEF1"
"P03871",3.76374966552876e-05,2.99158056834186e-05,"R0020C","REP1"
"P03872",9.84958592084366e-06,6.80737987088026e-06,"R0040C","REP2"
"P03874",1.12148188344084e-05,1.0014090431513e-05,"YHL038C","CBP2"
"P03876",4.22637073258558e-06,4.08101456050086e-06,"Q0055","AI2"
"P03962",0.000101392648004663,0.000109497038085788,"YEL021W","URA3"
"P03965",0.00270870822184593,0.00241630852218348,"YJR109C","CPA2"
"P04037",2.29442426252756e-06,3.61170440456529e-06,"YGL187C","COX4"
"P04039",0.000229643905758823,0.000243728664875318,"YLR395C","COX8"
"P04046",0.000382946038967998,0.000405530758673191,"YMR300C","ADE4"
"P04050",0.00032151250726109,0.000284749762247325,"YDL140C","RPO21"
"P04051",5.08298971923445e-05,5.05218775855505e-05,"YOR116C","RPO31"
"P04076",0.000611472825627084,0.000505283013608334,"YHR018C","ARG4"
"P04147",0.000982812063557753,0.00118856072039641,"YER165W","PAB1"
"P04161",0.000102192071590952,0.000101680440446711,"YDR408C","ADE8"
"P04173",0.00119384265570688,0.00119910807715993,"YCL018W","LEU2"
"P04449",7.97725636108484e-07,9.46876275576457e-07,"YGL031C","RPL24A"
"P04456",0.00145243961652791,0.0019529061095971,"YOL127W","RPL25"
"P04786",1.51896891287968e-05,1.58539359582142e-05,"YOL006C","TOP1"
"P04801",0.00094661106550512,0.000897071486141366,"YIL078W","THS1"
"P04802",0.000506714718376941,0.000445633721808068,"YLL018C","DPS1"
