ORF;uniprot
YLR106C;Q12019
YLR142W;P09368
YLR163C;P10507
YLR201C;Q05779
YLR203C;P32335
YLR270W;Q06151
YLR290C;Q05892
YLR304C;P19414
YLR312W-A;P36523
YLR335W;P32499
YLR342W;P38631
YLR348C;Q06143
YLR351C;P49954
YLR355C;P06168
YLR380W;Q06705
YLR454W;Q06179
YML008C;P25087
YML010W;P27692
YML021C;P12887
YML025C;P51998
YML052W;P54003
YML072C;Q03640
YML078W;P25719
YML086C;P54783
YML110C;P49017
YML120C;P32340
YML129C;P39103
YMR038C;P40202
YMR062C;Q04728
YMR072W;Q02486
YMR083W;P07246
YMR089C;P40341
YMR108W;P07342
YMR110C;Q04458
YMR128W;Q04217
YMR129W;P39685
YMR145C;P40215
YMR152W;P28625
YMR158W;Q03799
YMR188C;Q03246
YMR189W;P49095
YMR203W;P23644
YMR241W;Q04013
YMR264W;P38428
YMR302C;P32843
YMR307W;P22146
YNL037C;P28834
YNL052W;P00424
YNL055C;P04840
YNL071W;P12695
YNL088W;P06786
YNL104C;P06208
YNL112W;P24783
YNL121C;P07213
YNL131W;P49334
YNL168C;P53889
YNL169C;P39006
YNL185C;P53875
YNL208W;P40159
YNL239W;Q01532
YNL256W;P53848
YNL274C;P53839
YNL292W;P48567
YNL315C;P32453
YNR001C;P00890
YNR016C;Q00955
YNR017W;P32897
YNR018W;P53721
YOL021C;Q08162
YOL027C;Q08179
YOL059W;P41911
YOL109W;Q08245
YOL140W;P18544
YOR048C;Q02792
YOR065W;P07143
YOR086C;Q12466
YOR089C;P36017
YOR108W;Q12166
YOR136W;P28241
YOR142W;P53598
YOR151C;P08518
YOR153W;P33302
YOR176W;P16622
YOR187W;P02992
YOR206W;P39744
YOR211C;P32266
YOR215C;Q12032
YOR222W;Q99297
YOR232W;P38523
YOR241W;Q08645
YOR254C;P14906
YOR271C;Q12029
YOR285W;Q12305
YOR286W;Q08742
YOR316C;P32798
YOR317W;P30624
YOR335C;P40825
YOR354C;Q08818
YOR356W;Q08822
YOR374W;P46367
YPL004C;Q12230
YPL059W;Q02784
YPL061W;P54115
YPL063W;Q02776
YPL078C;P05626
YPL091W;P41921
YPL118W;Q02950
YPL135W;Q03020
YPL137C;Q03016
YPL154C;P07267
YPL173W;P36534
YPL188W;Q06892
YPL206C;Q08959
YPL215W;P21560
YPL217C;Q08965
YPL226W;Q08972
YPL231W;P19097
YPL262W;P08417
YPL270W;P33311
YPL271W;P21306
YPR002W;Q12428
YPR004C;Q12480
YPR020W;Q12233
YPR024W;P32795
YPR025C;P37366
YPR033C;P07263
YPR058W;P32331
YPR097W;Q06839
YPR149W;Q12207
YPR165W;P06780
YPR183W;P14020
YPR191W;P07257
YAL001C;P34111
YAL008W;P18411
YAL010C;P18409
YAL011W;P31376
YAL015C;P31378
YAL039C;P06182
YAL054C;Q01574
YAL056W;P39717
YAL062W;P39708
YAR008W;P39707
YAR035W;P80235
YBL013W;P32785
YBL016W;P16892
YBL038W;P38064
YBL059W;P34224
YBL080C;P33893
YBL088C;P38110
YBL090W;P38175
YBL095W;P38172
YBR001C;P35172
YBR003W;P18900
YBR004C;P38211
YBR024W;P38072
YBR037C;P23833
YBR044C;P38228
YBR047W;P38231
YBR054W;P38079
YBR081C;P35177
YBR085W;P18238
YBR091C;P32830
YBR097W;P22219
YBR120C;P07253
YBR122C;P36531
YBR129C;P38271
YBR136W;P38111
YBR140C;P18963
YBR150C;P38114
YBR163W;P38289
YBR176W;P38122
YBR179C;P38297
YBR185C;P38300
YBR192W;P38127
YBR211C;P38313
YBR230C;P38325
YBR238C;P38330
YBR251W;P33759
YBR262C;P38341
YBR268W;P36532
YBR269C;P38345
YBR282W;P36526
YCL005W;P25587
YCR003W;P25348
YCR010C;P25613
YCR024C;P25345
YCR032W;P25356
YCR046C;P25626
YCR071C;P25642
YCR079W;P25646
YDL027C;Q07349
YDL033C;Q12093
YDL044C;P10849
YDL048C;Q07351
YDL069C;P14066
YDL085W;Q07500
YDL104C;P43122
YDL107W;P40990
YDL119C;Q07534
YDL142C;Q07560
YDL157C;Q12082
YDL164C;P04819
YDL181W;P01097
YDL203C;Q07622
YDL207W;Q12315
YDL217C;Q12328
YDL222C;Q07651
YDL230W;P25044
YDL240W;P35688
YDL248W;Q07788
YDR027C;Q12071
YDR041W;Q03201
YDR046C;P41815
YDR049W;Q04311
YDR065W;Q12167
YDR069C;P32571
YDR070C;Q12497
YDR079W;P38958
YDR096W;Q03833
YDR115W;Q04598
YDR125C;Q04623
YDR175C;Q03976
YDR178W;P37298
YDR185C;Q04006
YDR197W;P14905
YDR204W;O13525
YDR231C;Q04935
YDR236C;Q03778
YDR237W;P36519
YDR263C;Q12086
YDR268W;P04803
YDR296W;Q06630
YDR301W;Q06632
YDR305C;P49775
YDR316W;Q06668
YDR322W;Q06678
YDR332W;Q06683
YDR337W;P21771
YDR343C;P39003
YDR350C;P50273
YDR375C;P32839
YDR376W;P48360
YDR393W;Q04172
YDR405W;P32387
YDR462W;P36527
YDR470C;Q03327
YDR493W;Q03429
YDR511W;Q04401
YDR514C;Q04408
YDR538W;P33751
YEL006W;P39953
YEL039C;P00045
YEL050C;P32611
YEL052W;P32317
YEL061C;P27895
YEL063C;P04817
YER014W;P40012
YER015W;P39518
YER017C;P39925
YER033C;P40021
YER050C;P40033
YER053C;P40035
YER058W;Q02771
YER061C;P39525
YER076C;P40049
YER077C;P40050
YER078C;P40051
YER140W;P40085
YER141W;P40086
YER153C;P10355
YER154W;P39952
YER166W;P32660
YER170W;P26364
YER183C;P40099
YFL011W;P43581
YFL030W;P43567
YFL036W;P13433
YFL046W;P43557
YFR011C;P43594
YFR015C;P23337
YFR019W;P34756
YFR031C;P38989
YFR045W;P43617
YFR049W;P19955
YGL002W;P53198
YGL005C;P53195
YGL023C;P53191
YGL057C;P53171
YGL059W;P53170
YGL064C;P53166
YGL073W;P10961
YGL080W;P53157
YGL085W;P53153
YGL093W;P53148
YGL104C;P53142
YGL129C;Q01163
YGL136C;P53123
YGL139W;P53121
YGL143C;P30775
YGL197W;P53094
YGL211W;P53088
YGL219C;P53083
YGL226W;P53077
YGL229C;P53036
YGL236C;P53070
YGL240W;P53068
YGL256W;P10127
YGR008C;P16965
YGR015C;P53208
YGR021W;P53212
YGR028W;P28737
YGR031W;P53219
YGR046W;P53230
YGR049W;P32564
YGR052W;P53233
YGR062C;P53239
YGR076C;P23369
YGR084C;P12686
YGR091W;P49704
YGR096W;P53257
YGR098C;Q03018
YGR101W;P53259
YGR102C;P53260
YGR112W;P53266
YGR144W;P32318
YGR147C;P37293
YGR150C;P48237
YGR169C;P53294
YGR171C;P22438
YGR174C;P37267
YGR183C;P22289
YGR215W;P53305
YGR222W;P10834
YGR235C;P50087
YGR236C;P50088
YGR243W;P53311
YGR257C;P53320
YGR260W;P53322
YGR287C;P53051
YHL014C;P38746
YHL018W;P38744
YHL035C;P38735
YHL038C;P03874
YHR002W;P38702
YHR004C;P38757
YHR011W;P38705
YHR017W;P32792
YHR038W;P38771
YHR050W;P38778
YHR059W;P38783
YHR067W;P38790
YHR075C;P38796
YHR080C;P38800
YHR083W;P14693
YHR091C;P38714
YHR106W;P38816
YHR116W;P38824
YHR120W;P25846
YHR147C;P32904
YHR155W;P38851
YHR162W;P38857
YHR171W;P38862
YHR186C;P38873
YHR189W;P38876
YHR198C;P38884
YHR199C;P38885
YIL006W;P40556
YIL016W;P40548
YIL042C;P40530
YIL047C;P40528
YIL062C;P40518
YIL066C;P21672
YIL070C;P40513
YIL077C;P40508
YIL087C;P40502
YIL093C;P40496
YIL098C;P40491
YIL111W;P00425
YIL114C;P40478
YIL129C;P40468
YIL134W;P40464
YIL149C;P40457
YIL155C;P32191
YIL157C;P40452
YIL162W;P00724
YIR021W;P07266
YIR024C;P40576
YJL003W;P47081
YJL023C;P47065
YJL043W;P47053
YJL045W;P47052
YJL063C;P22353
YJL066C;P40364
YJL070C;P40361
YJL071W;P40360
YJL094C;P40309
YJL102W;P39677
YJL112W;P47025
YJL113W;P47024
YJL131C;P47015
YJL133W;P10566
YJL143W;P39515
YJL147C;P47007
YJL161W;P46998
YJL166W;P08525
YJL208C;P08466
YJL209W;P07252
YJR019C;P41903
YJR034W;Q02772
YJR039W;P47107
YJR062C;P40354
YJR073C;P05375
YJR085C;P47131
YJR089W;P47134
YJR095W;P33303
YJR098C;P47139
YJR101W;P47141
YJR113C;P47150
YJR122W;P47158
YKL003C;P28778
YKL011C;Q03702
YKL033W;P36097
YKL055C;P35731
YKL070W;P36087
YKL084W;P36078
YKL087C;Q00873
YKL132C;P36001
YKL134C;P35999
YKL138C;P14063
YKL141W;P33421
YKL155C;P36056
YKL162C;P36052
YKL167C;P32388
YKL170W;P35996
YKL187C;P34231
YKL194C;P07236
YKL203C;P32600
YKL205W;P33418
YKL208W;P36038
YKL217W;P36035
YKR010C;Q02208
YKR019C;P36115
YKR023W;P36119
YKR027W;P36122
YKR036C;P36130
YKR042W;P36135
YKR052C;P23500
YKR063C;P36146
YKR064W;P36023
YKR065C;P36147
YKR079C;P36159
YKR085C;P22354
YKR087C;P36163
YLL006W;P41800
YLL009C;Q12287
YLL027W;Q07821
YLL060C;Q12390
YLR001C;Q07895
YLR008C;Q07914
YLR067C;P32522
YLR069C;P25039
YLR077W;Q08023
YLR084C;Q12465
YLR087C;Q12150
YLR090W;P39102
YLR091W;Q12393
YLR105C;P16658
YLR132C;Q12208
YLR139C;P42900
YLR164W;Q06236
YLR165C;Q06244
YLR168C;P35200
YLR183C;Q06266
YLR188W;P33310
YLR190W;Q06324
YLR193C;Q05776
YLR204W;P32344
YLR239C;Q06005
YLR247C;Q06554
YLR251W;Q06563
YLR253W;Q06567
YLR281C;Q05863
YLR283W;Q05867
YLR289W;P46943
YLR295C;Q12349
YLR305C;P37297
YLR346C;Q06139
YLR356W;Q06485
YLR368W;Q05930
YLR382C;P11325
YLR383W;Q12749
YLR393W;P18496
YLR395C;P04039
YLR419W;Q06698
YLR424W;Q06411
YLR426W;Q06417
YLR439W;P36517
YLR442C;P06701
YML030W;Q03713
YML042W;P32796
YML054C;P00175
YML060W;P53397
YML061C;P07271
YML076C;Q03631
YML091C;Q02773
YML128C;Q03104
YML133C;Q03099
YMR003W;Q03673
YMR023C;P32559
YMR024W;P36516
YMR030W;Q05043
YMR031C;Q05050
YMR035W;P46972
YMR056C;P04710
YMR059W;Q04675
YMR061W;P25298
YMR064W;P32493
YMR065W;Q04746
YMR066W;Q04748
YMR078C;P49956
YMR097C;Q03151
YMR098C;Q03153
YMR115W;Q04472
YMR150C;P28627
YMR157C;Q03798
YMR166C;Q03829
YMR167W;P38920
YMR177W;Q03218
YMR192W;Q04322
YMR193W;P36525
YMR207C;P32874
YMR211W;Q03652
YMR212C;Q03653
YMR221C;Q04991
YMR224C;P32829
YMR225C;P19956
YMR228W;P14908
YMR232W;Q05670
YMR252C;Q04814
YMR257C;P08468
YMR267W;P28239
YMR282C;P22136
YMR287C;P39112
YMR293C;Q03557
YMR301C;P40416
YMR306W;Q04952
YNL003C;P38921
YNL005C;P12687
YNL009W;P53982
YNL026W;P53969
YNL063W;P53944
YNL066W;P53616
YNL070W;P53507
YNL073W;P32048
YNL081C;P53937
YNL083W;D6W196
YNL100W;P50945
YNL102W;P13382
YNL122C;P53921
YNL125C;P53918
YNL137C;P27929
YNL144C;P53907
YNL177C;P53881
YNL195C;P40168
YNL200C;P40165
YNL211C;P53869
YNL213C;P40156
YNL227C;P53863
YNL249C;P53583
YNL250W;P12753
YNL252C;P36528
YNL268W;P32487
YNL284C;P36520
YNL306W;P42847
YNL318C;P42833
YNL328C;P42834
YNR002C;P32907
YNR022C;P53724
YNR036C;P53732
YNR037C;P53733
YNR040W;P53736
YNR041C;P32378
YNR045W;P07390
YNR055C;P53389
YNR070W;P53756
YOL009C;Q92328
YOL023W;P25038
YOL025W;Q92325
YOL033W;P48525
YOL042W;Q08213
YOL045W;Q08217
YOL071W;Q08230
YOL081W;P19158
YOL089C;Q12180
YOL095C;Q12039
YOL096C;P27680
YOL129W;Q12016
YOL141W;Q08282
YOR004W;Q12339
YOR011W;Q08409
YOR017W;P32606
YOR022C;Q12204
YOR037W;P38909
YOR040W;Q12320
YOR045W;P33448
YOR070C;Q08484
YOR090C;Q12511
YOR100C;Q12289
YOR125C;P41735
YOR130C;Q12375
YOR144C;Q12050
YOR147W;Q12171
YOR150W;Q12487
YOR158W;P17558
YOR188W;P21339
YOR191W;Q08562
YOR196C;P32875
YOR201C;P25270
YOR205C;Q08622
YOR221C;Q12283
YOR226C;Q12056
YOR227W;Q12276
YOR228C;Q12106
YOR266W;P38969
YOR274W;P07884
YOR297C;Q08749
YOR305W;Q08774
YOR330C;P15801
YOR334W;Q01926
YOR350C;P24720
YOR355W;P41913
YOR384W;Q08908
YOR386W;P05066
YPL005W;Q12089
YPL013C;Q02608
YPL029W;P32580
YPL036W;P19657
YPL040C;P48526
YPL060W;Q02783
YPL069C;Q12051
YPL082C;P32333
YPL083C;Q02825
YPL096W;Q02890
YPL097W;P48527
YPL099C;Q02888
YPL103C;Q02883
YPL104W;P15179
YPL105C;Q02875
YPL107W;Q02873
YPL109C;Q02981
YPL132W;P19516
YPL134C;Q03028
YPL148C;Q12036
YPL155C;P28743
YPL168W;Q12467
YPL172C;P21592
YPL196W;Q08952
YPL202C;Q08957
YPL222W;Q08968
YPL224C;Q08970
YPL252C;Q12184
YPL283C;P0CX15
YPR001W;P43635
YPR006C;Q12031
YPR011C;Q12251
YPR021C;Q12482
YPR047W;P08425
YPR054W;P41808
YPR067W;Q12425
YPR095C;Q06836
YPR098C;Q06089
YPR100W;Q06090
YPR116W;Q06109
YPR125W;Q06493
YPR134W;P08593
YPR140W;Q06510
YPR151C;Q06524
YPR155C;Q12374
YPR166C;P10663
YPR184W;Q06625
