ORF;uniprot
YAL019W;P31380
YAL029C;P32492
YAL044C;P39726
YBL015W;P32316
YBL022C;P36775
YBL030C;P18239
YBL045C;P07256
YBL057C;P34222
YBL064C;P34227
YBL098W;P38169
YBL099W;P07251
YBR026C;P38071
YBR039W;P38077
YBR078W;P38248
YBR084W;P09440
YBR104W;P38087
YBR106W;P38264
YBR111C;Q01976
YBR146W;P38120
YBR177C;P38295
YBR221C;P32473
YBR227C;P38323
YBR229C;P38138
YBR263W;P37292
YBR291C;P38152
YCL009C;P25605
YCL017C;P25374
YCL044C;P25573
YCL057W;P25375
YCL064C;P25379
YCR004C;P25349
YCR005C;P08679
YCR083W;P25372
YDL004W;Q12165
YDL015C;Q99190
YDL029W;P32381
YDL040C;P12945
YDL066W;P21954
YDL067C;P07255
YDL086W;Q07505
YDL120W;Q07540
YDL140C;P04050
YDL148C;Q99207
YDL168W;P32771
YDL171C;Q12680
YDL174C;P32891
YDL178W;P46681
YDL182W;P48570
YDL198C;P38988
YDL202W;P36521
YDL215C;P33327
YDR011W;P32568
YDR019C;P48015
YDR032C;Q12335
YDR035W;P14843
YDR036C;P28817
YDR039C;Q01896
YDR061W;Q12298
YDR074W;P31688
YDR116C;Q04599
YDR120C;P15565
YDR141C;Q03921
YDR148C;P19262
YDR150W;Q00402
YDR194C;P15424
YDR226W;P07170
YDR232W;P09950
YDR233C;Q04947
YDR234W;P49367
YDR298C;P09457
YDR341C;Q05506
YDR342C;P39004
YDR347W;P10662
YDR377W;Q06405
YDR384C;Q12359
YDR430C;P32898
YDR477W;P06782
YDR487C;Q99258
YDR505C;P50896
YDR508C;P48813
YDR513W;P17695
YDR529C;P00128
YEL024W;P08067
YEL031W;P39986
YEL037C;P32628
YEL047C;P32614
YER004W;P40008
YER020W;P10823
YER069W;Q01217
YER073W;P40047
YER080W;P40053
YER086W;P00927
YER125W;P39940
YER155C;P39960
YER164W;P32657
YER168C;P21269
YER178W;P16387
YER182W;P40098
YFL005W;P07560
YFL010C;P43582
YFL018C;P09624
YFL038C;P01123
YFR033C;P00127
YFR044C;P43616
YGL008C;P05030
YGL011C;P21243
YGL068W;P53163
YGL107C;P53140
YGL119W;P27697
YGL120C;P53131
YGL125W;P53128
YGL151W;P53114
YGL187C;P04037
YGL191W;P32799
YGL221C;P53081
YGL225W;P40107
YGR012W;P53206
YGR029W;P27882
YGR033C;P53220
YGR082W;P35180
YGR086C;P53252
YGR094W;P07806
YGR116W;P23615
YGR132C;P40961
YGR155W;P32582
YGR159C;P27476
YGR165W;P53292
YGR178C;P53297
YGR181W;P53299
YGR193C;P16451
YGR207C;P42940
YGR220C;P31334
YGR231C;P50085
YGR234W;P39676
YGR244C;P53312
YGR255C;P53318
YGR266W;P53326
YGR286C;P32451
YHL004W;P32902
YHL021C;P23180
YHR003C;P38756
YHR008C;P00447
YHR024C;P11914
YHR037W;P07275
YHR042W;P16603
YHR051W;P00427
YHR076W;P38797
YHR117W;P38825
YHR179W;Q03558
YHR183W;P38720
YHR208W;P38891
YIL022W;Q01852
YIL043C;P38626
YIL051C;P40185
YIL065C;P40515
YIL078W;P04801
YIL094C;P40495
YIL105C;P40485
YIL124W;P40471
YIL125W;P20967
YIL136W;P16547
YIR038C;P40582
YJL005W;P08678
YJL054W;P47045
YJL060W;P47039
YJL082W;P47031
YJL096W;P40858
YJL098W;P40856
YJL104W;P42949
YJL109C;P42945
YJL130C;P07259
YJL171C;P46992
YJL180C;P22135
YJL200C;P39533
YJR003C;P47084
YJR010W;P08536
YJR016C;P39522
YJR048W;P00044
YJR051W;P21375
YJR060W;P17106
YJR077C;P23641
YJR080C;P47127
YJR104C;P00445
YJR111C;P47148
YJR121W;P00830
YJR144W;P32787
YKL010C;P33202
YKL016C;P30902
YKL027W;P36101
YKL028W;P36100
YKL040C;P32860
YKL067W;P36010
YKL085W;P17505
YKL106W;Q01802
YKL114C;P22936
YKL120W;P32332
YKL148C;Q00711
YKL150W;P36060
YKL157W;P32454
YKL182W;P07149
YKL192C;P32463
YKL195W;P36046
YKL196C;P36015
YKL212W;P32368
YKR006C;Q02204
YKR016W;P36112
YKR049C;P36141
YKR066C;P00431
YKR070W;P36151
YLL001W;P54861
YLL036C;P32523
YLL040C;Q07878
YLL041C;P21801
YLR038C;Q01519
YLR059C;P54964
YLR089C;P52893
