"Accession","Min_1","Min_2","Min_3","Gene","Protein"
"A5Z2X5",1.76047130958745e-05,2.55680982240198e-05,2.43932330605179e-05,"YPR010C-A","YPR010C-A"
"D6VTK4",0.000199994415634443,0.000200895672304076,0.000203503840474183,"YFL026W","STE2"
"O13297",2.2851111982391e-05,2.26798830252064e-05,2.432372497182e-05,"YPL228W","CET1"
"O13329",6.72432977007269e-06,6.44805758834013e-06,6.79767794451421e-06,"YDR110W","FOB1"
"O13525",5.72462755916554e-06,5.89227901790906e-06,6.25058863789855e-06,"YDR204W","COQ4"
"O13539",7.55850324948952e-06,7.53298088731327e-06,7.70524047195165e-06,"YHR167W","THP2"
"O13563",6.83299569799103e-05,6.57823981331777e-05,6.89206587976796e-05,"YLR421C","RPN13"
"O13585",1.04274931857965e-06,1.06064223031925e-06,1.12280917709702e-06,"YPR089W","YPR089W"
"O14467",0.00016203358904754,0.000160561643778709,0.000167477241650048,"YOR298C-A","MBF1"
"O74700",3.20984967475594e-05,3.11672360255265e-05,3.28427724714833e-05,"YEL020W-A","TIM9"
"P00044",1.50727071723363e-05,2.03497134384733e-05,2.11528333459043e-05,"YJR048W","CYC1"
"P00045",8.33614395050813e-08,7.57949335209964e-08,9.2025841330376e-08,"YEL039C","CYC7"
"P00127",7.37986503733164e-08,7.46023605828899e-08,7.59395391615033e-08,"YFR033C","QCR6"
"P00128",5.81559686499079e-05,6.42948748531953e-05,6.86501145983937e-05,"YDR529C","QCR7"
"P00175",6.97131671646924e-06,7.58037645042483e-06,7.78144782395591e-06,"YML054C","CYB2"
"P00330",0.037255753915268,0.0349750260342809,0.0347126146970687,"YOL086C","ADH1"
"P00331",3.62000877475198e-05,6.13319054049672e-05,4.75668718189449e-05,"YMR303C","ADH2"
"P00359",0.00605925763764688,0.00598309821344452,0.00589830845679499,"YGR192C","TDH3"
"P00401",1.30858434880462e-05,1.6321750167232e-05,1.67103865229753e-05,"Q0045","COX1"
"P00410",0.000376156490983451,0.000481625423549391,0.000486640737364052,"Q0250","COX2"
"P00424",1.34360855898523e-05,1.80215422715149e-05,1.79295192819884e-05,"YNL052W","COX5A"
"P00425",5.57095658419475e-06,4.74956345427402e-06,5.63029931242321e-06,"YIL111W","COX5B"
"P00427",0.000109910106475482,0.00012137222121301,0.0001178953044013,"YHR051W","COX6"
"P00431",0.000158163042164537,0.00015968876065405,0.000154476264443257,"YKR066C","CCP1"
"P00445",0.000746265154494306,0.000754953766198904,0.000812015251066002,"YJR104C","SOD1"
"P00447",1.66086283958494e-05,2.09553024232435e-05,1.95779356686492e-05,"YHR008C","SOD2"
"P00498",0.00120027716380299,0.0012316159159803,0.00123943901275503,"YER055C","HIS1"
"P00546",5.72665022679634e-05,5.74390862955018e-05,5.83556811717409e-05,"YBR160W","CDC28"
"P00549",0.0414611340165196,0.0410404589727319,0.0405315755524977,"YAL038W","CDC19"
"P00560",0.0688841219201872,0.066267911905741,0.0697455769573642,"YCR012W","PGK1"
