"Accession","Min_1","Min_2","Min_3","Gene","Protein"
"P00572",2.89861356695026e-06,2.98725546537449e-06,2.75063076965787e-06,"YJR057W","CDC8"
"P00724",4.92413235486778e-05,4.54068749550308e-05,4.79641382933495e-05,"YIL162W","SUC2"
"P00729",3.02997702738143e-05,2.87004651542739e-05,2.98618790241395e-05,"YMR297W","PRC1"
"P00812",1.54344793024328e-05,1.70378849359479e-05,1.36402427619371e-05,"YPL111W","CAR1"
"P00815",0.00126631100450619,0.00122325788820853,0.0012634462837321,"YCL030C","HIS4"
"P00817",0.00465359056249759,0.0046008420053141,0.00439561364541283,"YBR011C","IPP1"
"P00830",0.00195816460780104,0.00203492427988262,0.00203011061950495,"YJR121W","ATP2"
"P00890",0.000432727316798077,0.000455257645649182,0.000472192058013633,"YNR001C","CIT1"
"P00899",0.000314502203923099,0.000316519219978914,0.000320050003196085,"YER090W","TRP2"
"P00924",0.00150478524275143,0.00126951491916671,0.00135677938746044,"YGR254W","ENO1"
"P00925",0.0288893080117966,0.0272572113288574,0.0279265765903021,"YHR174W","ENO2"
"P00927",0.000509623590051703,0.000505677032369214,0.000525747526435335,"YER086W","ILV1"
"P00931",0.000799671722644394,0.000800742370629074,0.000793760455406004,"YGL026C","TRP5"
"P00937",0.000541044147629425,0.00055691985172427,0.000564934806551895,"YKL211C","TRP3"
"P00942",0.0190931653367446,0.0181003137011232,0.0176596317693811,"YDR050C","TPI1"
"P00950",0.0180670428507007,0.0159503812212415,0.0167696764961023,"YKL152C","GPM1"
"P00958",0.000560202862705003,0.000569807552119624,0.00059201617609094,"YGR264C","MES1"
"P01119",6.19206874133318e-06,6.57885655757664e-06,6.69421964189553e-06,"YOR101W","RAS1"
"P01120",6.70306016156146e-05,6.65182461563805e-05,6.44756953540418e-05,"YNL098C","RAS2"
"P01123",0.000374261037530823,0.000387427514209721,0.000382682590443546,"YFL038C","YPT1"
"P02293",0.00197670415483867,0.00203355644827121,0.00215127243566301,"YDR224C","HTB1"
"P02309",0.00310851979501902,0.00343920156191617,0.00334516331958801,"YBR009C","HHF1"
"P02381",1.13749121615036e-05,1.25512910953997e-05,1.31402000719934e-05,"Q0140","VAR1"
"P02400",0.00434390191812176,0.00421867237874054,0.00443502502176197,"YDR382W","RPP2B"
"P02406",0.0013620581557896,0.00140757453934908,0.00127430918602684,"YGL103W","RPL28"
"P02407",0.00252808199097529,0.00271998156577288,0.0025408102843894,"YML024W","RPS17A"
"P02557",0.00122575999044287,0.0012277868281921,0.00122100424097155,"YFL037W","TUB2"
"P02829",0.000594914235414729,0.000597255427964543,0.000560284257361938,"YPL240C","HSP82"
"P02992",0.000112755622491316,0.000106488091500243,0.000116155457746896,"YOR187W","TUF1"
"P02994",0.0428464950106265,0.0427652894691582,0.0435883598058191,"YPR080W","TEF1"
"P03874",4.05004884627169e-06,4.10520645032427e-06,4.24230166396715e-06,"YHL038C","CBP2"
"P03876",8.18449134599272e-07,8.27422759060048e-07,7.63476975237489e-07,"Q0055","AI2"
"P03962",5.9721599280335e-05,6.42620074584672e-05,6.16144065863049e-05,"YEL021W","URA3"
"P03965",0.00173966503483709,0.00172873923829548,0.00180375887180245,"YJR109C","CPA2"
"P04037",5.7878347711468e-07,6.58938369990388e-07,7.04493898905956e-07,"YGL187C","COX4"
"P04046",0.000361114350703397,0.000375381196311685,0.000367621612525467,"YMR300C","ADE4"
"P04050",0.000330894349117347,0.00033259499883059,0.000340210659861492,"YDL140C","RPO21"
"P04051",4.07914512873144e-05,4.13948123485164e-05,4.43773630777134e-05,"YOR116C","RPO31"
"P04076",0.00163327716255191,0.00152437443030942,0.00160995977901304,"YHR018C","ARG4"
"P04147",0.000952433494564714,0.000922969603946554,0.000952194073009956,"YER165W","PAB1"
"P04161",0.00010821130162147,0.000114218550146908,0.000103569967977373,"YDR408C","ADE8"
"P04173",0.00277392270494792,0.0027504044621631,0.00276418287987328,"YCL018W","LEU2"
"P04449",4.36167740527952e-07,4.66443684661438e-07,4.38108605042582e-07,"YGL031C","RPL24A"
"P04456",0.00143811716695223,0.00142407081587114,0.00142675889032752,"YOL127W","RPL25"
"P04786",1.29083761608382e-05,1.34946992766111e-05,1.31451407847395e-05,"YOL006C","TOP1"
"P04801",0.00109159311724288,0.0011319604299666,0.00108703673659864,"YIL078W","THS1"
"P04802",0.000868429168551077,0.000861600766299111,0.000853871788848759,"YLL018C","DPS1"
"P04803",2.55064753449904e-05,2.51726104341713e-05,2.58275363965727e-05,"YDR268W","MSW1"
"P04806",0.000428450401780839,0.000236025842539618,0.000283789547730753,"YFR053C","HXK1"
"P04807",0.00394336029153292,0.00401022652144671,0.00374553781574316,"YGL253W","HXK2"
"P04817",6.05970547723633e-05,6.83570865411532e-05,6.37631522714154e-05,"YEL063C","CAN1"
"P04819",1.00115485550092e-05,1.06167968496044e-05,1.09189384047754e-05,"YDL164C","CDC9"
"P04821",2.28792520181288e-05,2.15513111224423e-05,2.49878679374881e-05,"YLR310C","CDC25"
"P04840",0.00155943224823132,0.00156120167748918,0.00156527450984933,"YNL055C","POR1"
"P04911",0.000978269496113519,0.000949476149324823,0.00100766728750734,"YDR225W","HTA1"
"P05030",0.00421631438045229,0.00438580602951841,0.00432867908828411,"YGL008C","PMA1"
"P05066",7.4179839266166e-07,7.86456374709648e-07,8.07782981150217e-07,"YOR386W","PHR1"
"P05150",0.000631505194376282,0.000628510414877684,0.000635300993631241,"YJL088W","ARG3"
"P05317",0.0104300725968328,0.0104387887551593,0.00993371840261736,"YLR340W","RPP0"
"P05319",0.00375410236920996,0.00360574789664412,0.00368023114941877,"YOL039W","RPP2A"
"P05373",0.000264950132724045,0.000284020049406389,0.000277582795936499,"YGL040C","HEM2"
"P05374",9.78732788965679e-05,0.000101095014466155,9.84687506469872e-05,"YGR157W","CHO2"
"P05375",0.000112094911237716,0.000110954917298276,0.000111238683582968,"YJR073C","OPI3"
"P05453",0.00027357009003116,0.000295029255967498,0.000283236868243175,"YDR172W","SUP35"
"P05626",0.000224621476881867,0.000248556096659099,0.000241609974255169,"YPL078C","ATP4"
"P05694",0.0160086762394895,0.0162239103893224,0.0159422461418428,"YER091C","MET6"
"P05737",0.000389853224634912,0.000380898715575681,0.00040205883077832,"YGL076C","RPL7A"
"P05738",1.01054207379276e-06,1.07372818465734e-06,1.14750429579982e-06,"YGL147C","RPL9A"
"P05739",0.000369378932127975,0.000376184339820667,0.000368722605168444,"YLR448W","RPL6B"
"P05740",6.04583872766094e-05,5.55517059741536e-05,6.96616433344504e-05,"YKL180W","RPL17A"
"P05743",0.000164037793710315,0.000172229148133218,0.000198899402371836,"YLR344W","RPL26A"
"P05748",0.0001915241326544,0.000204156973432699,0.000195166821426893,"YLR029C","RPL15A"
"P05749",0.00107764948780825,0.00111272421531053,0.00109784659480505,"YLR061W","RPL22A"
"P05750",0.00493844411400598,0.00490447391508166,0.00489474892977615,"YNL178W","RPS3"
"P05755",5.11134189046451e-07,5.28132875933948e-07,5.10386232647038e-07,"YBR189W","RPS9B"
"P05756",0.00523737382296975,0.00538721587088577,0.00523095309911035,"YDR064W","RPS13"
"P05759",0.00040316544383613,0.000444021932702533,0.00037431491162531,"YLR167W","RPS31"
"P05986",3.2434275000642e-06,3.29250798551427e-06,3.29172120084556e-06,"YKL166C","TPK3"
"P06100",3.28076047367915e-06,3.1309713875384e-06,3.45175903367848e-06,"YDL165W","CDC36"
"P06101",0.000154648717266712,0.00014906841194897,0.000157108128163088,"YDR168W","CDC37"
"P06102",8.21841138306958e-05,8.3367972914157e-05,8.49190486643559e-05,"YIL038C","NOT3"
"P06103",0.00033041644613493,0.000342739394927938,0.000330515396049845,"YOR361C","PRT1"
"P06105",0.00185833036652688,0.00186820657859578,0.00187546642567581,"YJL080C","SCP160"
"P06106",0.0172296144168083,0.0165350663048907,0.016510454159714,"YLR303W","MET17"
"P06168",0.00363430287445725,0.00339264326687939,0.00347318971653475,"YLR355C","ILV5"
"P06169",0.00493427932399298,0.00541370493988785,0.00491318699121982,"YLR044C","PDC1"
"P06174",1.6725725098433e-06,1.79984131878083e-06,1.76379604083579e-06,"YOR278W","HEM4"
"P06197",1.34947357127264e-05,1.34846553042022e-05,1.34992895508278e-05,"YPR113W","PIS1"
"P06208",0.000369117236221398,0.000372277258845664,0.000367382724756222,"YNL104C","LEU4"
"P06242",6.24132087559597e-06,6.71911302773415e-06,6.47160696276304e-06,"YDL108W","KIN28"
"P06243",7.99818765685913e-07,8.06867723147031e-07,8.89019520751738e-07,"YDL017W","CDC7"
"P06244",2.06161864352403e-06,1.90927902541683e-06,2.17366853200434e-06,"YJL164C","TPK1"
"P06245",1.13895982082202e-05,1.1392863656265e-05,1.09081037646674e-05,"YPL203W","TPK2"
"P06633",2.52436797956812e-05,2.42069938148743e-05,2.65080636116146e-05,"YOR202W","HIS3"
"P06634",0.00037060238422078,0.000379730879892614,0.000381594039997344,"YOR204W","DED1"
"P06700",3.37151482878235e-06,3.15170939904015e-06,3.38761890532555e-06,"YDL042C","SIR2"
"P06701",6.55275643720553e-06,6.56601744308571e-06,7.10582594062128e-06,"YLR442C","SIR3"
"P06704",3.84411633843709e-05,3.78330050301717e-05,3.75290721105375e-05,"YOR257W","CDC31"
"P06738",8.06605193077808e-05,6.10740277066287e-05,6.91583934787536e-05,"YPR160W","GPH1"
"P06773",1.28563852907344e-05,1.30075865190982e-05,1.36071127603667e-05,"YHR144C","DCD1"
"P06775",3.22178164045984e-05,3.39871374761873e-05,3.64971126199184e-05,"YGR191W","HIP1"
"P06776",1.19608246905158e-05,1.17088535644057e-05,1.20791642421767e-05,"YOR360C","PDE2"
"P06777",3.14732509894097e-05,3.17523181677377e-05,3.37403337972043e-05,"YPL022W","RAD1"
"P06778",5.62336361199434e-06,5.45241014860992e-06,6.11003684919921e-06,"YML032C","RAD52"
"P06779",3.46564879073729e-06,3.35785929984788e-06,3.63689095300149e-06,"YJR052W","RAD7"
"P06780",0.000153079110741602,0.000154448998255575,0.000154831675589336,"YPR165W","RHO1"
"P06781",5.52737679327725e-06,5.23191837579703e-06,5.76898124587625e-06,"YNL090W","RHO2"
"P06782",5.87755093534919e-05,6.1490807648035e-05,5.88216123514838e-05,"YDR477W","SNF1"
"P06785",6.01612838543402e-06,5.79662310218097e-06,6.36982459800908e-06,"YOR074C","CDC21"
"P06786",5.8780604218412e-05,6.19358292055908e-05,6.11272693806825e-05,"YNL088W","TOP2"
"P06787",0.00024644222213949,0.000236749516580432,0.000239388308295433,"YBR109C","CMD1"
"P06839",1.71472542310381e-05,1.70284973536918e-05,1.77611453636398e-05,"YER171W","RAD3"
"P06843",3.76534229686013e-07,3.16209113394618e-07,3.44849078371796e-07,"YER161C","SPT2"
"P06844",5.39841339474071e-06,2.83787893394183e-06,3.6259995723838e-06,"YDR392W","SPT3"
"P07143",3.29477988986333e-05,3.78233221430163e-05,3.88786474236058e-05,"YOR065W","CYT1"
"P07149",0.00545958215965819,0.00565997646728697,0.00559530262138278,"YKL182W","FAS1"
"P07170",0.000771862205125888,0.000817941541434783,0.000786542620327649,"YDR226W","ADK1"
"P07172",0.000318361476969078,0.000336528551016624,0.000327018817409041,"YIL116W","HIS5"
"P07213",0.000139986737959976,0.000145597566918739,0.000138169023623085,"YNL121C","TOM70"
"P07236",6.43955979225306e-06,7.1434771000843e-06,6.95156415104501e-06,"YKL194C","MST1"
"P07244",0.00200737610779814,0.00210051833320077,0.00207296647782501,"YGL234W","ADE5,7"
"P07245",0.0016996285967892,0.00178470338895182,0.00176866273778899,"YGR204W","ADE3"
"P07246",0.00268489798130381,0.00277800893076358,0.00272979662657,"YMR083W","ADH3"
"P07251",0.00053394325974026,0.000543622728194818,0.000568231985918597,"YBL099W","ATP1"
"P07253",3.87702375221915e-05,3.50060315758222e-05,4.04712278123802e-05,"YBR120C","CBP6"
"P07256",0.000520078013871014,0.000519098015145311,0.000547531971786533,"YBL045C","COR1"
"P07257",0.000237420445020601,0.000257007583672692,0.000260344235933657,"YPR191W","QCR2"
"P07258",0.000590627786715173,0.000649599132295089,0.000601186485817111,"YOR303W","CPA1"
"P07259",0.00368616942512105,0.00375991530677821,0.00376838245065275,"YJL130C","URA2"
"P07260",0.000504516691260537,0.000527913123128487,0.000516495549230064,"YOL139C","CDC33"
"P07261",3.81227227911644e-06,3.68716661513007e-06,3.75642795048881e-06,"YPL075W","GCR1"
"P07262",0.00496846385999326,0.00533396496263189,0.00497676407022894,"YOR375C","GDH1"
"P07263",0.000192312058625337,0.00019730325504209,0.000194022208037203,"YPR033C","HTS1"
"P07264",0.00116039705807318,0.00110276775771617,0.00113223427379678,"YGL009C","LEU1"
"P07267",0.000186568569272739,0.00017840342915104,0.000185779735728291,"YPL154C","PEP4"
"P07269",1.05404875329487e-05,1.02170013717082e-05,1.10243291799622e-05,"YDL106C","PHO2"
"P07270",2.4408150962042e-07,2.52819936640327e-07,2.76333345417933e-07,"YFR034C","PHO4"
"P07271",1.15483221600893e-06,1.13358861675883e-06,1.17246095426967e-06,"YML061C","PIF1"
"P07273",9.92276970522435e-05,0.000104236913342387,9.84551470598141e-05,"YGL043W","DST1"
"P07274",6.65847606281633e-06,6.70390612793377e-06,7.19630069472829e-06,"YOR122C","PFY1"
"P07275",0.000149022685279123,0.000148422824126358,0.000156001999425957,"YHR037W","PUT2"
"P07276",9.1319143236389e-07,8.1034522665079e-07,9.0700137815112e-07,"YGR258C","RAD2"
"P07277",0.000116113794951068,0.00012072188288241,0.000126256139087778,"YMR208W","ERG12"
"P07278",6.08419764485205e-05,6.29017387343674e-05,6.18917081179051e-05,"YIL033C","BCY1"
"P07280",0.0108429377320727,0.0105338118942443,0.0105074819076698,"YOL121C","RPS19A"
"P07283",0.00115853573224098,0.00122742059490085,0.00115895584611325,"YFL045C","SEC53"
"P07284",0.000440494741320034,0.000466702171972354,0.000443093243683682,"YDR023W","SES1"
"P07285",0.000133938505495672,0.000129024865136132,0.000137437067349325,"YDR354W","TRP4"
"P07342",0.000856413275207056,0.000850407158949572,0.000870144064818591,"YMR108W","ILV2"
"P07347",5.15758512634145e-05,5.36820833123544e-05,5.44749282392104e-05,"YHR013C","ARD1"
"P07390",6.04950438931002e-07,5.9957794760063e-07,5.80729098042967e-07,"YNR045W","PET494"
"P07560",0.000126493627052512,0.00013331499563301,0.000130371122417253,"YFL005W","SEC4"
"P07702",0.000959365527622972,0.000965527926951215,0.000987983504585756,"YBR115C","LYS2"
"P07703",5.43988289895698e-05,5.89362015854053e-05,5.61938368030696e-05,"YPR110C","RPC40"
"P07806",0.00134671164410507,0.00134622877962271,0.00133976498766534,"YGR094W","VAS1"
"P07834",3.75477822978338e-06,3.82185453767021e-06,4.37710344200766e-06,"YFL009W","CDC4"
"P07866",6.98346025774789e-06,6.68223598435566e-06,6.86224393342761e-06,"YAL024C","LTE1"
"P07884",8.61055051133541e-06,8.44245583677219e-06,8.93859556739844e-06,"YOR274W","MOD5"
"P07991",0.00013981459222296,0.0001406478043998,0.000133204413320234,"YLR438W","CAR2"
"P08004",1.30862735098456e-05,1.33091875832635e-05,1.64059263573704e-05,"YNL192W","CHS1"
"P08018",1.06285157674079e-05,1.05289762371753e-05,1.20916886333185e-05,"YJL128C","PBS2"
"P08067",1.92120317541772e-05,2.19761281954832e-05,2.30508503500547e-05,"YEL024W","RIP1"
"P08417",0.000489038917423882,0.00048478893133832,0.000488663673321261,"YPL262W","FUM1"
"P08425",3.60234776325331e-06,3.77172646449583e-06,3.69810455499322e-06,"YPR047W","MSF1"
"P08432",8.0678700726298e-06,9.02476709618117e-06,1.09617556523219e-05,"YKL184W","SPE1"
"P08465",8.9831475367249e-05,9.30321312110396e-05,9.36613859100542e-05,"YNL277W","MET2"
"P08466",4.92565816884317e-06,5.03965758640262e-06,4.8742358073497e-06,"YJL208C","NUC1"
"P08518",0.000145312734620283,0.000150530228717752,0.000150525401606099,"YOR151C","RPB2"
"P08524",0.00067554236562857,0.000752896761505854,0.000722076200898722,"YJL167W","ERG20"
"P08536",0.000758266844545723,0.000801059242470022,0.000790373459301935,"YJR010W","MET3"
"P08539",7.76263106777583e-05,7.89361752167245e-05,8.03901085627493e-05,"YHR005C","GPA1"
"P08566",0.000983104715540426,0.00100685586810081,0.00100509825686129,"YDR127W","ARO1"
"P08638",9.16545112146996e-07,8.46622943571184e-07,8.98732893333635e-07,"YLR451W","LEU3"
"P08678",1.82237739638298e-05,1.77181477434647e-05,1.88415975064561e-05,"YJL005W","CYR1"
"P08679",0.00023714201351221,0.000255369705705694,0.000246442795206996,"YCR005C","CIT2"
"P08964",9.07221227894842e-06,8.86376170145553e-06,9.40118674490857e-06,"YHR023W","MYO1"
"P09032",1.25973841098402e-05,1.27981046506909e-05,1.31279028171217e-05,"YOR260W","GCD1"
"P09064",0.00029396789441074,0.000309622731440435,0.000309455495635067,"YPL237W","SUI3"
"P09201",2.05882398832508e-05,8.42092904672038e-06,1.61383211010444e-05,"YLR377C","FBP1"
"P09232",0.000186678865124957,0.000180265370974027,0.000190592432649768,"YEL060C","PRB1"
"P09436",0.00135265036329879,0.00134544696823736,0.00131984021880013,"YBL076C","ILS1"
"P09440",0.000124116012142059,0.000133709400662093,0.000131601591401564,"YBR084W","MIS1"
"P09457",5.87224122465882e-05,6.21017150017344e-05,6.44423034728693e-05,"YDR298C","ATP5"
"P09547",2.60168573027195e-05,2.60425519425088e-05,2.7079479858601e-05,"YPL016W","SWI1"
"P09620",1.61634178887168e-05,1.59217019077734e-05,1.66249307137527e-05,"YGL203C","KEX1"
"P09624",0.00039312480925114,0.000402345297717813,0.000398860090269457,"YFL018C","LPD1"
"P09733",0.000228042209320196,0.000221605318426471,0.000227114720074332,"YML085C","TUB1"
"P09734",6.2565260226191e-05,6.45840999899192e-05,6.39247804852779e-05,"YML124C","TUB3"
"P09798",3.94737721578664e-06,3.9854068218379e-06,4.45225074771603e-06,"YKL022C","CDC16"
"P09880",3.70120584345103e-05,3.56091126130357e-05,3.80723369842492e-05,"YJL087C","TRL1"
"P09938",0.000498416702543278,0.00047723426137757,0.000450120540871907,"YJL026W","RNR2"
"P09950",7.60021522943718e-05,7.62602901034674e-05,7.82369491097594e-05,"YDR232W","HEM1"
"P09959",1.4080992576923e-05,1.3992950572616e-05,1.45229945266098e-05,"YLR182W","SWI6"
"P0C0T4",0.00135407655973714,0.00137130333859926,0.00131025910724201,"YLR333C","RPS25B"
"P0C0W1",0.00199627463578246,0.00183119655032887,0.00213134856897602,"YJL190C","RPS22A"
"P0C0W9",0.00226893121080185,0.00232583816173776,0.00225284985705654,"YPR102C","RPL11A"
"P0C0X0",0.000839004291703734,0.000842658876406696,0.000905841476208161,"YLR264W","RPS28B"
"P0C2H6",0.00160498402313706,0.00172084679504408,0.00163790282493573,"YHR010W","RPL27A"
"P0C2H8",3.86658820583144e-05,3.26283786975127e-05,4.00540190624929e-05,"YDL075W","RPL31A"
"P0C2H9",4.250211671452e-05,3.95827416623688e-05,4.3106430622283e-05,"YLR406C","RPL31B"
"P0C5N3",3.47758579978668e-05,3.81414100850093e-05,3.62044585619673e-05,"YGL041W-A","YGL041W-A"
"P0C5R9",3.28780268991725e-05,3.2272861081836e-05,3.29237070351978e-05,"YPR170W-B","YPR170W-B"
"P0CE41",2.03734686898226e-06,2.03051150682869e-06,2.18348042333767e-06,"YLR256W","HAP1"
"P0CH09",0.000109933873902695,0.000118254844120107,0.000109351440548268,"YKR094C","RPL40B"
"P0CS90",0.00219287988880322,0.0022059481544016,0.00219678414779405,"YJR045C","SSC1"
"P0CT04",6.62606690655047e-05,7.2934688810395e-05,7.74696457718592e-05,"YNL015W","PBI2"
"P0CW41",1.97324648551628e-06,1.78901217552268e-06,2.14121159292284e-06,"YJL221C","IMA4"
"P0CX15",2.89919162767972e-07,3.24968741420931e-07,3.31153991006074e-07,"YPL283C","YRF1-7"
"P0CX20",9.95445476547069e-07,8.99488750873487e-07,1.06679056334579e-06,"YDR545W","YRF1-1"
"P0CX23",0.00213368910355888,0.00226296143577296,0.00215422112583048,"YMR242C","RPL20A"
"P0CX26",0.000217576108542861,0.000231180478387924,0.000223584422188302,"YJR094W-A","RPL43B"
"P0CX28",0.000363453619023266,0.000368352170234672,0.000366491033815488,"YHR141C","RPL42B"
"P0CX29",0.000560173977147836,0.000574847299511683,0.000575749125735143,"YGR118W","RPS23A"
"P0CX31",0.00116191722538287,0.00121668339366987,0.00121157364426236,"YER074W","RPS24A"
"P0CX34",0.000203612814791671,0.00019460867700959,0.00020580050753606,"YOR182C","RPS30B"
"P0CX36",0.00423315564004548,0.00388002469253684,0.00424603213486298,"YHR203C","RPS4B"
"P0CX38",0.00879324784133448,0.00917591736312478,0.00897721854992233,"YBR181C","RPS6B"
"P0CX39",0.00346619682946257,0.00349907359031021,0.00347435372742684,"YBL072C","RPS8A"
"P0CX41",0.00258769035374102,0.00277147189834151,0.00266314474935352,"YBL087C","RPL23A"
"P0CX44",0.00243742802465201,0.00244502070137898,0.00251890142694225,"YGL135W","RPL1B"
"P0CX45",0.00384545008342465,0.00398384032129597,0.00393985631192787,"YFR031C-A","RPL2A"
"P0CX47",0.00157193675701082,0.00163889144824029,0.00156557217744577,"YDR025W","RPS11A"
"P0CX49",0.00221203044504818,0.00220755241728329,0.00231799388955171,"YOL120C","RPL18A"
"P0CX51",0.00396831054012303,0.0038135477312936,0.00367103453129262,"YMR143W","RPS16A"
"P0CX53",0.00487917197446517,0.00479287079823366,0.00491511264245559,"YEL054C","RPL12A"
"P0CX56",0.00883804663339914,0.00904384906019757,0.00843128154949185,"YML026C","RPS18B"
"P0CX82",0.00384730321826622,0.00384138442597613,0.00363800776808831,"YBR084C-A","RPL19A"
"P0CX84",0.00142192669084727,0.00140254463061147,0.00139394677746822,"YDL191W","RPL35A"
"P10080",0.000119103721873045,0.000112732773349457,0.000115989514896159,"YHL034C","SBP1"
"P10081",0.00393150617166428,0.00410215826612748,0.00404469466283583,"YKR059W","TIF1"
"P10356",4.62717680002313e-06,4.58591512106087e-06,4.62871733520992e-06,"YER152C","YER152C"
"P10363",9.27018316717818e-06,8.96904218713921e-06,9.16972084856766e-06,"YIR008C","PRI1"
"P10507",8.90346411478305e-05,8.7373589660591e-05,8.96919873691191e-05,"YLR163C","MAS1"
"P10591",0.00219907156760985,0.00206000441055065,0.00212356027476172,"YAL005C","SSA1"
"P10592",0.00267425948765897,0.00261679940083377,0.00248485466654196,"YLL024C","SSA2"
"P10614",0.000514445550901069,0.000618984153857396,0.00059207157013123,"YHR007C","ERG11"
"P10622",0.00325111872588724,0.0032088994250356,0.00318664410460746,"YDL130W","RPP1B"
"P10659",0.000256227832125511,0.000282676390868211,0.000264721968600164,"YLR180W","SAM1"
"P10662",1.19671793483911e-05,1.22691191920086e-05,1.24984904744947e-05,"YDR347W","MRP1"
"P10663",4.05448057766656e-06,4.24580037612549e-06,3.9961325558785e-06,"YPR166C","MRP2"
"P10823",9.009907853207e-05,9.44556195086711e-05,9.72940720244649e-05,"YER020W","GPA2"
"P10834",1.79951405947416e-06,1.74047416697498e-06,1.8438355401214e-06,"YGR222W","PET54"
"P10849",8.4137451408061e-06,8.12362935273387e-06,8.64557729056065e-06,"YDL044C","MTF2"
"P10862",1.58536800395724e-06,1.51009126598598e-06,2.15066216313926e-06,"YCR066W","RAD18"
"P10869",0.00101022161688049,0.000993634862458792,0.00100271816242897,"YER052C","HOM3"
"P10961",6.74769656337794e-06,6.45336190352522e-06,6.70904481822837e-06,"YGL073W","HSF1"
"P10962",2.41718582943056e-05,2.52264901186698e-05,2.39824955079027e-05,"YAL025C","MAK16"
"P10964",0.000296541987109152,0.000307829708190476,0.0003036432890467,"YOR341W","RPA190"
"P11075",7.52220802433452e-05,7.66913986288382e-05,7.60781564113864e-05,"YDR170C","SEC7"
"P11076",6.88328082829448e-05,7.0062657060396e-05,7.09549618417815e-05,"YDL192W","ARF1"
"P11154",0.00010512246106268,0.000109457174064161,0.000109582917325807,"YGL062W","PYC1"
"P11325",1.55395834327455e-05,1.52920077717837e-05,1.63274222656973e-05,"YLR382C","NAM2"
"P11353",0.000333639239975841,0.00032471098960032,0.000315228923772284,"YDR044W","HEM13"
"P11412",0.000468251996374955,0.00044564549941312,0.000464051837747761,"YNL241C","ZWF1"
"P11433",2.77989448869444e-05,2.7430526673734e-05,2.85440731940146e-05,"YAL041W","CDC24"
"P11484",8.00580864822593e-05,8.62422839258214e-05,8.39116279442478e-05,"YDL229W","SSB1"
"P11491",7.12493351891537e-05,6.37687251715332e-05,6.54863759184722e-05,"YDR481C","PHO8"
"P11632",0.000133438939411652,0.000133498626848642,0.000128526090359544,"YPR052C","NHP6A"
"P11633",7.7317275952745e-05,7.72312710724249e-05,7.58799998650026e-05,"YBR089C-A","NHP6B"
