"Accession","Rich_1","Rich_2","Gene","Protein"
"P04806",8.18750438592807e-05,7.61399754722391e-05,"YFR053C","HXK1"
"P04807",0.00370750213795694,0.00356340773592,"YGL253W","HXK2"
"P04817",4.94227827761493e-05,5.43943807817181e-05,"YEL063C","CAN1"
"P04819",1.63235204524887e-05,1.61994759540316e-05,"YDL164C","CDC9"
"P04821",1.89096295284835e-05,1.89150378881572e-05,"YLR310C","CDC25"
"P04840",0.00249026339425996,0.00272670355708992,"YNL055C","POR1"
"P04911",0.00129321829145406,0.0013550294523925,"YDR225W","HTA1"
"P05030",0.00364980324092164,0.00364724668338649,"YGL008C","PMA1"
"P05066",1.65532263321947e-06,1.68088389278835e-06,"YOR386W","PHR1"
"P05150",8.59348954511524e-05,0.000112084411871002,"YJL088W","ARG3"
"P05317",0.0144901492952624,0.01421662517508,"YLR340W","RPP0"
"P05319",0.00547409412047969,0.00499025913804359,"YOL039W","RPP2A"
"P05373",0.000605345091824824,0.000630445221015423,"YGL040C","HEM2"
"P05374",0.000183849616058965,0.000188231346860263,"YGR157W","CHO2"
"P05375",0.000109612435093872,0.000115932877031486,"YJR073C","OPI3"
"P05453",0.000375784348940691,0.000399369456434579,"YDR172W","SUP35"
"P05626",0.000924360851040968,0.000916276467769745,"YPL078C","ATP4"
"P05694",0.00246488300308793,0.00268143070578146,"YER091C","MET6"
"P05737",0.000657613438910739,0.000574782434676733,"YGL076C","RPL7A"
"P05738",1.93359132423973e-06,1.67633764202399e-06,"YGL147C","RPL9A"
"P05739",0.000776881780309523,0.000782507568268382,"YLR448W","RPL6B"
"P05740",0.000149903168984631,0.00014598052773636,"YKL180W","RPL17A"
"P05743",0.000324027935166579,0.000297977317710652,"YLR344W","RPL26A"
"P05744",6.44466091675519e-05,7.23151617034621e-05,"YPL143W","RPL33A"
"P05745",3.31520006767226e-06,3.81695431332918e-06,"YMR194W","RPL36A"
"P05748",0.000549862532027982,0.000549105131620504,"YLR029C","RPL15A"
"P05749",0.000731694241867797,0.000694332221742228,"YLR061W","RPL22A"
"P05750",0.00901024728929251,0.00875305619855614,"YNL178W","RPS3"
"P05755",1.3850664769353e-06,1.38030741125671e-06,"YBR189W","RPS9B"
"P05756",0.0127793488314175,0.0126785817767636,"YDR064W","RPS13"
"P05759",0.0012928276351968,0.0012047864518645,"YLR167W","RPS31"
"P05986",5.37384259028708e-06,5.43721292162753e-06,"YKL166C","TPK3"
"P06100",2.74589706390471e-06,2.72389467900557e-06,"YDL165W","CDC36"
"P06101",0.000181484819377534,0.000177581677512455,"YDR168W","CDC37"
"P06102",7.04721260126844e-05,7.05884513593181e-05,"YIL038C","NOT3"
"P06103",0.000731094219943425,0.000737593390146003,"YOR361C","PRT1"
"P06105",0.00180611306321206,0.00190226593920821,"YJL080C","SCP160"
"P06106",0.00176684723907525,0.00180417242194462,"YLR303W","MET17"
"P06115",2.17361974982221e-06,2.16079251265334e-06,"YGR088W","CTT1"
"P06168",0.00189009640469403,0.00201161010936156,"YLR355C","ILV5"
"P06169",0.00437061651556183,0.0043934501024925,"YLR044C","PDC1"
"P06174",4.24986882189503e-06,4.5527741863118e-06,"YOR278W","HEM4"
"P06182",1.41891012759369e-05,1.45509702572282e-05,"YAL039C","CYC3"
"P06197",2.30156688108508e-05,2.53921892011869e-05,"YPR113W","PIS1"
"P06208",0.000187154160690706,0.000169644494129483,"YNL104C","LEU4"
"P06244",1.60172465530865e-06,1.6540944314438e-06,"YJL164C","TPK1"
"P06245",1.05513888754314e-05,1.05275506907285e-05,"YPL203W","TPK2"
"P06633",2.41933335205637e-05,2.43933402026502e-05,"YOR202W","HIS3"
"P06634",0.000776935975426153,0.000756664078523199,"YOR204W","DED1"
"P06700",1.50069837868051e-06,1.64264200999134e-06,"YDL042C","SIR2"
"P06701",5.12473957845466e-06,5.31272971871241e-06,"YLR442C","SIR3"
"P06704",2.41038732346991e-05,2.24142044242629e-05,"YOR257W","CDC31"
"P06738",2.61041534984945e-05,2.61116195702588e-05,"YPR160W","GPH1"
"P06775",3.22066971348813e-05,3.22573172233662e-05,"YGR191W","HIP1"
"P06776",1.57160623114898e-05,1.53846479327029e-05,"YOR360C","PDE2"
"P06777",4.67702477755652e-05,4.70118373778266e-05,"YPL022W","RAD1"
"P06778",3.74552592607185e-06,3.70410270116121e-06,"YML032C","RAD52"
"P06779",4.42239972828347e-06,4.38552954319015e-06,"YJR052W","RAD7"
"P06780",0.000333168563920522,0.000337258454739532,"YPR165W","RHO1"
"P06782",4.88802764252495e-05,4.88166467845498e-05,"YDR477W","SNF1"
"P06785",7.71970669945215e-06,7.87316861721624e-06,"YOR074C","CDC21"
"P06786",0.00012890629353142,0.000110792805000023,"YNL088W","TOP2"
"P06787",0.000295006807433745,0.000281306877914447,"YBR109C","CMD1"
"P06839",1.99888790679325e-05,1.96797205755025e-05,"YER171W","RAD3"
"P06843",7.51492040860687e-07,7.2905509144222e-07,"YER161C","SPT2"
"P06844",6.40319522173389e-06,6.51967505278448e-06,"YDR392W","SPT3"
"P07143",0.000130969882187052,0.000122185531715116,"YOR065W","CYT1"
"P07149",0.00641507944776772,0.00634496106354908,"YKL182W","FAS1"
"P07170",0.000452284129810661,0.000404585907035737,"YDR226W","ADK1"
"P07172",0.000248372428768079,0.00024452816780905,"YIL116W","HIS5"
"P07213",0.000196945286958206,0.000205825875942481,"YNL121C","TOM70"
"P07236",1.33303230540826e-05,1.40349616126708e-05,"YKL194C","MST1"
"P07244",0.00173166620102674,0.00178558853491589,"YGL234W","ADE5,7"
"P07245",0.00112732549318783,0.00113997194152722,"YGR204W","ADE3"
"P07246",0.00122437767494847,0.00148030123607948,"YMR083W","ADH3"
"P07251",0.00218429985509633,0.0022686485221636,"YBL099W","ATP1"
"P07253",0.00017123877243185,0.000177456005457039,"YBR120C","CBP6"
"P07255",0.000322904491614006,0.000306847003519462,"YDL067C","COX9"
"P07256",0.000858173717883132,0.000911831912936591,"YBL045C","COR1"
"P07257",0.00157608471122311,0.00157006101019673,"YPR191W","QCR2"
"P07258",0.000121440963151661,0.000110885507654418,"YOR303W","CPA1"
"P07259",0.00644000041407429,0.00640707524922725,"YJL130C","URA2"
"P07260",0.000223717003240875,0.000229485529600204,"YOL139C","CDC33"
"P07261",5.17573328303182e-06,5.36681653857045e-06,"YPL075W","GCR1"
"P07262",0.00156327822831185,0.00161398794319167,"YOR375C","GDH1"
"P07263",0.000139909699779174,0.000148640383030974,"YPR033C","HTS1"
"P07264",0.000250222267953207,0.000270906267651061,"YGL009C","LEU1"
"P07266",7.38171479187987e-06,5.60844560923326e-06,"YIR021W","MRS1"
"P07267",0.000211728829832648,0.000210899515208191,"YPL154C","PEP4"
"P07270",4.68953984058137e-07,4.41253400159682e-07,"YFR034C","PHO4"
"P07271",1.15401504980854e-06,1.11393540731636e-06,"YML061C","PIF1"
"P07272",2.04315412946389e-07,1.88399801379048e-07,"YLR014C","PPR1"
"P07273",5.08143713088302e-05,4.7242816398138e-05,"YGL043W","DST1"
"P07275",0.000166016277984396,0.000170702412971609,"YHR037W","PUT2"
"P07276",5.56292792438915e-07,5.68233453075284e-07,"YGR258C","RAD2"
"P07277",5.84898322539929e-05,5.67222517386187e-05,"YMR208W","ERG12"
"P07278",0.000124830239116134,0.000126585494088258,"YIL033C","BCY1"
"P07280",0.011762740648186,0.0118951663998487,"YOL121C","RPS19A"
"P07283",0.00137941264423558,0.00133546075160656,"YFL045C","SEC53"
"P07284",0.000603619851329639,0.000576282701651865,"YDR023W","SES1"
"P07285",5.94032083667528e-05,5.74687960862957e-05,"YDR354W","TRP4"
"P07342",0.00043564302588742,0.000491183160597542,"YMR108W","ILV2"
"P07347",6.21123931654049e-05,6.42552750280043e-05,"YHR013C","ARD1"
"P07390",5.49999544237053e-07,4.92582296008622e-07,"YNR045W","PET494"
"P07560",0.000152345732385119,0.000164004993198444,"YFL005W","SEC4"
"P07702",0.000277469430786866,0.000315850523089816,"YBR115C","LYS2"
"P07703",5.88923234797259e-05,6.27740434997193e-05,"YPR110C","RPC40"
"P07806",0.00137654868282677,0.00140169906041517,"YGR094W","VAS1"
"P07866",4.33334911087574e-06,4.24354234478923e-06,"YAL024C","LTE1"
"P07884",9.20463005837075e-06,8.99314029469227e-06,"YOR274W","MOD5"
"P07991",0.000238288901550902,0.000233708246962207,"YLR438W","CAR2"
"P08004",1.92265207054972e-05,1.96687687764592e-05,"YNL192W","CHS1"
"P08018",2.05081661298664e-05,1.45948485703828e-05,"YJL128C","PBS2"
"P08067",0.000191579410770622,0.000221662079418689,"YEL024W","RIP1"
"P08417",0.000964587253956041,0.000973797054329488,"YPL262W","FUM1"
"P08425",5.85022543209971e-06,5.96088817678406e-06,"YPR047W","MSF1"
"P08432",2.91145617261855e-05,2.83717554762064e-05,"YKL184W","SPE1"
"P08465",4.98401568329265e-06,8.07166664967484e-06,"YNL277W","MET2"
"P08466",1.11934557407056e-05,1.1018030317529e-05,"YJL208C","NUC1"
"P08518",0.000252954509696722,0.00024699762334417,"YOR151C","RPB2"
"P08524",0.00175281157386148,0.00175650267185999,"YJL167W","ERG20"
"P08525",1.96096445470488e-05,1.92338133113731e-05,"YJL166W","QCR8"
"P08536",0.000109656742048147,0.000151553794026371,"YJR010W","MET3"
"P08539",8.03609207785573e-05,7.97675989238167e-05,"YHR005C","GPA1"
"P08566",0.000627253696118937,0.000653801514309868,"YDR127W","ARO1"
"P08638",8.10368668825592e-06,7.87461090553886e-06,"YLR451W","LEU3"
"P08678",1.70814565266604e-05,1.51813130723426e-05,"YJL005W","CYR1"
"P08679",0.000132319645063279,0.00013628890051235,"YCR005C","CIT2"
"P08964",1.13386493583249e-05,1.1341892335341e-05,"YHR023W","MYO1"
"P09032",1.99712019405242e-05,1.94061449522672e-05,"YOR260W","GCD1"
"P09064",0.000424398338166041,0.000426393979958346,"YPL237W","SUI3"
"P09201",3.1209788116364e-06,3.12187144551491e-06,"YLR377C","FBP1"
"P09232",0.000244830055570841,0.000242665589851446,"YEL060C","PRB1"
"P09368",3.02755348089765e-06,1.54332911430893e-06,"YLR142W","PUT1"
"P09435",5.13157861427436e-06,4.80116830792488e-06,"YBL075C","SSA3"
"P09436",0.00125592367426749,0.00128347515227082,"YBL076C","ILS1"
"P09440",0.000319408378689059,0.000330089639481308,"YBR084W","MIS1"
"P09457",0.000300231815542087,0.000296540104161404,"YDR298C","ATP5"
"P09547",5.99323516262093e-05,5.75300066687265e-05,"YPL016W","SWI1"
"P09620",1.86054055296703e-05,1.88847239894258e-05,"YGL203C","KEX1"
"P09624",0.00102673516622256,0.00115567544038562,"YFL018C","LPD1"
"P09733",8.98074150035897e-05,9.32535997327682e-05,"YML085C","TUB1"
"P09734",3.59612688040491e-05,3.57976104326898e-05,"YML124C","TUB3"
"P09880",4.04112171257526e-05,4.09626452924692e-05,"YJL087C","TRL1"
"P09938",0.000167961060783267,0.000172363546975649,"YJL026W","RNR2"
"P09950",6.56254418298761e-05,6.88019348184192e-05,"YDR232W","HEM1"
"P09959",2.64475419856343e-05,2.67231417947612e-05,"YLR182W","SWI6"
"P0C0T4",0.00413252152066509,0.00399952939014379,"YLR333C","RPS25B"
"P0C0W1",0.00376897842409312,0.00387426933384947,"YJL190C","RPS22A"
"P0C0W9",0.0046443331630818,0.00458215118385375,"YPR102C","RPL11A"
"P0C0X0",0.0011885792142168,0.00126944802211157,"YLR264W","RPS28B"
"P0C2H6",0.00300072838395311,0.00292058207908734,"YHR010W","RPL27A"
"P0C2H8",9.58106938289993e-05,9.23318248977463e-05,"YDL075W","RPL31A"
"P0C2H9",8.40627811064127e-05,8.55939813884943e-05,"YLR406C","RPL31B"
"P0C5N3",1.58294037128214e-05,1.64367457299908e-05,"YGL041W-A","YGL041W-A"
"P0C5R9",5.93501118761098e-05,6.30775295693394e-05,"YPR170W-B","YPR170W-B"
"P0CE41",7.48869618422733e-07,7.24603940424827e-07,"YLR256W","HAP1"
"P0CH09",0.000146010833439448,0.000144798923789732,"YKR094C","RPL40B"
"P0CS90",0.0025510012824654,0.00254656021593099,"YJR045C","SSC1"
"P0CT04",8.93173428103812e-05,9.13505939021737e-05,"YNL015W","PBI2"
"P0CX11",7.48393439257357e-06,4.08631747942174e-06,"YPL281C","ERR2"
"P0CX15",1.81083066121015e-07,1.82345113021997e-07,"YPL283C","YRF1-7"
"P0CX23",0.00602874422154914,0.00576720112425139,"YMR242C","RPL20A"
"P0CX26",0.000610662730926051,0.000611860565310471,"YJR094W-A","RPL43B"
"P0CX28",0.000987895915263301,0.00100112700963118,"YHR141C","RPL42B"
"P0CX29",0.00129800081884025,0.00126909306447503,"YGR118W","RPS23A"
"P0CX31",0.00217047819572941,0.00217460829556144,"YER074W","RPS24A"
"P0CX34",0.000493210583626366,0.000478536282435312,"YOR182C","RPS30B"
"P0CX36",0.00727859213830093,0.00789125137517919,"YHR203C","RPS4B"
"P0CX38",0.0104920712313247,0.010742176456339,"YBR181C","RPS6B"
"P0CX39",0.00473531205511382,0.00467825175312832,"YBL072C","RPS8A"
"P0CX41",0.00332585857216897,0.00329249198430799,"YBL087C","RPL23A"
"P0CX44",0.00594341357509297,0.00605173933960839,"YGL135W","RPL1B"
"P0CX45",0.0066676713007013,0.0067153948613411,"YFR031C-A","RPL2A"
"P0CX47",0.00344397528657859,0.00352453403185674,"YDR025W","RPS11A"
"P0CX49",0.00407298293946058,0.004004934534207,"YOL120C","RPL18A"
"P0CX51",0.00638051328190463,0.00656310156875148,"YMR143W","RPS16A"
"P0CX53",0.00798865252797883,0.0087219817614244,"YEL054C","RPL12A"
"P0CX56",0.0139470076643396,0.0142542791962865,"YML026C","RPS18B"
"P0CX82",0.00908615297508671,0.00892688080581418,"YBR084C-A","RPL19A"
"P0CX84",0.00285622866046264,0.00302898934903991,"YDL191W","RPL35A"
"P10080",9.12908431219175e-05,9.45699745327717e-05,"YHL034C","SBP1"
"P10081",0.00349547187001783,0.003652241231382,"YKR059W","TIF1"
"P10127",0.000140611707294387,0.000106522167861239,"YGL256W","ADH4"
"P10363",9.55209605128944e-06,9.09560376053363e-06,"YIR008C","PRI1"
"P10507",0.000104369467507681,0.000109683053442965,"YLR163C","MAS1"
"P10566",3.21017660260588e-06,3.53859446112935e-06,"YJL133W","MRS3"
"P10591",0.000703602068074088,0.000494220027696047,"YAL005C","SSA1"
"P10592",0.00187718435156101,0.00126112730216954,"YLL024C","SSA2"
"P10614",0.000504986862421573,0.000521834032339094,"YHR007C","ERG11"
"P10622",0.00388796240945503,0.00363617217140454,"YDL130W","RPP1B"
"P10659",5.56999025601231e-05,4.40774148184682e-05,"YLR180W","SAM1"
"P10662",1.94064178053731e-05,2.07636164116578e-05,"YDR347W","MRP1"
"P10663",9.91910890070293e-06,1.02971455075915e-05,"YPR166C","MRP2"
"P10664",0.0039808817095983,0.00387028598452054,"YBR031W","RPL4A"
"P10823",3.27363965442733e-05,3.24480707868544e-05,"YER020W","GPA2"
"P10849",1.32555146075176e-05,1.23930311813553e-05,"YDL044C","MTF2"
"P10862",2.9014647511938e-06,2.78421409324509e-06,"YCR066W","RAD18"
"P10869",0.000389862180468893,0.000387960051805098,"YER052C","HOM3"
"P10961",8.50436544120223e-06,1.04717652869692e-05,"YGL073W","HSF1"
"P10962",4.20851771844768e-05,4.31906481327402e-05,"YAL025C","MAK16"
"P10963",7.03151514413046e-06,7.36845605458737e-06,"YKR097W","PCK1"
"P10964",0.000507113386471654,0.000527764618120801,"YOR341W","RPA190"
"P11075",0.000136620836362619,0.000136942851182642,"YDR170C","SEC7"
"P11076",3.48476596974956e-05,3.4091056834384e-05,"YDL192W","ARF1"
"P11154",6.80672481102918e-05,6.95217990922177e-05,"YGL062W","PYC1"
"P11325",1.53074049877731e-05,1.61601932158909e-05,"YLR382C","NAM2"
"P11353",3.41624122715411e-05,3.40601431483753e-05,"YDR044W","HEM13"
"P11412",0.000234170667810544,0.000247383633345768,"YNL241C","ZWF1"
"P11433",2.71117000847833e-05,2.54144984546558e-05,"YAL041W","CDC24"
"P11484",6.53531270016808e-05,6.88074730539464e-05,"YDL229W","SSB1"
"P11491",8.71613670212237e-05,9.63868600321702e-05,"YDR481C","PHO8"
"P11632",0.000139833060798479,0.000129325250459,"YPR052C","NHP6A"
"P11633",0.000108378142020947,0.000110113685564264,"YBR089C-A","NHP6B"
"P11709",2.36667804504735e-08,2.42873838774055e-08,"YCL029C","BIK1"
"P11745",0.00038514629413817,0.00036133529803196,"YMR235C","RNA1"
"P11747",5.93820367775194e-06,5.92309895098599e-06,"YML098W","TAF13"
"P11792",4.54781142814313e-05,4.66715298594049e-05,"YHR205W","SCH9"
"P11914",0.000156781918031468,0.000155603673719954,"YHR024C","MAS2"
"P11938",5.52576460969965e-05,5.63493326305974e-05,"YNL216W","RAP1"
"P11972",1.37052780057003e-05,1.37091978642449e-05,"YLR452C","SST2"
"P11978",4.18395222635465e-06,4.39936503350466e-06,"YDR227W","SIR4"
"P11986",0.000349186610077075,0.000339538951535554,"YJL153C","INO1"
"P12383",5.33514592745997e-05,5.06841567479224e-05,"YGL013C","PDR1"
"P12385",0.000711793513805842,0.000737952671202282,"YBR143C","SUP45"
"P12611",4.43730631702651e-05,4.36029368118399e-05,"YOR043W","WHI2"
"P12612",0.000680631576070746,0.000649548970068237,"YDR212W","TCP1"
"P12683",0.000184362735186543,0.000193843188203291,"YML075C","HMG1"
"P12684",2.21634683543379e-05,1.83822548392182e-05,"YLR450W","HMG2"
"P12686",2.07414866200219e-05,1.93818266729697e-05,"YGR084C","MRP13"
"P12687",3.6953337813624e-05,3.78154314262489e-05,"YNL005C","MRP7"
"P12688",7.27642651962433e-06,7.30613007668447e-06,"YKL126W","YPK1"
"P12695",0.000374128977721401,0.000378940663602498,"YNL071W","LAT1"
"P12709",0.00833023243063727,0.00821079311144479,"YBR196C","PGI1"
"P12753",7.65963148905513e-06,7.37424712996372e-06,"YNL250W","RAD50"
"P12754",8.15122052185385e-05,7.88114056471461e-05,"YGR083C","GCD2"
"P12866",3.60380889490825e-06,3.69766811159829e-06,"YKL209C","STE6"
"P12868",3.2691724280475e-05,3.21028840824878e-05,"YMR231W","PEP5"
"P12887",3.09905918390986e-06,3.01408966121697e-06,"YML021C","UNG1"
"P12904",0.000128210018547025,0.000129868484644735,"YGL115W","SNF4"
"P12945",0.000156685051647806,0.00015548597745676,"YDL040C","NAT1"
"P12954",7.01839607457798e-06,7.31381476783195e-06,"YJL092W","SRS2"
"P12962",4.20338757790235e-06,4.48437765295473e-06,"YOR276W","CAF20"
"P13090",1.4738328740649e-06,1.50373949441962e-06,"YML116W","ATR1"
"P13185",1.59654388565464e-05,1.54460803110023e-05,"YDR122W","KIN1"
"P13186",7.19049351964726e-07,6.86617580314092e-07,"YLR096W","KIN2"
"P13188",0.000671225100769393,0.000684775114563005,"YOR168W","GLN4"
"P13259",1.39847779294899e-05,1.44673984279232e-05,"YGR202C","PCT1"
"P13298",0.000383910740203584,0.000424370527424856,"YML106W","URA5"
"P13382",0.000110397242836897,0.000105197978918104,"YNL102W","POL1"
"P13393",1.39860728323285e-05,1.42422978750676e-05,"YER148W","SPT15"
"P13433",1.49963289828991e-05,1.45293094018199e-05,"YFL036W","RPO41"
"P13517",1.20765103798222e-05,8.61426426377933e-06,"YIL034C","CAP2"
"P13574",2.9414770222963e-06,2.93080990087e-06,"YHR084W","STE12"
"P13586",0.000113283334297748,0.00011639496648071,"YGL167C","PMR1"
"P13663",0.000643561611709285,0.000579467047848605,"YDR158W","HOM2"
"P13711",3.52541154484892e-05,3.51039066974665e-05,"YGL205W","POX1"
"P13856",1.03032822825929e-05,9.12354710166862e-06,"YGR152C","RSR1"
"P14020",0.000590111548675434,0.000575640437933005,"YPR183W","DPM1"
"P14065",3.99880580241568e-06,3.97599771092001e-06,"YOR120W","GCY1"
"P14120",0.00207483284665429,0.00209329220775,"YGL030W","RPL30"
"P14126",0.0110602869811736,0.011009350341843,"YOR063W","RPL3"
"P14164",5.87849747668114e-05,6.17652732411144e-05,"YKL112W","ABF1"
"P14180",1.4202651300363e-05,1.39219797054324e-05,"YBR038W","CHS2"
"P14540",0.00720641574268345,0.00718505369801069,"YKL060C","FBA1"
"P14680",6.27687362912308e-06,6.25142953884163e-06,"YJL141C","YAK1"
"P14681",6.87315334282208e-06,6.98770296812096e-06,"YGR040W","KSS1"
"P14693",3.19012795847616e-05,3.21918626056538e-05,"YHR083W","SAM35"
"P14736",2.45643230705329e-07,2.89877676241573e-07,"YER162C","RAD4"
"P14737",1.92373807998481e-06,1.81642027774298e-06,"YDR217C","RAD9"
"P14741",6.27244179528628e-05,6.32105843693641e-05,"YKR026C","GCN3"
"P14742",0.000280010530492792,0.000270579342685334,"YKL104C","GFA1"
"P14743",8.32607093157001e-05,8.32150611302663e-05,"YLR195C","NMT1"
"P14747",3.1171890278357e-05,3.06090306108711e-05,"YML057W","CMP2"
"P14772",9.55386491474186e-06,9.60592179780013e-06,"YLL015W","BPT1"
"P14832",0.000641735929980802,0.000641283909600105,"YDR155C","CPR1"
"P14843",7.09677648683098e-05,7.09880624207852e-05,"YDR035W","ARO3"
"P14904",0.00011527079359969,0.000117193987911624,"YKL103C","APE1"
"P14906",8.15936378043227e-05,8.28181538019585e-05,"YOR254C","SEC63"
"P14907",1.66671308602906e-05,1.67448601947494e-05,"YJL041W","NSP1"
