"Accession","Rich_1","Rich_2","Gene","Protein"
"A5Z2X5",4.46097803558106e-05,4.49375218680074e-05,"YPR010C-A","YPR010C-A"
"D6W196",5.75544230180632e-06,6.09622725028247e-06,"YNL083W","SAL1"
"O13297",3.35961556916503e-05,3.41594717048474e-05,"YPL228W","CET1"
"O13329",7.71114306952569e-06,7.77210092308457e-06,"YDR110W","FOB1"
"O13516",1.63682214817716e-07,1.6502626028038e-07,"YPL081W","RPS9A"
"O13525",1.73060416581536e-06,1.77619791254917e-06,"YDR204W","COQ4"
"O13539",4.64779371947768e-06,4.47679750051017e-06,"YHR167W","THP2"
"O13563",0.000108760713203662,0.00011315512823711,"YLR421C","RPN13"
"O13585",1.4704739550001e-06,1.42058490277147e-06,"YPR089W","YPR089W"
"O14455",3.13325515730596e-05,3.73199519239701e-05,"YPL249C-A","RPL36B"
"O14464",6.7817292852126e-08,6.28683684262781e-08,"YPL183W-A","RTC6"
"O14467",0.000274281409812146,0.000261408380392973,"YOR298C-A","MBF1"
"O60200",1.62184722163039e-05,1.81076136542149e-05,"YKL053C-A","MDM35"
"O74700",0.000163813322438318,0.000164107200219078,"YEL020W-A","TIM9"
"O75012",3.37717207024179e-05,3.33154297158262e-05,"YDL045W-A","MRP10"
"P00044",0.000108604549433173,0.000112450297110501,"YJR048W","CYC1"
"P00127",6.36043140652915e-07,6.24426303087679e-07,"YFR033C","QCR6"
"P00128",0.000426757054056685,0.000440602805145583,"YDR529C","QCR7"
"P00175",9.70264735167917e-06,9.83179510201761e-06,"YML054C","CYB2"
"P00330",0.0124574700913006,0.0130151080360778,"YOL086C","ADH1"
"P00331",0.000790868583045712,0.000788704765619315,"YMR303C","ADH2"
"P00359",0.00155001826683278,0.0015856993522968,"YGR192C","TDH3"
"P00360",4.76795887094293e-05,6.21849763855593e-05,"YJL052W","TDH1"
"P00401",3.37453988106105e-05,3.89983421032656e-05,"Q0045","COX1"
"P00420",1.25224636646888e-05,1.24568405557156e-05,"Q0275","COX3"
"P00424",0.000222256025429863,0.000217905305120966,"YNL052W","COX5A"
"P00427",0.000355467921917501,0.000326543500660982,"YHR051W","COX6"
"P00431",6.88216330543624e-05,7.57496883690597e-05,"YKR066C","CCP1"
"P00445",0.00224713484850657,0.00184582203805815,"YJR104C","SOD1"
"P00447",9.80519266883109e-05,0.000105760400346979,"YHR008C","SOD2"
"P00498",0.00068187455519919,0.000661189897755128,"YER055C","HIS1"
"P00546",9.16888967088311e-05,9.35031448730188e-05,"YBR160W","CDC28"
"P00549",0.0316498471309108,0.0313091692493192,"YAL038W","CDC19"
"P00560",0.0320263379827335,0.0313297349796902,"YCR012W","PGK1"
"P00572",2.76230058950033e-06,2.89234564432284e-06,"YJR057W","CDC8"
"P00724",8.53628617665444e-05,7.96342330229423e-05,"YIL162W","SUC2"
"P00729",2.69036255982399e-05,2.48305481374309e-05,"YMR297W","PRC1"
"P00812",0.000220022935909498,0.000232507994252555,"YPL111W","CAR1"
"P00815",0.000569664472434859,0.000535351543831405,"YCL030C","HIS4"
"P00817",0.00355338271219767,0.00359621547733257,"YBR011C","IPP1"
"P00830",0.00261795474112124,0.00261870350464556,"YJR121W","ATP2"
"P00890",0.00111925379769656,0.00106981507572249,"YNR001C","CIT1"
"P00899",0.000193821577753516,0.000203134684703209,"YER090W","TRP2"
"P00924",0.000713971691873127,0.000681602308515116,"YGR254W","ENO1"
"P00925",0.0216357029982995,0.0206508638557048,"YHR174W","ENO2"
"P00927",0.000411953344793522,0.000615533781105554,"YER086W","ILV1"
"P00931",0.000292824284457149,0.000277768968389238,"YGL026C","TRP5"
"P00937",0.000251059701135975,0.000265619863110242,"YKL211C","TRP3"
"P00942",0.0133610638643979,0.0141210315412227,"YDR050C","TPI1"
"P00950",0.0104315048852063,0.0110715904563514,"YKL152C","GPM1"
"P00958",0.000570253291794359,0.000559476898017566,"YGR264C","MES1"
"P01119",6.44750140770023e-06,6.05912780060003e-06,"YOR101W","RAS1"
"P01120",3.36575821689671e-05,2.90358874858586e-05,"YNL098C","RAS2"
"P01123",0.000349655200307313,0.000331104268506477,"YFL038C","YPT1"
"P02293",0.00438933567038787,0.00487659776014884,"YDR224C","HTB1"
"P02309",0.00436935982011735,0.00453450736095976,"YBR009C","HHF1"
"P02381",1.74895784404873e-05,1.77488161545598e-05,"Q0140","VAR1"
"P02400",0.00865012617524918,0.00869971055134507,"YDR382W","RPP2B"
"P02406",0.00267024716092356,0.00274944532714382,"YGL103W","RPL28"
"P02407",0.00494556237764278,0.00497018848390331,"YML024W","RPS17A"
"P02557",0.000955702178373117,0.000965025201787905,"YFL037W","TUB2"
"P02829",0.000685515994780536,0.000640164762406126,"YPL240C","HSP82"
"P02992",0.000133163898850275,0.000148654651666842,"YOR187W","TUF1"
"P02994",0.0362610761884366,0.0364213292639714,"YPR080W","TEF1"
"P03871",4.47028463282536e-05,4.62400283680196e-05,"R0020C","REP1"
"P03872",1.48232859645538e-05,1.20513080290921e-05,"R0040C","REP2"
"P03874",1.19756766396949e-05,1.24046242675241e-05,"YHL038C","CBP2"
"P03876",4.7285385140059e-06,4.67881219172284e-06,"Q0055","AI2"
"P03962",0.000114857342767086,0.000124021773861022,"YEL021W","URA3"
"P03965",0.00117626838572237,0.00119983819259447,"YJR109C","CPA2"
"P04037",3.72934032243615e-06,3.25488255135369e-06,"YGL187C","COX4"
"P04039",0.000261881465678797,0.000257259217982808,"YLR395C","COX8"
"P04046",0.000398890930390462,0.000389674165231066,"YMR300C","ADE4"
"P04050",0.000391627927920441,0.00037989978420706,"YDL140C","RPO21"
"P04051",6.0227455917647e-05,6.10084098782316e-05,"YOR116C","RPO31"
"P04076",0.000211516200084913,0.000218188467768792,"YHR018C","ARG4"
"P04147",0.001213579612513,0.00121529605714901,"YER165W","PAB1"
"P04161",0.000114312310032497,0.000119100092506664,"YDR408C","ADE8"
"P04173",0.000171370266026289,0.000184916860871404,"YCL018W","LEU2"
"P04449",9.00750852833981e-07,9.04689819466359e-07,"YGL031C","RPL24A"
"P04456",0.00163432482524505,0.00147821786738494,"YOL127W","RPL25"
"P04786",1.68552749661582e-05,2.08651759764837e-05,"YOL006C","TOP1"
"P04801",0.00125133427435444,0.00125169216956426,"YIL078W","THS1"
"P04802",0.000637921851092267,0.000678020472110295,"YLL018C","DPS1"
"P04803",1.81133531403393e-05,1.77723197354859e-05,"YDR268W","MSW1"
