ORF;uniprot
YDR096W;Q03833
YDR121W;Q04603
YDR123C;P26798
YDR146C;P08153
YDR167W;Q12030
YDR173C;P07250
YDR181C;Q04003
YDR191W;P53688
YDR207C;P39001
YDR213W;Q12151
YDR216W;P07248
YDR223W;Q04930
YDR227W;P11978
YDR228C;P39081
YDR253C;Q12041
YDR259C;Q03935
YDR295C;Q06629
YDR296W;Q06630
YDR308C;P47822
YDR310C;P46676
YDR311W;P32776
YDR362C;Q06339
YDR363W;Q06340
YDR392W;P06844
YDR421W;Q04052
YDR423C;P24813
YDR440W;Q04089
YDR443C;P38931
YDR448W;Q02336
YDR451C;Q04116
YDR460W;Q03290
YDR527W;Q04418
YEL009C;P03069
YER022W;P32569
YER028C;P39943
YER040W;P18494
YER045C;P39970
YER051W;P40034
YER064C;P40041
YER088C;P40059
YER109C;P40068
YER111C;P25302
YER139C;P40084
YER161C;P06843
YER169W;P39956
YER171W;P06839
YER184C;P39961
YFL024C;P43572
YFL031W;P41546
YFL036W;P13433
YFL049W;P43554
YFL052W;P43551
YFR032C;P43607
YFR034C;P07270
YGL013C;P12383
YGL014W;P25339
YGL025C;P40356
YGL035C;P27705
YGL058W;P06104
YGL066W;P53165
YGL071W;P22149
YGL073W;P10961
YGL127C;P38633
YGL131C;P53127
YGL133W;P53125
YGL146C;P53117
YGL162W;P53032
YGL166W;P15315
YGL194C;P53096
YGL209W;P53035
YGL237C;P06774
YGL254W;P32805
YGR044C;P32338
YGR047C;P33339
YGR056W;P53236
YGR063C;P32914
YGR104C;P32585
YGR134W;P53280
YGR246C;P29056
YGR252W;Q03330
YGR262C;P53323
YGR274C;P46677
YGR288W;P53338
YHL009C;P38749
YHL020C;P21957
YHL025W;P18888
YHL027W;P33400
YHR041C;P34162
YHR058C;P38782
YHR124W;P38830
YHR167W;O13539
YHR178W;P38699
YHR206W;P38889
YIL046W;P39014
YIL056W;P40522
YIL084C;P40505
YIL101C;P40489
YIL122W;P40473
YIL143C;Q00578
YIR013C;P40569
YIR017C;P40573
YIR018W;P40574
YIR023W;P21657
YJL006C;P46962
YJL025W;P40992
YJL056C;P47043
YJL065C;P40366
YJL081C;P80428
YJL103C;P42950
YJL110C;P42944
YJL168C;P46995
YJR094C;P21190
YJR127C;P46974
YJR140C;P47171
YKL005C;P36106
YKL015W;P25502
YKL032C;P33417
YKL038W;P32862
YKL043W;P36093
YKL062W;P33749
YKL109W;P14064
YKL125W;P36070
YKL139W;Q03957
YKL160W;P36053
YKL185W;P34233
YKR029C;P36124
YKR034W;P26343
YKR064W;P36023
YKR077W;P36157
YKR099W;P22035
YKR101W;P21691
YLL002W;Q07794
YLR005W;Q04673
YLR013W;Q07928
YLR014C;P07272
YLR015W;P43132
YLR052W;Q12345
YLR098C;P43634
YLR131C;P21192
YLR141W;Q02983
YLR182W;P09959
YLR223C;P39520
YLR226W;Q05949
YLR228C;Q05958
YLR256W;P0CE41
YLR266C;Q06149
YLR321C;Q06168
YLR357W;Q06488
YLR403W;P32432
YLR442C;P06701
YLR451W;P08638
YML007W;P19880
YML015C;Q04226
YML027W;P34161
YML043C;Q04712
YML051W;P04387
YML076C;Q03631
YML098W;P11747
YML112W;P46963
YML114C;Q03750
YMR005W;P50105
YMR021C;P35192
YMR030W;Q05043
YMR037C;P33748
YMR042W;P07249
YMR043W;P11746
YMR070W;P54785
YMR075W;Q04779
YMR127C;P40963
YMR164C;Q03825
YMR172W;Q03213
YMR182C;Q00453
YMR227C;Q05021
YMR228W;P14908
YMR263W;P38429
YMR270C;P53437
YMR280C;P39113
YMR312W;Q04868
YNL025C;P47821
YNL027W;P53968
YNL039W;P46678
YNL076W;P34072
YNL103W;P32389
YNL105W;P50943
YNL107W;P53930
YNL136W;P53911
YNL167C;Q02100
YNL199C;Q01722
YNL206C;P40161
YNL278W;P53836
YNL314W;P21705
YNR009W;P53718
YNR010W;P33308
YNR052C;P39008
YOL017W;Q08119
YOL028C;Q08182
YOL051W;P19659
YOL063C;Q08226
YOL068C;P53685
YOL089C;Q12180
YOL108C;P13902
YOL116W;P22148
YOR025W;P53687
YOR028C;P40917
YOR038C;P32480
YOR047C;Q02794
YOR064C;Q08465
YOR066W;Q08471
YOR083W;Q12416
YOR113W;P41696
YOR140W;P20134
YOR162C;Q12172
YOR166C;Q12104
YOR172W;Q12340
YOR174W;Q12343
YOR194C;P32773
YOR213C;Q99314
YOR244W;Q08649
YOR290C;P22082
YOR295W;Q08747
YOR304W;Q08773
YOR337W;P47988
YOR344C;P33122
YOR358W;Q02516
YOR363C;P52960
YOR372C;Q08887
YPL007C;Q12308
YPL011C;Q12297
YPL015C;P53686
YPL016W;P09547
YPL038W;Q03081
YPL042C;P39073
YPL047W;Q03067
YPL075W;P07261
YPL082C;P32333
YPL089C;Q12224
YPL101W;Q02884
YPL122C;Q02939
YPL133C;P19541
YPL181W;Q08923
YPL202C;Q08957
YPL230W;Q12132
YPL248C;P04386
YPL254W;Q12060
YPR008W;Q12753
YPR009W;Q12286
YPR022C;Q12139
YPR030W;Q12734
YPR045C;Q12049
YPR056W;Q12004
YPR065W;P25042
YPR068C;Q12214
YPR070W;Q12321
YPR104C;P39521
YPR168W;Q06213
YPR175W;P24482
YPR179C;Q06623
YPR186C;P39933
YPR190C;P32349
YPR196W;Q06595
YPR199C;Q06596
YBR089C-A;P11633
YCR097W;P0CY11
YCR020W-B;Q9URQ5
YLR162W-A;Q3E811
YBR111W-A;Q6WNK7
YCL058W-A;Q2V2Q1
YDR079C-A;Q3E7C1
