ORF;uniprot
YAL021C;P31384
YBR049C;P21538
YBR112C;P14922
YBR123C;P32367
YBR154C;P20434
YBR198C;P38129
YBR245C;P38144
YBR279W;P38351
YCR052W;P25632
YCR084C;P16649
YCR093W;P25655
YDL108W;P06242
YDL140C;P04050
YDL150W;P25441
YDL165W;P06100
YDR138W;P17629
YDR145W;Q03761
YDR174W;Q03973
YDR190C;Q03940
YDR303C;Q06639
YDR324C;Q06679
YDR397C;Q92317
YDR398W;Q04177
YDR404C;P34087
YEL055C;P39985
YER063W;P40040
YER068W;P34909
YER148W;P13393
YER159C;P40096
YER164W;P32657
YFL021W;P43574
YFR037C;P43609
YGL043W;P07273
YGL070C;P27999
YGL112C;P53040
YGL115W;P12904
YGL150C;P53115
YGL151W;P53114
YGL181W;P40956
YGL207W;P32558
YGL244W;P53064
YGL246C;P53063
YGR005C;P41896
YGR116W;P23615
YGR128C;P53276
YGR186W;P41895
YGR200C;P42935
YGR275W;P53330
YHR056C;P38781
YHR084W;P13574
YHR099W;P38811
YHR196W;P38882
YIL021W;P16370
YIL036W;P40535
YIL038C;P06102
YIL126W;P32597
YIL127C;P40470
YJL011C;P47076
YJL089W;P46954
YJL109C;P42945
YJL115W;P32447
YJL140W;P20433
YJL176C;P32591
YJL184W;P46984
YJR006W;P46957
YJR060W;P17106
YJR063W;P32529
YKL028W;P36100
YKL058W;P32774
YKL110C;P34253
YKL112W;P14164
YKL144C;P35718
YKR008W;Q02206
YKR025W;P36121
YKR038C;P36132
YKR062W;P36145
YLL022C;Q12373
YLR033W;Q07979
YLR055C;P38915
YLR071C;P19263
YLR113W;P32485
YLR384C;Q06706
YLR399C;P35817
YLR418C;Q06697
YML010W;P27692
YML036W;Q03705
YML062C;P33441
YML069W;Q04636
YML127W;Q03124
YMR033W;Q05123
YMR039C;P54000
YMR091C;P32832
YMR093W;Q04305
YMR112C;Q99278
YMR219W;Q03661
YMR236W;Q05027
YNL021W;P53973
YNL097C;P50947
YNL113W;P28000
YNL139C;P53552
YNL151C;P17890
YNL216W;P11938
YNL236W;P32259
YNL248C;Q01080
YNL288W;P53829
YNL330C;P32561
YNR003C;P32910
YNR023W;P53628
YOL004W;P22579
YOL005C;P38902
YOL012C;Q12692
YOL067C;P32607
YOL135C;Q08278
YOL145C;P89105
YOR048C;Q02792
YOR110W;Q12415
YOR116C;P04051
YOR123C;P38439
YOR151C;P08518
YOR207C;P22276
YOR210W;P22139
YOR224C;P20436
YOR229W;Q12206
YOR230W;Q12363
YOR340C;P46669
YOR341W;P10964
YPL086C;Q02908
YPL116W;Q02959
YPL126W;Q02931
YPL128C;Q02457
YPL129W;P35189
YPL139C;Q03010
YPL235W;Q12464
YPR010C;P22138
YPR023C;Q12432
YPR025C;P37366
YPR034W;Q12406
YPR052C;P11632
YPR072W;Q12514
YPR086W;P29055
YPR110C;P07703
YPR133C;Q06505
YPR161C;P23293
YPR187W;P20435
YHR143W-A;P40422
YOR298C-A;O14467
YKR095W-A;Q3E833
YAL001C;P34111
YAL013W;P31385
YAL051W;P39720
YBL005W;P33200
YBL006C;P38210
YBL008W;P32479
YBL014C;P32786
YBL021C;P13434
YBL025W;P38204
YBL052C;P34218
YBL093C;P25046
YBL103C;P38165
YBR066C;P38082
YBR083W;P18412
YBR095C;P38255
YBR182C;P38128
YBR193C;P38304
YBR215W;Q01448
YBR239C;P38140
YBR240C;P38141
YBR253W;P32570
YBR278W;P27344
YBR289W;P18480
YBR297W;P38157
YCL010C;P25554
YCL066W;P0CY07
YCL067C;P0CY09
YCR039C;P0CY08
YCR040W;P0CY06
YCR042C;P23255
YCR065W;P25364
YCR081W;P25648
YDL005C;Q12124
YDL020C;Q03465
YDL042C;P06700
YDL056W;P39678
YDL076C;Q07458
YDL106C;P07269
YDL170W;P26370
YDR005C;P41910
YDR034C;P40971
YDR043C;Q03125
YDR045C;Q04307
YDR066C;Q12378
YDR073W;P38956
