ORF;uniprot
YAL007C;P39704
YAL023C;P31382
YAL042W;P39727
YAL053W;P39719
YAR042W;P35845
YBR002C;P35196
YBR029C;P38221
YBR068C;P38084
YBR069C;P38085
YBR078W;P38248
YBR092C;P24031
YBR106W;P38264
YBR130C;P38272
YBR159W;P38286
YBR160W;P00546
YBR170C;P33755
YBR171W;P33754
YBR229C;P38138
YBR283C;P38353
YBR287W;P38355
YCL025C;P25376
YCL043C;P17967
YCL045C;P25574
YCL052C;P25580
YCR011C;P25371
YCR067C;P25365
YDL015C;Q99190
YDL019C;Q12451
YDL052C;P33333
YDL065C;Q07418
YDL072C;Q07451
YDL095W;P33775
YDL100C;Q12154
YDL121C;Q07541
YDL122W;P25037
YDL126C;P25694
YDL193W;Q12063
YDR062W;P40970
YDR086C;P35179
YDR093W;Q12675
YDR150W;Q00402
YDR182W;P40986
YDR189W;P22213
YDR233C;Q04947
YDR292C;P32916
YDR294C;Q05567
YDR304C;P35176
YDR434W;Q04080
YDR476C;Q03362
YDR498C;P28791
YDR508C;P48813
YDR518W;P32474
YDR519W;P32472
YEL001C;P40006
YEL002C;P33767
YEL031W;P39986
YER004W;P40008
YER072W;P40046
YER083C;P40056
YER100W;P33296
YER120W;P40075
YFL004W;P43585
YFL005W;P07560
YFL038C;P01123
YFL041W;P43561
YFL048C;P43555
YFR041C;P43613
YGL001C;P53199
YGL012W;P25340
YGL020C;P53192
YGL022W;P39007
YGL027C;P53008
YGL055W;P21147
YGL077C;P19807
YGL200C;P32803
YGL228W;P53075
YGL231C;P53073
YGR060W;P53045
YGR106C;P53262
YGR152C;P13856
YGR157W;P05374
YGR175C;P32476
YGR284C;P53337
YHL016C;P33413
YHR001W;P38755
YHR007C;P10614
YHR027C;P38764
YHR039C;P38694
YHR045W;P38775
YHR098C;P38810
YHR133C;P38837
YHR135C;P23291
YHR181W;P38869
YHR188C;P38875
YHR190W;P29704
YIL005W;P40557
YIL027C;P40540
YIL030C;P40318
YIL124W;P40471
YIR004W;P40564
YIR022W;P15367
YIR038C;P40582
YJL002C;P41543
YJL012C;P47075
YJL034W;P16474
YJL080C;P06105
YJL117W;P46956
YJL145W;P47008
YJL167W;P08524
YJL171C;P46992
YJL183W;P46985
YJR040W;P37020
YJR051W;P21375
YJR088C;P47133
YJR117W;P47154
YJR143C;P46971
YKL065C;P35723
YKL077W;P36081
YKL094W;P28321
YKL100C;P34248
YKL175W;P34240
YKL207W;P36039
YKL212W;P32368
YKR003W;Q02201
YKR039W;P19145
YKR067W;P36148
YLL023C;Q12164
YLL048C;P32386
YLR056W;P32353
YLR065C;Q99382
YLR066W;Q12133
YLR078C;P25385
YLR088W;P39012
YLR100W;Q12452
YLR268W;P22214
YLR286C;P29029
YLR292C;P39742
YLR350W;Q06144
YLR372W;P40319
YLR378C;P32915
YLR414C;Q06991
YLR450W;P12684
YML008C;P25087
YML013W;Q04228
YML048W;Q04697
YML072C;Q03640
YML075C;P12683
YML123C;P25297
YML125C;Q12746
YML130C;Q03103
YMR008C;P39105
YMR015C;P54781
YMR029C;Q05040
YMR058W;P38993
YMR110C;Q04458
YMR123W;Q03880
YMR149W;Q02795
YMR152W;P28625
YMR183C;P39926
YMR202W;P32352
YMR214W;P25303
YMR264W;P38428
YMR266W;Q03516
YMR272C;Q03529
YMR296C;P25045
YMR297W;P00729
YMR298W;Q03579
YMR304W;P50101
YMR305C;Q04951
YNL044W;P53633
YNL048W;P53954
YNL087W;P48231
YNL130C;P17898
YNL149C;P53903
YNL181W;P53878
YNL263C;P53845
YNL323W;P42838
YNR016C;Q00955
YNR019W;P53629
YNR021W;P53723
YNR026C;P11655
YNR030W;P53730
YOL030W;Q08193
YOL060C;Q12296
YOL088C;Q99316
YOL147C;Q12462
YOR016C;Q12450
YOR085W;P48439
YOR086C;Q12466
YOR165W;Q99287
YOR171C;Q12246
YOR198C;P38934
YOR241W;Q08645
YOR254C;P14906
YOR285W;Q12305
YOR288C;Q12404
YOR311C;Q12382
YOR317W;P30624
YOR336W;P22023
YPL019C;Q02725
YPL050C;P39107
YPL085W;P48415
YPL092W;P41930
YPL094C;P21825
YPL137C;Q03016
YPL154C;P07267
YPL207W;Q08960
YPL218W;P20606
YPL227C;P40350
YPL274W;Q08986
YPR028W;Q12402
YPR037C;Q12284
YPR063C;Q12160
YPR088C;P20424
YPR113W;P06197
YPR114W;Q06107
YPR139C;Q06508
YPR149W;Q12207
YPR165W;P06780
YPR173C;P52917
YPR181C;P15303
YPR183W;P14020
YER019C-A;P52871
YNL024C-A;Q8TGJ3
YDR245W;P50108
YER074W-A;Q3E834
YAL009W;P18410
YAL026C;P39524
YAL028W;P39734
YAL058W;P27825
YAR031W;P39551
YAR033W;P39552
YBL011W;P32784
YBL020W;P38206
YBL040C;P18414
YBL082C;P38179
YBR004C;P38211
YBR005W;P38212
YBR013C;P38215
YBR023C;P29465
YBR036C;P35206
YBR041W;P38225
YBR054W;P38079
YBR070C;P38242
YBR096W;P38256
YBR110W;P16661
YBR132C;P38090
YBR183W;P38298
YBR201W;P38307
YBR204C;P38139
YBR207W;P38310
YBR210W;P38312
YBR243C;P07286
YBR265W;P38342
YBR273C;P38349
YBR290W;P38356
YBR293W;P38358
YBR296C;P38361
YCL027W;P11710
YCL069W;P25594
YCR017C;P25618
YCR034W;P25358
YCR044C;P25625
YCR048W;P25628
YCR068W;P25641
YCR094W;P25656
YDL018C;Q12403
YDL027C;Q07349
YDL091C;Q12229
YDL093W;P52867
YDL204W;Q12443
YDL212W;Q02774
YDL232W;Q99380
YDL241W;Q07738
YDR018C;Q12185
YDR046C;P41815
YDR049W;Q04311
YDR056C;Q12025
YDR057W;Q99220
YDR126W;Q04629
YDR160W;Q03770
YDR196C;Q03941
YDR200C;Q03944
YDR205W;Q03455
YDR221W;Q04924
YDR297W;P38992
YDR302W;Q06636
YDR307W;Q06644
YDR320C;Q06677
YDR326C;Q06681
YDR329C;P28795
YDR331W;P49018
YDR349C;Q06325
YDR410C;P32584
YDR411C;Q12743
YDR437W;Q04082
YDR456W;Q04121
YDR461W;P34165
YDR479C;Q03370
YDR492W;Q03419
YDR504C;Q04398
YEL004W;P40004
YEL016C;P39997
YEL043W;P32618
YEL063C;P04817
YEL064C;P39981
YEL068C;P39977
YEL069C;P39924
YER019W;P40015
YER039C;P0CE11
YER044C;P40030
YER076C;P40049
YER118C;P40073
YER140W;P40085
YER166W;P32660
YFL025C;P43571
YFL042C;P43560
YFL055W;P43548
YFR008W;P43592
YFR018C;P43599
YFR020W;P43600
YFR026C;P43604
YFR039C;P43611
YFR042W;P43614
YFR048W;P43620
YGL002W;P53198
YGL010W;P25338
YGL032C;P32781
YGL047W;P53178
YGL051W;P53176
YGL053W;P53174
YGL054C;P53173
YGL065C;P43636
YGL075C;P53159
YGL084C;P53154
YGL098W;P53146
YGL126W;P53012
YGL139W;P53121
YGL140C;P53120
YGL145W;P33891
YGL160W;P53109
YGL204C;P53089
YGL226C-A;Q92316
YGL230C;P53074
YGL247W;P53062
YGL255W;P32804
YGL258W;P53058
YGR004W;P53203
YGR016W;P53209
YGR026W;P53217
YGR036C;P53223
YGR038W;P53224
YGR089W;P53253
YGR105W;P41806
YGR121C;P40260
YGR141W;P53285
YGR149W;P48236
YGR172C;P53039
YGR177C;P53296
YGR191W;P06775
YGR199W;P42934
YGR213C;P53047
YGR216C;P53306
YGR227W;P50076
YGR236C;P50088
YGR263C;P53324
YHL003C;P38703
YHL020C;P21957
YHR036W;P38770
YHR079C;P32361
YHR080C;P38800
YHR101C;P38813
YHR110W;P38819
YHR123W;P22140
YHR140W;P38842
YHR142W;P38843
YHR155W;P38851
YHR175W;P38865
YHR192W;P38878
YHR204W;P38888
YIL004C;P22804
YIL016W;P40548
YIL023C;P40544
YIL039W;P40533
YIL040W;P40532
YIL049W;P40526
YIL089W;P40500
YIL090W;P40499
YIL123W;P40472
YIR014W;P40570
YIR033W;P40578
YJL062W;P40367
YJL073W;P40358
YJL079C;P47032
YJL091C;P47026
YJL094C;P40309
YJL097W;P40857
YJL108C;P42946
YJL134W;P47013
YJL139C;P26725
YJL158C;P47001
YJL192C;P39543
YJL196C;P39540
YJR013W;P47088
YJR015W;P47090
YJR073C;P05375
YJR106W;P47144
YJR116W;P47153
YJR118C;P47155
YJR126C;P47161
YJR131W;P32906
YKL004W;P36107
YKL008C;P28496
YKL020C;P35210
YKL046C;P36091
YKL047W;P36090
YKL119C;P32341
YKL124W;P32343
YKL154W;P36057
YKL165C;P36051
YKL174C;P36029
YKL178C;P06783
YKR013W;P36110
YKR022C;P36118
YKR051W;P36142
YKR053C;P23501
YKR055W;Q00246
YLL006W;P41800
YLL014W;Q12431
YLL015W;P14772
YLL031C;Q07830
YLL052C;P0CD90
YLL055W;Q12235
YLR004C;Q07904
YLR023C;Q07959
YLR047C;Q12209
YLR050C;Q12155
YLR057W;Q12205
YLR064W;Q12144
YLR072W;Q08001
YLR080W;Q12396
YLR084C;Q12465
YLR130C;Q12436
YLR138W;Q99271
YLR155C;P0CZ17
YLR205C;P32339
YLR207W;Q05787
YLR238W;Q06001
YLR241W;Q06538
YLR242C;Q06541
YLR246W;Q06551
YLR283W;Q05867
YLR312C;Q06159
YLR324W;Q06169
YLR404W;Q06058
YLR411W;Q06686
YLR426W;Q06417
YLR440C;Q12745
YLR459W;P41733
YML019W;Q03723
YML029W;Q03714
YML055W;Q04969
YML059C;Q04958
YML067C;Q04651
YML101C;Q04201
YML128C;Q03104
YMR010W;Q03687
YMR013C;P20048
YMR022W;Q02159
YMR040W;Q04210
YMR052W;P46671
YMR065W;Q04746
YMR134W;P40207
YMR162C;Q12674
YMR171C;Q03212
YMR200W;Q03691
YMR238W;Q05031
YMR258C;Q04847
YMR274C;Q03530
YMR281W;P23797
YMR292W;Q03554
YMR306W;Q04952
YNL012W;P53541
YNL029C;P53966
YNL046W;P53956
YNL058C;P53947
YNL080C;P53938
YNL095C;P53932
YNL111C;P40312
YNL125C;P53918
YNL127W;P53917
YNL145W;P34166
YNL146W;P53906
YNL156C;P53898
YNL158W;P53896
YNL159C;P53895
YNL188W;P11927
YNL194C;P40169
YNL219C;P53868
YNL257C;P38717
YNL258C;P53847
YNL270C;P38971
YNL280C;P32462
YNL291C;P41821
YNL294C;P48565
YNL304W;P48559
YNL305C;P48558
YNR008W;P40345
YNR039C;P53735
YNR048W;P53740
YNR056C;P53744
YNR062C;P53748
YNR065C;P53751
YNR075W;P52924
YOL003C;Q12006
YOL009C;Q92328
YOL013C;Q08109
YOL020W;P38967
YOL065C;Q08227
YOL073C;Q08232
YOL084W;Q12252
YOL092W;Q12010
YOL110W;P41912
YOL162W;P0CF19
YOR002W;Q12001
YOR003W;P25036
YOR008C;P54867
YOR044W;Q08416
YOR049C;Q08417
YOR059C;Q08448
YOR060C;Q08457
YOR067C;P40351
YOR075W;P41834
YOR079C;Q12067
YOR092W;Q99252
YOR103C;P46964
YOR149C;Q04174
YOR152C;Q99325
YOR154W;Q12232
YOR175C;Q08548
YOR223W;Q12015
YOR245C;Q08650
YOR307C;P22215
YOR321W;P47190
YOR324C;Q99332
YOR377W;P40353
YPL006W;Q12200
YPL076W;P46961
YPL087W;Q02896
YPL175W;P32363
YPL186C;Q08926
YPL189W;Q08929
YPL191C;Q08930
YPL200W;Q08955
YPL221W;Q08967
YPL244C;Q12520
YPR027C;Q12079
YPR071W;Q12346
YPR075C;Q06810
YPR091C;Q06833
YPR109W;Q06104
YPR138C;P53390
YPR192W;P0CD91
YPR198W;P33335
YAL064W-B;O13512
YMR251W-A;Q05827
YBR162W-A;P38374
YMR316C-A;I2HB70
YJR010C-A;P46965
YJR112W-A;Q3E743
YKL065W-A;Q2V2P2
YMR122W-A;Q3E842
YOR032W-A;Q8TGS1
YPL096C-A;P62651
YBR058C-A;Q3E790
YBR126W-A;Q8TGU7
YDR524C-B;Q3E6R4
YER053C-A;Q3E7B0
YER087C-B;P52870
YGL194C-A;Q2V2P6
YGL041C-B;Q3E750
YHR212W-A;P0CX91
YIL102C-A;Q2V2P5
