ORF;uniprot
YBR196C;P12709
YNL241C;P11412
YHR163W;P38858
YNR034W;P50278
YHR183W;P38720
YJL121C;P46969
YPR074C;P23254
YGR043C;P53228
YLR354C;P15019
YOR095C;Q12189
YCR036W;P25332
YKL127W;P33401
YMR278W;Q03262
YMR105C;P37012
YBL068W;P38063
YER099C;P38620
YHL011C;P38689
YKL181W;P32895
YOL061W;Q12265
YDR248C;Q03786
YKL060C;P14540
YGR240C;P16861
YMR205C;P16862
YCR005C;P08679
YNR001C;P00890
YJL200C;P39533
YLR304C;P19414
YDL066W;P21954
YNL037C;P28834
YOR136W;P28241
YIL125W;P20967
YDR148C;P19262
YFL018C;P09624
YOR142W;P53598
YGR244C;P53312
YKL148C;Q00711
YLL041C;P21801
YPL262W;P08417
YDL078C;P32419
YKL085W;P17505
YBR218C;P32327
YGL062W;P11154
YER178W;P16387
YBR221C;P32473
YNL071W;P12695
YKL192C;P32463
YML120C;P32340
YMR145C;P40215
YEL024W;P08067
YOR065W;P07143
YBL045C;P07256
YPR191W;P07257
YFR033C;P00127
YDR529C;P00128
YNL052W;P00424
YHR051W;P00427
YGL187C;P04037
YGL191W;P32799
YLR038C;Q01519
YDL067C;P07255
YPL271W;P21306
YDL004W;Q12165
YJR121W;P00830
YBR039W;P38077
YBL099W;P07251
YDR298C;P09457
YPL078C;P05626
YKL016C;P30902
YDR377W;Q06405
YPR020W;Q12233
YLR447C;P32366
YGR020C;P39111
YKL080W;P31412
YDL185W;P17255
YBR127C;P16140
YOR332W;P22203
YMR054W;P37296
YOR270C;P32563
YEL051W;P32610
YPR036W;P41807
YGL008C;P05030
YBR011C;P00817
YGR248W;P53315
YGR256W;P53319
YBR117C;P33315
YLR377C;P09201
YPR001W;P43635
YLR174W;P41939
YNL009W;P53982
YPL017C;Q02733
YJL045W;P47052
YKL141W;P33421
YMR118C;Q04487
YDR178W;P37298
YLR164W;Q06236
YOL126C;P22133
YKR097W;P10963
YDL085W;Q07500
YJL166W;P08525
YGR183C;P22289
YPL172C;P21592
YIL111W;P00425
YMR256C;P10174
YLR395C;P04039
YPL132W;P19516
YER141W;P40086
YLL009C;Q12287
YLR295C;Q12349
YEL027W;P25515
YPL234C;P32842
YHR026W;P23968
YPL036W;P19657
YMR267W;P28239
