ORF;uniprot
YAL038W;P00549
YAR015W;P27616
YBL039C;P28274
YBL068W;P38063
YBR111C;Q01976
YBR252W;P33317
YCL050C;P16550
YDR226W;P07170
YDR353W;P29509
YDR408C;P04161
YDR454C;P15454
YER070W;P21524
YER099C;P38620
YGL234W;P07244
YGR061C;P38972
YGR180C;P49723
YHL011C;P38689
YHR128W;P18562
YHR144C;P06773
YHR216W;P38697
YIR029W;P25335
YJL005W;P08678
YJL026W;P09938
YJL130C;P07259
YJR010W;P08536
YJR103W;P38627
YJR105W;P47143
YJR109C;P03965
YKL001C;Q02196
YKL024C;P15700
YKL067W;P36010
YKL127W;P33401
YKL181W;P32895
YKL216W;P28272
YLR028C;P54113
YLR209C;Q05788
YLR359W;Q05911
YLR420W;P20051
YLR432W;P50095
YML022W;P49435
YML035C;P15274
YML056C;P50094
YML106W;P13298
YMR105C;P37012
YMR120C;P38009
YMR217W;P38625
YMR278W;Q03262
YMR300C;P04046
YNL141W;P53909
YNL220W;P80210
YOL061W;Q12265
YOR074C;P06785
YOR128C;P21264
YOR303W;P07258
YOR347C;P52489
YPR062W;Q12178
YDL238C;Q07729
YDR305C;P49775
YDR441C;P36973
YDR530C;P22108
YEL021W;P03962
YER005W;P40009
YER170W;P26364
YGL248W;P22434
YHR106W;P38816
YHR201C;P38698
YIL066C;P21672
YIR027C;P32375
YIR032C;P32459
YJR057W;P00572
YLR245C;Q06549
YMR271C;P30402
YNR012W;P27515
YOR360C;P06776
