"Accession","Gene","Protein","Min_1","Min_2","Rich_1","Rich_2"
"A5Z2X5","YPR010C-A","YPR010C-A",3.7325431126775e-05,3.73170161442697e-05,4.46097803558106e-05,4.49375218680074e-05
"D6W196","YNL083W","SAL1",6.42912998607844e-06,6.66506483061895e-06,5.75544230180632e-06,6.09622725028247e-06
"O13297","YPL228W","CET1",3.07584390837118e-05,3.09666740313191e-05,3.35961556916503e-05,3.41594717048474e-05
"O13329","YDR110W","FOB1",8.30724235338168e-06,6.48560897349553e-06,7.71114306952569e-06,7.77210092308457e-06
"O13516","YPL081W","RPS9A",1.47867061935802e-07,1.57970108035054e-07,1.63682214817716e-07,1.6502626028038e-07
"O13525","YDR204W","COQ4",1.70315194631265e-06,1.86130120966996e-06,1.73060416581536e-06,1.77619791254917e-06
"O13539","YHR167W","THP2",4.55963748689108e-06,3.38556829668979e-06,4.64779371947768e-06,4.47679750051017e-06
"O13563","YLR421C","RPN13",9.12949548281525e-05,8.29358394416137e-05,0.000108760713203662,0.00011315512823711
"O13585","YPR089W","YPR089W",1.35336355062729e-06,1.19933241793288e-06,1.4704739550001e-06,1.42058490277147e-06
"O14455","YPL249C-A","RPL36B",2.83656318017916e-05,3.01550895785786e-05,3.13325515730596e-05,3.73199519239701e-05
"O14464","YPL183W-A","RTC6",6.1759407481577e-08,6.77002093733911e-08,6.7817292852126e-08,6.28683684262781e-08
"O14467","YOR298C-A","MBF1",0.000240935111064981,0.000312272949606687,0.000274281409812146,0.000261408380392973
"O60200","YKL053C-A","MDM35",1.38921572202511e-05,1.58481367513743e-05,1.62184722163039e-05,1.81076136542149e-05
"O74700","YEL020W-A","TIM9",0.000138288260512493,0.000143181486053573,0.000163813322438318,0.000164107200219078
"O75012","YDL045W-A","MRP10",2.73337504302184e-05,2.92115955985041e-05,3.37717207024179e-05,3.33154297158262e-05
"P00044","YJR048W","CYC1",0.000110145343436148,0.000128482927140837,0.000108604549433173,0.000112450297110501
"P00127","YFR033C","QCR6",5.17014554984768e-07,4.22556173925099e-07,6.36043140652915e-07,6.24426303087679e-07
"P00128","YDR529C","QCR7",0.000367400227666864,0.000310310077415516,0.000426757054056685,0.000440602805145583
