"Accession","Gene","Protein","Min_1","Min_2","Rich_1","Rich_2"
"P00175","YML054C","CYB2",9.07627273152016e-06,8.22970394785068e-06,9.70264735167917e-06,9.83179510201761e-06
"P00330","YOL086C","ADH1",0.0189015442743391,0.0177720964394165,0.0124574700913006,0.0130151080360778
"P00331","YMR303C","ADH2",0.000325672999206993,0.000442539145192614,0.000790868583045712,0.000788704765619315
"P00359","YGR192C","TDH3",0.00186087546677567,0.00178657028967821,0.00155001826683278,0.0015856993522968
"P00360","YJL052W","TDH1",4.48483184326102e-05,6.31072481537334e-05,4.76795887094293e-05,6.21849763855593e-05
"P00401","Q0045","COX1",3.61319065107718e-05,2.81145741425471e-05,3.37453988106105e-05,3.89983421032656e-05
"P00420","Q0275","COX3",1.24259535125892e-05,1.08297258822305e-05,1.25224636646888e-05,1.24568405557156e-05
"P00424","YNL052W","COX5A",0.000176089835614088,0.000175914121369858,0.000222256025429863,0.000217905305120966
"P00427","YHR051W","COX6",0.000334530553692009,0.000277089055171121,0.000355467921917501,0.000326543500660982
"P00431","YKR066C","CCP1",5.78327743789778e-05,8.79989768072677e-05,6.88216330543624e-05,7.57496883690597e-05
"P00445","YJR104C","SOD1",0.00286192695224823,0.00277596730846792,0.00224713484850657,0.00184582203805815
"P00447","YHR008C","SOD2",8.33813565179299e-05,9.62753957502154e-05,9.80519266883109e-05,0.000105760400346979
"P00498","YER055C","HIS1",0.00117701463687097,0.00108538415050518,0.00068187455519919,0.000661189897755128
"P00546","YBR160W","CDC28",7.59542312092958e-05,6.62453883714387e-05,9.16888967088311e-05,9.35031448730188e-05
"P00549","YAL038W","CDC19",0.0290177484407511,0.0353688813275206,0.0316498471309108,0.0313091692493192
"P00560","YCR012W","PGK1",0.0339938868724478,0.0318535924575035,0.0320263379827335,0.0313297349796902
"P00572","YJR057W","CDC8",3.10832655391806e-06,3.34060077308515e-06,2.76230058950033e-06,2.89234564432284e-06
"P00724","YIL162W","SUC2",8.16255407044588e-05,9.56496976652282e-05,8.53628617665444e-05,7.96342330229423e-05
"P00729","YMR297W","PRC1",2.94793892845862e-05,2.2381930937997e-05,2.69036255982399e-05,2.48305481374309e-05
"P00812","YPL111W","CAR1",3.86876354704054e-05,3.58890121144472e-05,0.000220022935909498,0.000232507994252555
"P00815","YCL030C","HIS4",0.00090302067374573,0.00123164164262425,0.000569664472434859,0.000535351543831405
"P00817","YBR011C","IPP1",0.00648387931843772,0.00641372656724787,0.00355338271219767,0.00359621547733257
"P00830","YJR121W","ATP2",0.00234946574809343,0.00183113613064999,0.00261795474112124,0.00261870350464556
"P00890","YNR001C","CIT1",0.0010013630035416,0.000852973396295689,0.00111925379769656,0.00106981507572249
"P00899","YER090W","TRP2",0.000227530198765465,0.000270639620736158,0.000193821577753516,0.000203134684703209
"P00924","YGR254W","ENO1",0.000661785271190975,0.000591265289115853,0.000713971691873127,0.000681602308515116
"P00925","YHR174W","ENO2",0.0216614297321868,0.0192000366478018,0.0216357029982995,0.0206508638557048
"P00927","YER086W","ILV1",0.000466562438677715,0.000494787426882524,0.000411953344793522,0.000615533781105554
"P00931","YGL026C","TRP5",0.000515484721673891,0.000458718883031843,0.000292824284457149,0.000277768968389238
"P00937","YKL211C","TRP3",0.000322784178416067,0.000286654168202364,0.000251059701135975,0.000265619863110242
"P00942","YDR050C","TPI1",0.0143766192280583,0.0145337769999694,0.0133610638643979,0.0141210315412227
"P00950","YKL152C","GPM1",0.00990675915774062,0.0113579295896561,0.0104315048852063,0.0110715904563514
"P00958","YGR264C","MES1",0.000488942407754435,0.000429874570282534,0.000570253291794359,0.000559476898017566
"P01119","YOR101W","RAS1",6.03385951511446e-06,7.236237358678e-06,6.44750140770023e-06,6.05912780060003e-06
"P01120","YNL098C","RAS2",3.37512279399425e-05,3.19420629345815e-05,3.36575821689671e-05,2.90358874858586e-05
"P01123","YFL038C","YPT1",0.000331480849575896,0.00030018888981448,0.000349655200307313,0.000331104268506477
"P02293","YDR224C","HTB1",0.00476859391259029,0.00449250194144144,0.00438933567038787,0.00487659776014884
"P02309","YBR009C","HHF1",0.00501896409582912,0.00530352961979515,0.00436935982011735,0.00453450736095976
"P02381","Q0140","VAR1",1.39291744337939e-05,1.15524474906019e-05,1.74895784404873e-05,1.77488161545598e-05
"P02400","YDR382W","RPP2B",0.00682371873467841,0.0060544811705796,0.00865012617524918,0.00869971055134507
"P02406","YGL103W","RPL28",0.00246312507177746,0.00296086132818783,0.00267024716092356,0.00274944532714382
"P02407","YML024W","RPS17A",0.00462161537931302,0.00490141477287309,0.00494556237764278,0.00497018848390331
"P02557","YFL037W","TUB2",0.000837746164271495,0.000826032532789742,0.000955702178373117,0.000965025201787905
"P02829","YPL240C","HSP82",0.000482098041778408,0.000425195677214574,0.000685515994780536,0.000640164762406126
"P02992","YOR187W","TUF1",0.000103989858791991,0.000119255967884083,0.000133163898850275,0.000148654651666842
"P02994","YPR080W","TEF1",0.0337098794771097,0.0363330749878161,0.0362610761884366,0.0364213292639714
"P03871","R0020C","REP1",3.76374966552876e-05,2.99158056834186e-05,4.47028463282536e-05,4.62400283680196e-05
"P03872","R0040C","REP2",9.84958592084366e-06,6.80737987088026e-06,1.48232859645538e-05,1.20513080290921e-05
"P03874","YHL038C","CBP2",1.12148188344084e-05,1.0014090431513e-05,1.19756766396949e-05,1.24046242675241e-05
"P03876","Q0055","AI2",4.22637073258558e-06,4.08101456050086e-06,4.7285385140059e-06,4.67881219172284e-06
"P03962","YEL021W","URA3",0.000101392648004663,0.000109497038085788,0.000114857342767086,0.000124021773861022
"P03965","YJR109C","CPA2",0.00270870822184593,0.00241630852218348,0.00117626838572237,0.00119983819259447
"P04037","YGL187C","COX4",2.29442426252756e-06,3.61170440456529e-06,3.72934032243615e-06,3.25488255135369e-06
"P04039","YLR395C","COX8",0.000229643905758823,0.000243728664875318,0.000261881465678797,0.000257259217982808
"P04046","YMR300C","ADE4",0.000382946038967998,0.000405530758673191,0.000398890930390462,0.000389674165231066
"P04050","YDL140C","RPO21",0.00032151250726109,0.000284749762247325,0.000391627927920441,0.00037989978420706
"P04051","YOR116C","RPO31",5.08298971923445e-05,5.05218775855505e-05,6.0227455917647e-05,6.10084098782316e-05
"P04076","YHR018C","ARG4",0.000611472825627084,0.000505283013608334,0.000211516200084913,0.000218188467768792
"P04147","YER165W","PAB1",0.000982812063557753,0.00118856072039641,0.001213579612513,0.00121529605714901
"P04161","YDR408C","ADE8",0.000102192071590952,0.000101680440446711,0.000114312310032497,0.000119100092506664
"P04173","YCL018W","LEU2",0.00119384265570688,0.00119910807715993,0.000171370266026289,0.000184916860871404
"P04449","YGL031C","RPL24A",7.97725636108484e-07,9.46876275576457e-07,9.00750852833981e-07,9.04689819466359e-07
"P04456","YOL127W","RPL25",0.00145243961652791,0.0019529061095971,0.00163432482524505,0.00147821786738494
"P04786","YOL006C","TOP1",1.51896891287968e-05,1.58539359582142e-05,1.68552749661582e-05,2.08651759764837e-05
"P04801","YIL078W","THS1",0.00094661106550512,0.000897071486141366,0.00125133427435444,0.00125169216956426
"P04802","YLL018C","DPS1",0.000506714718376941,0.000445633721808068,0.000637921851092267,0.000678020472110295
"P04803","YDR268W","MSW1",1.61796721262637e-05,1.41054705418339e-05,1.81133531403393e-05,1.77723197354859e-05
"P04806","YFR053C","HXK1",9.7572835192675e-05,7.83596529412312e-05,8.18750438592807e-05,7.61399754722391e-05
"P04807","YGL253W","HXK2",0.00283942629455578,0.00243444545991751,0.00370750213795694,0.00356340773592
"P04817","YEL063C","CAN1",0.00011841312139949,0.000103464800093221,4.94227827761493e-05,5.43943807817181e-05
"P04819","YDL164C","CDC9",1.33509716634388e-05,1.43514832981999e-05,1.63235204524887e-05,1.61994759540316e-05
"P04821","YLR310C","CDC25",1.85175428684919e-05,1.57910683284632e-05,1.89096295284835e-05,1.89150378881572e-05
"P04840","YNL055C","POR1",0.00234114584593704,0.00350066837710947,0.00249026339425996,0.00272670355708992
"P04911","YDR225W","HTA1",0.00130537956787547,0.00128477723127323,0.00129321829145406,0.0013550294523925
"P05030","YGL008C","PMA1",0.00387883465447791,0.0040489763413609,0.00364980324092164,0.00364724668338649
"P05066","YOR386W","PHR1",1.53257729264413e-06,1.40545088423424e-06,1.65532263321947e-06,1.68088389278835e-06
"P05150","YJL088W","ARG3",0.000888832276504016,0.000690521711840668,8.59348954511524e-05,0.000112084411871002
"P05317","YLR340W","RPP0",0.0129817858151077,0.0104500432639571,0.0144901492952624,0.01421662517508
"P05319","YOL039W","RPP2A",0.00494320873245629,0.00383232790167637,0.00547409412047969,0.00499025913804359
"P05373","YGL040C","HEM2",0.000577349200727177,0.000495674235624347,0.000605345091824824,0.000630445221015423
"P05374","YGR157W","CHO2",0.000154014741535807,0.000134987315779465,0.000183849616058965,0.000188231346860263
"P05375","YJR073C","OPI3",0.000126202860601259,9.33075441596171e-05,0.000109612435093872,0.000115932877031486
"P05453","YDR172W","SUP35",0.000314779882110439,0.000386235999891771,0.000375784348940691,0.000399369456434579
"P05626","YPL078C","ATP4",0.000811130185410838,0.000675557677147105,0.000924360851040968,0.000916276467769745
"P05694","YER091C","MET6",0.01482422986458,0.0171869908958411,0.00246488300308793,0.00268143070578146
"P05737","YGL076C","RPL7A",0.000568181032465092,0.000704186956418692,0.000657613438910739,0.000574782434676733
"P05738","YGL147C","RPL9A",1.27757410502635e-06,1.79911168505808e-06,1.93359132423973e-06,1.67633764202399e-06
"P05739","YLR448W","RPL6B",0.000596096273402781,0.000615816802518355,0.000776881780309523,0.000782507568268382
"P05740","YKL180W","RPL17A",0.000131553539902645,0.000161402636559162,0.000149903168984631,0.00014598052773636
"P05743","YLR344W","RPL26A",0.000303123321106423,0.000340995080928444,0.000324027935166579,0.000297977317710652
"P05744","YPL143W","RPL33A",6.39403846102414e-05,6.8161409160817e-05,6.44466091675519e-05,7.23151617034621e-05
"P05745","YMR194W","RPL36A",3.02024628521858e-06,3.37846217006783e-06,3.31520006767226e-06,3.81695431332918e-06
"P05748","YLR029C","RPL15A",0.00050724392261461,0.000592394163743377,0.000549862532027982,0.000549105131620504
"P05749","YLR061W","RPL22A",0.000652681245202503,0.000534529847430424,0.000731694241867797,0.000694332221742228
"P05750","YNL178W","RPS3",0.00734498526745787,0.00688855185512467,0.00901024728929251,0.00875305619855614
"P05755","YBR189W","RPS9B",1.1392941979114e-06,1.17314128379449e-06,1.3850664769353e-06,1.38030741125671e-06
"P05756","YDR064W","RPS13",0.0113266745947969,0.00996351553713377,0.0127793488314175,0.0126785817767636
"P05759","YLR167W","RPS31",0.00120892493120158,0.00138367412363109,0.0012928276351968,0.0012047864518645
"P05986","YKL166C","TPK3",5.08987041736356e-06,5.02441228480342e-06,5.37384259028708e-06,5.43721292162753e-06
"P06100","YDL165W","CDC36",2.27486762153675e-06,2.52352883756207e-06,2.74589706390471e-06,2.72389467900557e-06
"P06101","YDR168W","CDC37",0.000160122774974077,0.000133970995083105,0.000181484819377534,0.000177581677512455
"P06102","YIL038C","NOT3",6.3393371818117e-05,5.30935931217999e-05,7.04721260126844e-05,7.05884513593181e-05
"P06103","YOR361C","PRT1",0.000594098039022808,0.000584351093916595,0.000731094219943425,0.000737593390146003
"P06105","YJL080C","SCP160",0.00150400720591175,0.00142920364144082,0.00180611306321206,0.00190226593920821
"P06106","YLR303W","MET17",0.0233653951357152,0.0243358802811249,0.00176684723907525,0.00180417242194462
"P06115","YGR088W","CTT1",6.62030770578625e-06,7.50771007325646e-06,2.17361974982221e-06,2.16079251265334e-06
"P06168","YLR355C","ILV5",0.00409769214245155,0.00466301141376827,0.00189009640469403,0.00201161010936156
"P06169","YLR044C","PDC1",0.00400871391056764,0.00352209350018568,0.00437061651556183,0.0043934501024925
"P06174","YOR278W","HEM4",4.18695128541864e-06,3.9808972564802e-06,4.24986882189503e-06,4.5527741863118e-06
"P06182","YAL039C","CYC3",1.55188400956618e-05,1.36505209438302e-05,1.41891012759369e-05,1.45509702572282e-05
"P06197","YPR113W","PIS1",2.30947049100512e-05,2.20754570445563e-05,2.30156688108508e-05,2.53921892011869e-05
"P06208","YNL104C","LEU4",0.000341665829702272,0.000403109073821385,0.000187154160690706,0.000169644494129483
"P06244","YJL164C","TPK1",1.57863835207851e-06,1.46783906941676e-06,1.60172465530865e-06,1.6540944314438e-06
"P06245","YPL203W","TPK2",9.85556578668108e-06,8.48361248806291e-06,1.05513888754314e-05,1.05275506907285e-05
"P06633","YOR202W","HIS3",4.54661271563437e-05,4.27902035107286e-05,2.41933335205637e-05,2.43933402026502e-05
"P06634","YOR204W","DED1",0.000746040186255971,0.000816712282194081,0.000776935975426153,0.000756664078523199
"P06700","YDL042C","SIR2",1.55267640548485e-06,1.63491572002245e-06,1.50069837868051e-06,1.64264200999134e-06
"P06701","YLR442C","SIR3",5.10672727142802e-06,4.86377481106705e-06,5.12473957845466e-06,5.31272971871241e-06
"P06704","YOR257W","CDC31",2.58079848676883e-05,1.95345535943701e-05,2.41038732346991e-05,2.24142044242629e-05
"P06738","YPR160W","GPH1",2.64928833024825e-05,2.37936612166065e-05,2.61041534984945e-05,2.61116195702588e-05
"P06775","YGR191W","HIP1",3.81123768890116e-05,3.61429262587316e-05,3.22066971348813e-05,3.22573172233662e-05
"P06776","YOR360C","PDE2",1.96529221892645e-05,1.7413136306731e-05,1.57160623114898e-05,1.53846479327029e-05
"P06777","YPL022W","RAD1",4.60283409123478e-05,3.64890111873778e-05,4.67702477755652e-05,4.70118373778266e-05
"P06778","YML032C","RAD52",3.24015464670711e-06,3.36625008464107e-06,3.74552592607185e-06,3.70410270116121e-06
"P06779","YJR052W","RAD7",4.16465120581536e-06,4.18108972797041e-06,4.42239972828347e-06,4.38552954319015e-06
"P06780","YPR165W","RHO1",0.000302618577391658,0.000264021020381025,0.000333168563920522,0.000337258454739532
"P06782","YDR477W","SNF1",4.55087612243554e-05,3.73403758835732e-05,4.88802764252495e-05,4.88166467845498e-05
"P06785","YOR074C","CDC21",7.04899537688044e-06,6.22107586262421e-06,7.71970669945215e-06,7.87316861721624e-06
"P06786","YNL088W","TOP2",8.27761852347984e-05,7.34153566493991e-05,0.00012890629353142,0.000110792805000023
"P06787","YBR109C","CMD1",0.000227653372030426,0.000206824008429771,0.000295006807433745,0.000281306877914447
"P06839","YER171W","RAD3",1.84326310954402e-05,1.96829636323046e-05,1.99888790679325e-05,1.96797205755025e-05
"P06843","YER161C","SPT2",6.62807739989348e-07,6.4338919261982e-07,7.51492040860687e-07,7.2905509144222e-07
"P06844","YDR392W","SPT3",5.72259526785718e-06,5.47520765176904e-06,6.40319522173389e-06,6.51967505278448e-06
"P07143","YOR065W","CYT1",0.000125680276666844,0.000101342315600412,0.000130969882187052,0.000122185531715116
"P07149","YKL182W","FAS1",0.00464006374593359,0.00437423239747252,0.00641507944776772,0.00634496106354908
"P07170","YDR226W","ADK1",0.000453823610286331,0.000488289140071872,0.000452284129810661,0.000404585907035737
"P07172","YIL116W","HIS5",0.000361045783340684,0.000288532271572257,0.000248372428768079,0.00024452816780905
"P07213","YNL121C","TOM70",0.000144769014402544,0.000163605934957781,0.000196945286958206,0.000205825875942481
"P07236","YKL194C","MST1",1.0995896711906e-05,1.05225466819381e-05,1.33303230540826e-05,1.40349616126708e-05
"P07244","YGL234W","ADE5,7",0.00156033633759382,0.00152509904760229,0.00173166620102674,0.00178558853491589
"P07245","YGR204W","ADE3",0.00161263293600725,0.00172892143413316,0.00112732549318783,0.00113997194152722
"P07246","YMR083W","ADH3",0.0018895894990918,0.00195777821197397,0.00122437767494847,0.00148030123607948
"P07251","YBL099W","ATP1",0.00170324614730806,0.00195831678136408,0.00218429985509633,0.0022686485221636
"P07253","YBR120C","CBP6",0.00015405099019502,0.000137433165808093,0.00017123877243185,0.000177456005457039
"P07255","YDL067C","COX9",0.000289030589728622,0.000269096270758242,0.000322904491614006,0.000306847003519462
"P07256","YBL045C","COR1",0.000773242226172678,0.000860322060601005,0.000858173717883132,0.000911831912936591
"P07257","YPR191W","QCR2",0.00130265542770967,0.00112645540788333,0.00157608471122311,0.00157006101019673
"P07258","YOR303W","CPA1",0.00059430407553992,0.000547166168780081,0.000121440963151661,0.000110885507654418
"P07259","YJL130C","URA2",0.00605442461351577,0.00567236499818986,0.00644000041407429,0.00640707524922725
"P07260","YOL139C","CDC33",0.000204613733917571,0.000202143375277983,0.000223717003240875,0.000229485529600204
"P07261","YPL075W","GCR1",4.96408866226385e-06,4.20794999728516e-06,5.17573328303182e-06,5.36681653857045e-06
"P07262","YOR375C","GDH1",0.004522033067247,0.00421231026254619,0.00156327822831185,0.00161398794319167
"P07263","YPR033C","HTS1",0.000178378278845871,0.000185108721686916,0.000139909699779174,0.000148640383030974
"P07264","YGL009C","LEU1",0.00176626202469299,0.00203878148317948,0.000250222267953207,0.000270906267651061
"P07266","YIR021W","MRS1",6.77702033776843e-06,6.85983553518176e-06,7.38171479187987e-06,5.60844560923326e-06
"P07267","YPL154C","PEP4",0.000203992693156963,0.000187690874059569,0.000211728829832648,0.000210899515208191
"P07270","YFR034C","PHO4",6.49753249273649e-07,5.99475420185025e-07,4.68953984058137e-07,4.41253400159682e-07
"P07271","YML061C","PIF1",9.68428339953932e-07,7.95921546128367e-07,1.15401504980854e-06,1.11393540731636e-06
"P07272","YLR014C","PPR1",1.91367359418436e-07,1.58460758451021e-07,2.04315412946389e-07,1.88399801379048e-07
"P07273","YGL043W","DST1",4.52017883378749e-05,3.81395036020417e-05,5.08143713088302e-05,4.7242816398138e-05
"P07275","YHR037W","PUT2",0.000150604253076932,0.000174034493508744,0.000166016277984396,0.000170702412971609
"P07276","YGR258C","RAD2",5.45685148985148e-07,4.95933949786764e-07,5.56292792438915e-07,5.68233453075284e-07
"P07277","YMR208W","ERG12",5.79315996048453e-05,4.47268993229513e-05,5.84898322539929e-05,5.67222517386187e-05
"P07278","YIL033C","BCY1",9.96855543089135e-05,9.44964579348634e-05,0.000124830239116134,0.000126585494088258
"P07280","YOL121C","RPS19A",0.0108213377067739,0.00991711212018952,0.011762740648186,0.0118951663998487
"P07283","YFL045C","SEC53",0.00112815962355602,0.000875621277352118,0.00137941264423558,0.00133546075160656
"P07284","YDR023W","SES1",0.0005021148110591,0.000443035860664279,0.000603619851329639,0.000576282701651865
"P07285","YDR354W","TRP4",7.17082066586333e-05,5.65222252769664e-05,5.94032083667528e-05,5.74687960862957e-05
"P07342","YMR108W","ILV2",0.000815954791003082,0.00115253832075464,0.00043564302588742,0.000491183160597542
"P07347","YHR013C","ARD1",5.57258610483202e-05,5.45079873227277e-05,6.21123931654049e-05,6.42552750280043e-05
"P07390","YNR045W","PET494",5.09018799588893e-07,3.61415876804677e-07,5.49999544237053e-07,4.92582296008622e-07
"P07560","YFL005W","SEC4",0.000139549396081878,0.000125642173026701,0.000152345732385119,0.000164004993198444
"P07702","YBR115C","LYS2",0.00116053895760335,0.00109203367216006,0.000277469430786866,0.000315850523089816
"P07703","YPR110C","RPC40",5.14820263548865e-05,5.84910073379832e-05,5.88923234797259e-05,6.27740434997193e-05
"P07806","YGR094W","VAS1",0.00129208050433757,0.00117793745085769,0.00137654868282677,0.00140169906041517
"P07866","YAL024C","LTE1",3.90630494203029e-06,3.20505099408872e-06,4.33334911087574e-06,4.24354234478923e-06
"P07884","YOR274W","MOD5",8.15743846374053e-06,7.85082930376019e-06,9.20463005837075e-06,8.99314029469227e-06
"P07991","YLR438W","CAR2",4.88560361459463e-05,4.33368712362795e-05,0.000238288901550902,0.000233708246962207
"P08004","YNL192W","CHS1",1.65952376397456e-05,1.40966680339379e-05,1.92265207054972e-05,1.96687687764592e-05
"P08018","YJL128C","PBS2",1.26892171279031e-05,1.33679907826672e-05,2.05081661298664e-05,1.45948485703828e-05
"P08067","YEL024W","RIP1",0.000157850021809595,0.000196087384822886,0.000191579410770622,0.000221662079418689
"P08417","YPL262W","FUM1",0.000840880063302107,0.000853884061876714,0.000964587253956041,0.000973797054329488
"P08425","YPR047W","MSF1",4.8665909131518e-06,4.90562168337806e-06,5.85022543209971e-06,5.96088817678406e-06
"P08432","YKL184W","SPE1",1.65693124431177e-05,1.2744460237253e-05,2.91145617261855e-05,2.83717554762064e-05
"P08465","YNL277W","MET2",0.000133523782162069,0.00010791377981977,4.98401568329265e-06,8.07166664967484e-06
"P08466","YJL208C","NUC1",9.61793986820653e-06,9.80960299894683e-06,1.11934557407056e-05,1.1018030317529e-05
"P08518","YOR151C","RPB2",0.000221655217906637,0.000201202931366166,0.000252954509696722,0.00024699762334417
"P08524","YJL167W","ERG20",0.00159319938574458,0.00140034245085831,0.00175281157386148,0.00175650267185999
"P08525","YJL166W","QCR8",1.7604126714011e-05,1.56052419901486e-05,1.96096445470488e-05,1.92338133113731e-05
"P08536","YJR010W","MET3",0.000991026621093418,0.000962784678308512,0.000109656742048147,0.000151553794026371
"P08539","YHR005C","GPA1",7.48416786013263e-05,6.68352448328518e-05,8.03609207785573e-05,7.97675989238167e-05
"P08566","YDR127W","ARO1",0.000907330006124561,0.000871403218475019,0.000627253696118937,0.000653801514309868
"P08638","YLR451W","LEU3",1.24144679234599e-05,9.98737805461961e-06,8.10368668825592e-06,7.87461090553886e-06
"P08678","YJL005W","CYR1",1.50714799610075e-05,1.2732446616754e-05,1.70814565266604e-05,1.51813130723426e-05
"P08679","YCR005C","CIT2",0.000240457008612011,0.000206983964721732,0.000132319645063279,0.00013628890051235
"P08964","YHR023W","MYO1",1.04199196552915e-05,9.33021337260621e-06,1.13386493583249e-05,1.1341892335341e-05
"P09032","YOR260W","GCD1",1.76063810437244e-05,1.86665324175029e-05,1.99712019405242e-05,1.94061449522672e-05
"P09064","YPL237W","SUI3",0.000383552178368213,0.000347041035893541,0.000424398338166041,0.000426393979958346
"P09201","YLR377C","FBP1",3.35069603327683e-06,3.03438863398006e-06,3.1209788116364e-06,3.12187144551491e-06
"P09232","YEL060C","PRB1",0.000189063754761852,0.000215884242491368,0.000244830055570841,0.000242665589851446
"P09368","YLR142W","PUT1",2.8362814805664e-06,3.19828609899615e-06,3.02755348089765e-06,1.54332911430893e-06
"P09435","YBL075C","SSA3",6.72196030806555e-06,5.12683848160726e-06,5.13157861427436e-06,4.80116830792488e-06
"P09436","YBL076C","ILS1",0.00126409215088722,0.00102813763186101,0.00125592367426749,0.00128347515227082
"P09440","YBR084W","MIS1",0.000278872933414463,0.000291493256197106,0.000319408378689059,0.000330089639481308
"P09457","YDR298C","ATP5",0.000233526050311718,0.000233766394783076,0.000300231815542087,0.000296540104161404
"P09547","YPL016W","SWI1",5.60193495678276e-05,4.7347279684768e-05,5.99323516262093e-05,5.75300066687265e-05
"P09620","YGL203C","KEX1",2.04046516907779e-05,1.48319203923339e-05,1.86054055296703e-05,1.88847239894258e-05
"P09624","YFL018C","LPD1",0.0010484191929733,0.00122540777761449,0.00102673516622256,0.00115567544038562
"P09733","YML085C","TUB1",9.08624966403357e-05,7.03425464601484e-05,8.98074150035897e-05,9.32535997327682e-05
"P09734","YML124C","TUB3",3.23103834598349e-05,2.96547620527632e-05,3.59612688040491e-05,3.57976104326898e-05
"P09880","YJL087C","TRL1",3.40934701040878e-05,3.09597531930945e-05,4.04112171257526e-05,4.09626452924692e-05
"P09938","YJL026W","RNR2",0.000160298555642652,0.000144255143962771,0.000167961060783267,0.000172363546975649
"P09950","YDR232W","HEM1",6.11789689339687e-05,6.82314755350397e-05,6.56254418298761e-05,6.88019348184192e-05
"P09959","YLR182W","SWI6",2.66081683214012e-05,2.32387840200258e-05,2.64475419856343e-05,2.67231417947612e-05
"P0C0T4","YLR333C","RPS25B",0.00320189483627725,0.00309109345506943,0.00413252152066509,0.00399952939014379
"P0C0W1","YJL190C","RPS22A",0.00339556916212729,0.0031251754983753,0.00376897842409312,0.00387426933384947
"P0C0W9","YPR102C","RPL11A",0.00399672488389437,0.00524024102110196,0.0046443331630818,0.00458215118385375
"P0C0X0","YLR264W","RPS28B",0.00087866926894208,0.00131214708315078,0.0011885792142168,0.00126944802211157
"P0C2H6","YHR010W","RPL27A",0.00284590003147306,0.00331973668715749,0.00300072838395311,0.00292058207908734
"P0C2H8","YDL075W","RPL31A",8.27919820204297e-05,8.74014395542929e-05,9.58106938289993e-05,9.23318248977463e-05
"P0C2H9","YLR406C","RPL31B",7.63037329148251e-05,8.27681502008141e-05,8.40627811064127e-05,8.55939813884943e-05
"P0C5N3","YGL041W-A","YGL041W-A",1.56771522368722e-05,1.15036064455654e-05,1.58294037128214e-05,1.64367457299908e-05
"P0C5R9","YPR170W-B","YPR170W-B",3.53821649220609e-05,2.96839962032184e-05,5.93501118761098e-05,6.30775295693394e-05
"P0CE41","YLR256W","HAP1",7.73117436004222e-07,6.09123189007007e-07,7.48869618422733e-07,7.24603940424827e-07
"P0CH09","YKR094C","RPL40B",0.000131514563889363,0.000133430052365396,0.000146010833439448,0.000144798923789732
"P0CS90","YJR045C","SSC1",0.00213408216087636,0.00205052026505725,0.0025510012824654,0.00254656021593099
"P0CT04","YNL015W","PBI2",5.98513653653929e-05,7.66917621048566e-05,8.93173428103812e-05,9.13505939021737e-05
"P0CX11","YPL281C","ERR2",7.99373616475349e-06,7.39762701578002e-06,7.48393439257357e-06,4.08631747942174e-06
"P0CX15","YPL283C","YRF1-7",1.72653905117823e-07,1.54884863282021e-07,1.81083066121015e-07,1.82345113021997e-07
"P0CX23","YMR242C","RPL20A",0.00535032290936499,0.00563224462271415,0.00602874422154914,0.00576720112425139
"P0CX26","YJR094W-A","RPL43B",0.000597452603699,0.000724249093758416,0.000610662730926051,0.000611860565310471
