"Accession","Gene","Protein","Min_1","Min_2","Min_3","Rich_1","Rich_2","Rich_3"
"A5Z2X5","YPR010C-A","YPR010C-A",1.76047130958745e-05,2.55680982240198e-05,2.43932330605179e-05,1.97893901920082e-05,2.33600283105425e-05,2.54681540772217e-05
"D6VTK4","YFL026W","STE2",0.000199994415634443,0.000200895672304076,0.000203503840474183,0.000207730504696747,0.000220258880894371,0.00021781665000108
"O13297","YPL228W","CET1",2.2851111982391e-05,2.26798830252064e-05,2.432372497182e-05,2.43594417670679e-05,2.52664884792486e-05,2.5268354401938e-05
"O13329","YDR110W","FOB1",6.72432977007269e-06,6.44805758834013e-06,6.79767794451421e-06,6.90493410272701e-06,7.25945631347551e-06,7.15156155352338e-06
"O13525","YDR204W","COQ4",5.72462755916554e-06,5.89227901790906e-06,6.25058863789855e-06,6.6677448289175e-06,6.84999158065839e-06,7.01961604813308e-06
"O13539","YHR167W","THP2",7.55850324948952e-06,7.53298088731327e-06,7.70524047195165e-06,8.3936211359628e-06,9.02796485801574e-06,8.72222201519527e-06
"O13563","YLR421C","RPN13",6.83299569799103e-05,6.57823981331777e-05,6.89206587976796e-05,7.64749393775732e-05,8.05920868503531e-05,8.36776181991611e-05
"O13585","YPR089W","YPR089W",1.04274931857965e-06,1.06064223031925e-06,1.12280917709702e-06,1.16200594965933e-06,1.18643725561731e-06,1.23488334408447e-06
"O14467","YOR298C-A","MBF1",0.00016203358904754,0.000160561643778709,0.000167477241650048,0.000162284159753786,0.00016772347093511,0.000173130991234288
"O74700","YEL020W-A","TIM9",3.20984967475594e-05,3.11672360255265e-05,3.28427724714833e-05,3.69012640215224e-05,3.87015464088053e-05,3.84707462088572e-05
"P00044","YJR048W","CYC1",1.50727071723363e-05,2.03497134384733e-05,2.11528333459043e-05,1.1269933152268e-05,2.02932544818307e-05,2.07659910753836e-05
"P00045","YEL039C","CYC7",8.33614395050813e-08,7.57949335209964e-08,9.2025841330376e-08,5.96470453794925e-08,7.40984616232107e-08,7.20992190882755e-08
"P00127","YFR033C","QCR6",7.37986503733164e-08,7.46023605828899e-08,7.59395391615033e-08,6.24054927779282e-08,7.62023943121761e-08,7.62655193118637e-08
"P00128","YDR529C","QCR7",5.81559686499079e-05,6.42948748531953e-05,6.86501145983937e-05,5.55075640429077e-05,6.3387488977082e-05,6.251584831302e-05
"P00175","YML054C","CYB2",6.97131671646924e-06,7.58037645042483e-06,7.78144782395591e-06,6.84918923518149e-06,7.54986638615189e-06,7.68824597553169e-06
"P00330","YOL086C","ADH1",0.037255753915268,0.0349750260342809,0.0347126146970687,0.0250264752476616,0.0151044930828158,0.0142527672838235
"P00331","YMR303C","ADH2",3.62000877475198e-05,6.13319054049672e-05,4.75668718189449e-05,8.12009211794858e-05,7.9661853447211e-05,0.000101420882333437
"P00359","YGR192C","TDH3",0.00605925763764688,0.00598309821344452,0.00589830845679499,0.00486047013485868,0.00559973582274565,0.00565478015614897
"P00401","Q0045","COX1",1.30858434880462e-05,1.6321750167232e-05,1.67103865229753e-05,1.69746314186576e-05,1.85054776132836e-05,1.79437316427642e-05
"P00410","Q0250","COX2",0.000376156490983451,0.000481625423549391,0.000486640737364052,0.000477820408540295,0.000533782308113687,0.000516832439522651
"P00424","YNL052W","COX5A",1.34360855898523e-05,1.80215422715149e-05,1.79295192819884e-05,1.59065206910892e-05,1.82858233467641e-05,1.92211032240128e-05
"P00425","YIL111W","COX5B",5.57095658419475e-06,4.74956345427402e-06,5.63029931242321e-06,4.2903755630364e-06,5.30206239451159e-06,5.36258250756978e-06
"P00427","YHR051W","COX6",0.000109910106475482,0.00012137222121301,0.0001178953044013,0.000106498956378292,0.000133836542053722,0.000125437810188198
"P00431","YKR066C","CCP1",0.000158163042164537,0.00015968876065405,0.000154476264443257,0.000133140978282754,0.000150031942751285,0.000144109547420232
"P00445","YJR104C","SOD1",0.000746265154494306,0.000754953766198904,0.000812015251066002,0.000650308047639688,0.000745304351751956,0.000657751120490276
"P00447","YHR008C","SOD2",1.66086283958494e-05,2.09553024232435e-05,1.95779356686492e-05,1.87102116379032e-05,2.15286549302664e-05,2.22547645563739e-05
"P00498","YER055C","HIS1",0.00120027716380299,0.0012316159159803,0.00123943901275503,0.000681863955060494,0.00069887958015856,0.000708957704511878
"P00546","YBR160W","CDC28",5.72665022679634e-05,5.74390862955018e-05,5.83556811717409e-05,5.95571130505662e-05,6.60313503339076e-05,6.84954370144109e-05
"P00549","YAL038W","CDC19",0.0414611340165196,0.0410404589727319,0.0405315755524977,0.0447936534028723,0.0428754497425572,0.0425844584472349
"P00560","YCR012W","PGK1",0.0688841219201872,0.066267911905741,0.0697455769573642,0.0709421496571694,0.0676845192059058,0.0688716278904256
