"Accession","Gene","Protein","Min_1","Min_2","Min_3","Rich_1","Rich_2","Rich_3"
"P00572","YJR057W","CDC8",2.89861356695026e-06,2.98725546537449e-06,2.75063076965787e-06,2.9704841759971e-06,2.91803488960442e-06,2.88626389020616e-06
"P00724","YIL162W","SUC2",4.92413235486778e-05,4.54068749550308e-05,4.79641382933495e-05,4.70279905682327e-05,5.03341878077146e-05,5.19050605249185e-05
"P00729","YMR297W","PRC1",3.02997702738143e-05,2.87004651542739e-05,2.98618790241395e-05,2.52479972652642e-05,2.93805406465035e-05,3.01903759455795e-05
"P00812","YPL111W","CAR1",1.54344793024328e-05,1.70378849359479e-05,1.36402427619371e-05,9.84766496926818e-05,0.000100628284185104,9.2361331249683e-05
"P00815","YCL030C","HIS4",0.00126631100450619,0.00122325788820853,0.0012634462837321,0.000644594289125317,0.00064495568727316,0.000675058893240597
"P00817","YBR011C","IPP1",0.00465359056249759,0.0046008420053141,0.00439561364541283,0.00307822093492403,0.00297106485459287,0.00306407379591406
"P00830","YJR121W","ATP2",0.00195816460780104,0.00203492427988262,0.00203011061950495,0.00216327299438295,0.0023070585413753,0.0023261426384339
"P00890","YNR001C","CIT1",0.000432727316798077,0.000455257645649182,0.000472192058013633,0.000305545002395744,0.000345445018019576,0.000340201391089616
"P00899","YER090W","TRP2",0.000314502203923099,0.000316519219978914,0.000320050003196085,0.000229560888819303,0.000231952213802574,0.000236518867646228
"P00924","YGR254W","ENO1",0.00150478524275143,0.00126951491916671,0.00135677938746044,0.00125095503657579,0.00117573213960619,0.00136516132411025
"P00925","YHR174W","ENO2",0.0288893080117966,0.0272572113288574,0.0279265765903021,0.0289251920923271,0.0281614280434667,0.0278187619052459
"P00927","YER086W","ILV1",0.000509623590051703,0.000505677032369214,0.000525747526435335,0.000397698758735574,0.000389468946154961,0.000392832017951702
"P00931","YGL026C","TRP5",0.000799671722644394,0.000800742370629074,0.000793760455406004,0.000428359560151281,0.000421010828846613,0.000426996245629987
"P00937","YKL211C","TRP3",0.000541044147629425,0.00055691985172427,0.000564934806551895,0.000386501907411118,0.000395295963151224,0.000388775464896132
"P00942","YDR050C","TPI1",0.0190931653367446,0.0181003137011232,0.0176596317693811,0.0177995876799087,0.0181845876924149,0.0180927685096628
"P00950","YKL152C","GPM1",0.0180670428507007,0.0159503812212415,0.0167696764961023,0.0178557263965843,0.0162657726770532,0.0159171141491586
"P00958","YGR264C","MES1",0.000560202862705003,0.000569807552119624,0.00059201617609094,0.000630406396393613,0.000640017778218009,0.000645224488043269
"P01119","YOR101W","RAS1",6.19206874133318e-06,6.57885655757664e-06,6.69421964189553e-06,7.73985725370176e-06,7.79631568874613e-06,8.18719106190102e-06
"P01120","YNL098C","RAS2",6.70306016156146e-05,6.65182461563805e-05,6.44756953540418e-05,6.62240774402669e-05,7.06721253244897e-05,7.09829106187649e-05
"P01123","YFL038C","YPT1",0.000374261037530823,0.000387427514209721,0.000382682590443546,0.000390161064623323,0.000416806904090428,0.000427705470760108
"P02293","YDR224C","HTB1",0.00197670415483867,0.00203355644827121,0.00215127243566301,0.00237224573751053,0.00255269421721522,0.00246146756647227
"P02309","YBR009C","HHF1",0.00310851979501902,0.00343920156191617,0.00334516331958801,0.00370124620547852,0.00395887286311987,0.004080065299639
"P02381","Q0140","VAR1",1.13749121615036e-05,1.25512910953997e-05,1.31402000719934e-05,1.94347585535479e-05,1.42260518633332e-05,1.47541426150237e-05
"P02400","YDR382W","RPP2B",0.00434390191812176,0.00421867237874054,0.00443502502176197,0.00428090982890265,0.00500445144324921,0.00508472066325009
"P02406","YGL103W","RPL28",0.0013620581557896,0.00140757453934908,0.00127430918602684,0.00146959299968528,0.00153656544315065,0.00154618095108926
"P02407","YML024W","RPS17A",0.00252808199097529,0.00271998156577288,0.0025408102843894,0.00306762468570424,0.00312160872909979,0.00321584992030633
"P02557","YFL037W","TUB2",0.00122575999044287,0.0012277868281921,0.00122100424097155,0.0013263528726723,0.0014050893342561,0.00139438281758737
"P02829","YPL240C","HSP82",0.000594914235414729,0.000597255427964543,0.000560284257361938,0.000622309210084879,0.000684631727012222,0.000669575824982629
"P02992","YOR187W","TUF1",0.000112755622491316,0.000106488091500243,0.000116155457746896,0.000122001280739868,0.000121266031718474,0.000123962598610115
"P02994","YPR080W","TEF1",0.0428464950106265,0.0427652894691582,0.0435883598058191,0.0556752964945981,0.0508932606734421,0.0498998765243001
"P03874","YHL038C","CBP2",4.05004884627169e-06,4.10520645032427e-06,4.24230166396715e-06,4.09932388573195e-06,4.38496745290421e-06,4.27997388386639e-06
"P03876","Q0055","AI2",8.18449134599272e-07,8.27422759060048e-07,7.63476975237489e-07,8.26382811617233e-07,8.70651383781449e-07,8.88476542180606e-07
"P03962","YEL021W","URA3",5.9721599280335e-05,6.42620074584672e-05,6.16144065863049e-05,7.94459265967674e-05,8.53104842853335e-05,8.24486854378809e-05
"P03965","YJR109C","CPA2",0.00173966503483709,0.00172873923829548,0.00180375887180245,0.000515497721107797,0.000492923852580146,0.000500627053184407
"P04037","YGL187C","COX4",5.7878347711468e-07,6.58938369990388e-07,7.04493898905956e-07,6.11633886800421e-07,7.27955901044525e-07,7.21088700188791e-07
"P04046","YMR300C","ADE4",0.000361114350703397,0.000375381196311685,0.000367621612525467,0.000411007105366096,0.000423862868577454,0.000425639920041168
"P04050","YDL140C","RPO21",0.000330894349117347,0.00033259499883059,0.000340210659861492,0.000392144945491962,0.000396786490140749,0.000409911433627673
"P04051","YOR116C","RPO31",4.07914512873144e-05,4.13948123485164e-05,4.43773630777134e-05,4.90971661115324e-05,5.03811066315073e-05,4.90004546294361e-05
"P04076","YHR018C","ARG4",0.00163327716255191,0.00152437443030942,0.00160995977901304,0.00047267041481958,0.000477717579358414,0.000484751062276164
"P04147","YER165W","PAB1",0.000952433494564714,0.000922969603946554,0.000952194073009956,0.00109939911543408,0.00111793740338933,0.00112189916325612
"P04161","YDR408C","ADE8",0.00010821130162147,0.000114218550146908,0.000103569967977373,0.000137153014398264,0.000139057015520435,0.000131421420744555
"P04173","YCL018W","LEU2",0.00277392270494792,0.0027504044621631,0.00276418287987328,0.000426917387505622,0.000435082979515471,0.000454816067695474
"P04449","YGL031C","RPL24A",4.36167740527952e-07,4.66443684661438e-07,4.38108605042582e-07,5.16301980968856e-07,5.26536721760642e-07,5.34778392006549e-07
"P04456","YOL127W","RPL25",0.00143811716695223,0.00142407081587114,0.00142675889032752,0.00185345175582681,0.00174630166852753,0.00173737513158817
"P04786","YOL006C","TOP1",1.29083761608382e-05,1.34946992766111e-05,1.31451407847395e-05,1.58856230794001e-05,1.66344869024275e-05,1.68997637061156e-05
"P04801","YIL078W","THS1",0.00109159311724288,0.0011319604299666,0.00108703673659864,0.00124594275711586,0.00129375134272624,0.00129341786685001
"P04802","YLL018C","DPS1",0.000868429168551077,0.000861600766299111,0.000853871788848759,0.000905897080712386,0.000922052734836269,0.000937768425913788
"P04803","YDR268W","MSW1",2.55064753449904e-05,2.51726104341713e-05,2.58275363965727e-05,3.03168236412577e-05,3.19167662777882e-05,3.20259266450318e-05
"P04806","YFR053C","HXK1",0.000428450401780839,0.000236025842539618,0.000283789547730753,0.000165625380913561,0.000191666807982815,0.000196780626000165
"P04807","YGL253W","HXK2",0.00394336029153292,0.00401022652144671,0.00374553781574316,0.0047842941516136,0.00523084499678323,0.00504158713249564
"P04817","YEL063C","CAN1",6.05970547723633e-05,6.83570865411532e-05,6.37631522714154e-05,2.8071694115101e-05,2.92826426932107e-05,2.98546599427875e-05
"P04819","YDL164C","CDC9",1.00115485550092e-05,1.06167968496044e-05,1.09189384047754e-05,1.32083680953646e-05,1.38246946309313e-05,1.37669660809005e-05
"P04821","YLR310C","CDC25",2.28792520181288e-05,2.15513111224423e-05,2.49878679374881e-05,2.41255055842534e-05,2.42970614549842e-05,2.62414099283856e-05
"P04840","YNL055C","POR1",0.00155943224823132,0.00156120167748918,0.00156527450984933,0.00116784219074021,0.00127561809370658,0.00129492857335552
"P04911","YDR225W","HTA1",0.000978269496113519,0.000949476149324823,0.00100766728750734,0.00101552708826793,0.00110697663280684,0.00112607571401296
"P05030","YGL008C","PMA1",0.00421631438045229,0.00438580602951841,0.00432867908828411,0.003765870297459,0.00389186357689379,0.00394519764594109
"P05066","YOR386W","PHR1",7.4179839266166e-07,7.86456374709648e-07,8.07782981150217e-07,1.13279086832794e-06,1.34909033690906e-06,1.44119766401074e-06
"P05150","YJL088W","ARG3",0.000631505194376282,0.000628510414877684,0.000635300993631241,7.49889723588515e-05,6.89791909982124e-05,7.43564002802875e-05
"P05317","YLR340W","RPP0",0.0104300725968328,0.0104387887551593,0.00993371840261736,0.0130366227034028,0.0125118230955656,0.0123569135971487
"P05319","YOL039W","RPP2A",0.00375410236920996,0.00360574789664412,0.00368023114941877,0.00339956837243742,0.00426480316484827,0.00427919569329784
"P05373","YGL040C","HEM2",0.000264950132724045,0.000284020049406389,0.000277582795936499,0.000258773930887913,0.000296229395356539,0.000281901034407285
"P05374","YGR157W","CHO2",9.78732788965679e-05,0.000101095014466155,9.84687506469872e-05,0.00011612562831738,0.000128148871182943,0.000123393913747849
"P05375","YJR073C","OPI3",0.000112094911237716,0.000110954917298276,0.000111238683582968,0.000109811851712003,0.000125062548441375,0.00012573686205412
"P05453","YDR172W","SUP35",0.00027357009003116,0.000295029255967498,0.000283236868243175,0.000332557965733107,0.000345849976446136,0.000340208280201544
"P05626","YPL078C","ATP4",0.000224621476881867,0.000248556096659099,0.000241609974255169,0.00024988193982731,0.000275631685310707,0.000282373131393296
"P05694","YER091C","MET6",0.0160086762394895,0.0162239103893224,0.0159422461418428,0.00597675155488499,0.00540096322202357,0.00566442155103375
"P05737","YGL076C","RPL7A",0.000389853224634912,0.000380898715575681,0.00040205883077832,0.000485509640125397,0.000473149221061075,0.000472317090330494
"P05738","YGL147C","RPL9A",1.01054207379276e-06,1.07372818465734e-06,1.14750429579982e-06,1.39256029874262e-06,1.33734389331865e-06,1.35771580321132e-06
"P05739","YLR448W","RPL6B",0.000369378932127975,0.000376184339820667,0.000368722605168444,0.000530818993351129,0.00038671867625044,0.000459456968586829
"P05740","YKL180W","RPL17A",6.04583872766094e-05,5.55517059741536e-05,6.96616433344504e-05,7.16748547116869e-05,6.84926114098873e-05,7.08099084417986e-05
"P05743","YLR344W","RPL26A",0.000164037793710315,0.000172229148133218,0.000198899402371836,0.00019624530594364,0.00017529703302198,0.000187320802537567
"P05748","YLR029C","RPL15A",0.0001915241326544,0.000204156973432699,0.000195166821426893,0.000205446114260518,0.000241836823119334,0.000246207148605483
"P05749","YLR061W","RPL22A",0.00107764948780825,0.00111272421531053,0.00109784659480505,0.00141772351785114,0.00131010568229748,0.00132753962475397
"P05750","YNL178W","RPS3",0.00493844411400598,0.00490447391508166,0.00489474892977615,0.00579696637611232,0.00572776606751034,0.00582248076708521
"P05755","YBR189W","RPS9B",5.11134189046451e-07,5.28132875933948e-07,5.10386232647038e-07,5.94254316862405e-07,6.10645126721083e-07,6.06470746522654e-07
"P05756","YDR064W","RPS13",0.00523737382296975,0.00538721587088577,0.00523095309911035,0.00684912520338066,0.00657918229624635,0.00643471442921827
"P05759","YLR167W","RPS31",0.00040316544383613,0.000444021932702533,0.00037431491162531,0.00048002112772287,0.000505153767047088,0.000493600481466301
"P05986","YKL166C","TPK3",3.2434275000642e-06,3.29250798551427e-06,3.29172120084556e-06,3.75475043169989e-06,3.68366638374923e-06,3.59207819731874e-06
"P06100","YDL165W","CDC36",3.28076047367915e-06,3.1309713875384e-06,3.45175903367848e-06,3.74326920425527e-06,4.10728950157004e-06,3.90375887034812e-06
"P06101","YDR168W","CDC37",0.000154648717266712,0.00014906841194897,0.000157108128163088,0.000151169705370613,0.000173877073662409,0.000168332023530492
"P06102","YIL038C","NOT3",8.21841138306958e-05,8.3367972914157e-05,8.49190486643559e-05,8.8141136196755e-05,9.68123637072536e-05,9.60848529783288e-05
"P06103","YOR361C","PRT1",0.00033041644613493,0.000342739394927938,0.000330515396049845,0.000418573710804449,0.000430763591593449,0.000433415824906879
"P06105","YJL080C","SCP160",0.00185833036652688,0.00186820657859578,0.00187546642567581,0.00224232150814947,0.00232770163019573,0.00233681688744694
"P06106","YLR303W","MET17",0.0172296144168083,0.0165350663048907,0.016510454159714,0.00288911503838031,0.00279625810158114,0.00306303977137824
"P06168","YLR355C","ILV5",0.00363430287445725,0.00339264326687939,0.00347318971653475,0.00190964512768415,0.00188702603223427,0.00188785946971837
"P06169","YLR044C","PDC1",0.00493427932399298,0.00541370493988785,0.00491318699121982,0.00550558866007761,0.00586652911450175,0.00592465465599735
"P06174","YOR278W","HEM4",1.6725725098433e-06,1.79984131878083e-06,1.76379604083579e-06,1.61957857470402e-06,1.79744443765764e-06,1.7976208890117e-06
"P06197","YPR113W","PIS1",1.34947357127264e-05,1.34846553042022e-05,1.34992895508278e-05,1.38534348819369e-05,1.46176915340154e-05,1.48648543441448e-05
"P06208","YNL104C","LEU4",0.000369117236221398,0.000372277258845664,0.000367382724756222,0.000152083775953167,0.000158644321657637,0.000161671459316333
"P06242","YDL108W","KIN28",6.24132087559597e-06,6.71911302773415e-06,6.47160696276304e-06,6.81699045115658e-06,7.42468276651615e-06,7.30541663508392e-06
"P06243","YDL017W","CDC7",7.99818765685913e-07,8.06867723147031e-07,8.89019520751738e-07,8.73775557485979e-07,9.82320177772795e-07,9.97352101776203e-07
"P06244","YJL164C","TPK1",2.06161864352403e-06,1.90927902541683e-06,2.17366853200434e-06,1.771337832388e-06,2.12451346021658e-06,2.2246957225097e-06
"P06245","YPL203W","TPK2",1.13895982082202e-05,1.1392863656265e-05,1.09081037646674e-05,1.20788950104391e-05,1.30985100782549e-05,1.33371868745837e-05
"P06633","YOR202W","HIS3",2.52436797956812e-05,2.42069938148743e-05,2.65080636116146e-05,1.2495523196582e-05,1.23828238706738e-05,1.29801223378553e-05
"P06634","YOR204W","DED1",0.00037060238422078,0.000379730879892614,0.000381594039997344,0.000406168526598286,0.000420504069503683,0.000420107719065096
"P06700","YDL042C","SIR2",3.37151482878235e-06,3.15170939904015e-06,3.38761890532555e-06,3.44295357581616e-06,3.45241087061613e-06,4.42393418370654e-06
"P06701","YLR442C","SIR3",6.55275643720553e-06,6.56601744308571e-06,7.10582594062128e-06,7.53385707939368e-06,7.37038595588455e-06,7.37744205952129e-06
"P06704","YOR257W","CDC31",3.84411633843709e-05,3.78330050301717e-05,3.75290721105375e-05,3.35710436992654e-05,3.89010693002948e-05,3.75323295382846e-05
"P06738","YPR160W","GPH1",8.06605193077808e-05,6.10740277066287e-05,6.91583934787536e-05,7.23885062920202e-05,7.73473187582285e-05,7.95384826773071e-05
"P06773","YHR144C","DCD1",1.28563852907344e-05,1.30075865190982e-05,1.36071127603667e-05,1.51299502542607e-05,1.54843921000641e-05,1.55916712882967e-05
"P06775","YGR191W","HIP1",3.22178164045984e-05,3.39871374761873e-05,3.64971126199184e-05,2.40673736514535e-05,2.39699809633825e-05,2.35567263759907e-05
"P06776","YOR360C","PDE2",1.19608246905158e-05,1.17088535644057e-05,1.20791642421767e-05,1.48000786129925e-05,1.49472085674731e-05,1.53552349195706e-05
"P06777","YPL022W","RAD1",3.14732509894097e-05,3.17523181677377e-05,3.37403337972043e-05,3.19372301913157e-05,3.42777883643875e-05,3.46140719670551e-05
"P06778","YML032C","RAD52",5.62336361199434e-06,5.45241014860992e-06,6.11003684919921e-06,5.70053415404368e-06,5.82691566364002e-06,5.48716137754997e-06
"P06779","YJR052W","RAD7",3.46564879073729e-06,3.35785929984788e-06,3.63689095300149e-06,3.38717535942494e-06,3.56546967435509e-06,3.57621710829626e-06
"P06780","YPR165W","RHO1",0.000153079110741602,0.000154448998255575,0.000154831675589336,0.00016549148976814,0.000179131140401919,0.000177184321113083
"P06781","YNL090W","RHO2",5.52737679327725e-06,5.23191837579703e-06,5.76898124587625e-06,5.70229531186036e-06,6.31155551027134e-06,5.98814562011063e-06
"P06782","YDR477W","SNF1",5.87755093534919e-05,6.1490807648035e-05,5.88216123514838e-05,6.2090439099967e-05,6.52273032292277e-05,6.56070878646477e-05
"P06785","YOR074C","CDC21",6.01612838543402e-06,5.79662310218097e-06,6.36982459800908e-06,6.60067374348866e-06,7.28846017716522e-06,7.51891289367483e-06
"P06786","YNL088W","TOP2",5.8780604218412e-05,6.19358292055908e-05,6.11272693806825e-05,9.13824909222926e-05,9.01395063894325e-05,9.31788700182853e-05
"P06787","YBR109C","CMD1",0.00024644222213949,0.000236749516580432,0.000239388308295433,0.000235135715536976,0.000283561416851816,0.000286200841895629
"P06839","YER171W","RAD3",1.71472542310381e-05,1.70284973536918e-05,1.77611453636398e-05,1.91830259931649e-05,1.98776877470364e-05,1.99269786694204e-05
"P06843","YER161C","SPT2",3.76534229686013e-07,3.16209113394618e-07,3.44849078371796e-07,3.9362230932865e-07,4.08478469186026e-07,3.70818844435599e-07
"P06844","YDR392W","SPT3",5.39841339474071e-06,2.83787893394183e-06,3.6259995723838e-06,6.58472538962888e-06,6.44955432750632e-06,3.33334111021577e-06
"P07143","YOR065W","CYT1",3.29477988986333e-05,3.78233221430163e-05,3.88786474236058e-05,3.29277988635287e-05,3.72203501866978e-05,3.68314472344963e-05
"P07149","YKL182W","FAS1",0.00545958215965819,0.00565997646728697,0.00559530262138278,0.00680999690570936,0.00724727496742599,0.00716754287863592
"P07170","YDR226W","ADK1",0.000771862205125888,0.000817941541434783,0.000786542620327649,0.000849729087926175,0.000883992860433013,0.000843684312972542
"P07172","YIL116W","HIS5",0.000318361476969078,0.000336528551016624,0.000327018817409041,0.000225735238457674,0.000223459014048946,0.000227909594974762
"P07213","YNL121C","TOM70",0.000139986737959976,0.000145597566918739,0.000138169023623085,0.000153293109211785,0.000168468881977136,0.000164057874464198
"P07236","YKL194C","MST1",6.43955979225306e-06,7.1434771000843e-06,6.95156415104501e-06,9.1453048630259e-06,1.06914373486524e-05,1.09722403223438e-05
"P07244","YGL234W","ADE5,7",0.00200737610779814,0.00210051833320077,0.00207296647782501,0.00229969351003932,0.00222212369852321,0.00226482818935017
"P07245","YGR204W","ADE3",0.0016996285967892,0.00178470338895182,0.00176866273778899,0.00130514423354205,0.00133458023909073,0.00132641838242451
"P07246","YMR083W","ADH3",0.00268489798130381,0.00277800893076358,0.00272979662657,0.00126500968753351,0.0010398626582524,0.00103552044563254
"P07251","YBL099W","ATP1",0.00053394325974026,0.000543622728194818,0.000568231985918597,0.000589878864107636,0.000624440811275993,0.000651336338608333
"P07253","YBR120C","CBP6",3.87702375221915e-05,3.50060315758222e-05,4.04712278123802e-05,3.83822331939437e-05,4.20398525491978e-05,4.12662428960588e-05
"P07256","YBL045C","COR1",0.000520078013871014,0.000519098015145311,0.000547531971786533,0.000533917469095755,0.000549437603392341,0.000562104235312712
"P07257","YPR191W","QCR2",0.000237420445020601,0.000257007583672692,0.000260344235933657,0.000238301800162402,0.000264971589128757,0.00027202590974722
"P07258","YOR303W","CPA1",0.000590627786715173,0.000649599132295089,0.000601186485817111,0.000101960830376261,0.000109337945150157,0.00011027729166609
"P07259","YJL130C","URA2",0.00368616942512105,0.00375991530677821,0.00376838245065275,0.00367220950779079,0.00370069764631613,0.00375619478220905
"P07260","YOL139C","CDC33",0.000504516691260537,0.000527913123128487,0.000516495549230064,0.000602663671474155,0.000634162502954752,0.000624255608996775
"P07261","YPL075W","GCR1",3.81227227911644e-06,3.68716661513007e-06,3.75642795048881e-06,3.39556483588133e-06,3.99979617562712e-06,4.19552568335849e-06
"P07262","YOR375C","GDH1",0.00496846385999326,0.00533396496263189,0.00497676407022894,0.00200584123049171,0.00185674152868904,0.00198038840804766
"P07263","YPR033C","HTS1",0.000192312058625337,0.00019730325504209,0.000194022208037203,0.000143269505123193,0.000152863651828337,0.000152225330533867
"P07264","YGL009C","LEU1",0.00116039705807318,0.00110276775771617,0.00113223427379678,0.000255668358533564,0.000245162740773353,0.000221869565111233
"P07267","YPL154C","PEP4",0.000186568569272739,0.00017840342915104,0.000185779735728291,0.000159805363186244,0.000191478581627273,0.000201895426389449
"P07269","YDL106C","PHO2",1.05404875329487e-05,1.02170013717082e-05,1.10243291799622e-05,1.1945519334511e-05,1.20263048327924e-05,1.17806719301901e-05
"P07270","YFR034C","PHO4",2.4408150962042e-07,2.52819936640327e-07,2.76333345417933e-07,1.95536655308399e-07,2.10894333164022e-07,2.08536454107755e-07
"P07271","YML061C","PIF1",1.15483221600893e-06,1.13358861675883e-06,1.17246095426967e-06,1.25697057986281e-06,1.29124885984007e-06,1.29034172221919e-06
"P07273","YGL043W","DST1",9.92276970522435e-05,0.000104236913342387,9.84551470598141e-05,0.000123561344064285,0.000130558008760387,0.000125820276903941
"P07274","YOR122C","PFY1",6.65847606281633e-06,6.70390612793377e-06,7.19630069472829e-06,8.09868301704747e-06,8.63316774185036e-06,7.84524647657676e-06
"P07275","YHR037W","PUT2",0.000149022685279123,0.000148422824126358,0.000156001999425957,0.000142964417053142,0.000156568582157576,0.000148898624429431
"P07276","YGR258C","RAD2",9.1319143236389e-07,8.1034522665079e-07,9.0700137815112e-07,9.55978200690287e-07,9.50567959774236e-07,9.19183052583347e-07
"P07277","YMR208W","ERG12",0.000116113794951068,0.00012072188288241,0.000126256139087778,0.000107038165705145,0.000120293201068146,0.000115213895650132
"P07278","YIL033C","BCY1",6.08419764485205e-05,6.29017387343674e-05,6.18917081179051e-05,7.70398875716083e-05,8.11445208441793e-05,8.15837275816596e-05
"P07280","YOL121C","RPS19A",0.0108429377320727,0.0105338118942443,0.0105074819076698,0.0135316269106495,0.0128145357609799,0.0128634509928957
"P07283","YFL045C","SEC53",0.00115853573224098,0.00122742059490085,0.00115895584611325,0.00156919476028908,0.00176411644382277,0.00176420280265832
"P07284","YDR023W","SES1",0.000440494741320034,0.000466702171972354,0.000443093243683682,0.000542525124915281,0.000579936545108474,0.000575522066724302
"P07285","YDR354W","TRP4",0.000133938505495672,0.000129024865136132,0.000137437067349325,9.6607170598202e-05,9.60816486371107e-05,9.338476059087e-05
"P07342","YMR108W","ILV2",0.000856413275207056,0.000850407158949572,0.000870144064818591,0.000446235495919271,0.00042616327458383,0.000424912877539016
"P07347","YHR013C","ARD1",5.15758512634145e-05,5.36820833123544e-05,5.44749282392104e-05,6.10986738910149e-05,6.57019009133273e-05,6.37410131694406e-05
"P07390","YNR045W","PET494",6.04950438931002e-07,5.9957794760063e-07,5.80729098042967e-07,5.00021548902422e-07,5.31038006645444e-07,5.36211913857731e-07
"P07560","YFL005W","SEC4",0.000126493627052512,0.00013331499563301,0.000130371122417253,0.000135685774919399,0.000141449025330424,0.000144798462959987
"P07702","YBR115C","LYS2",0.000959365527622972,0.000965527926951215,0.000987983504585756,0.000248316515840362,0.000252470642470526,0.000264476978214999
"P07703","YPR110C","RPC40",5.43988289895698e-05,5.89362015854053e-05,5.61938368030696e-05,6.29679664924516e-05,6.7798997949965e-05,6.761737537895e-05
